run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,estimand,site,estimate_model,std_error,conf_low_model,conf_high_model,estimate_practical,conf_low_practical,conf_high_practical,interval_method,sensitivity_id
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,site_mean,BAUA,2.954861035436892,0.25783251088663117,2.4495186000555638,3.46020347081822,2.954861035436892,2.4495186000555638,3.46020347081822,emmeans_wald_normal,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,site_mean,FUSPCEU,2.9969896831167584,0.2572280387931585,2.492831991268296,3.5011473749652207,2.9969896831167584,2.492831991268296,3.5011473749652207,emmeans_wald_normal,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,site_mean,IZTECH,3.322128443394355,0.24703498417952788,2.8379487714810585,3.806308115307652,3.322128443394355,2.8379487714810585,3.806308115307652,emmeans_wald_normal,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,site_mean,KNUST,1.7009260397857329,0.2722680627723289,1.1672904426114776,2.234561636959988,1.7009260397857329,1.1672904426114776,2.234561636959988,emmeans_wald_normal,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,site_mean,RISE,2.259878952562681,0.26167737236579736,1.7470007271566415,2.77275717796872,2.259878952562681,1.7470007271566415,2.77275717796872,emmeans_wald_normal,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,site_mean,THUAS,2.65888525757107,0.2601374204837158,2.149025282391835,3.1687452327503047,2.65888525757107,2.149025282391835,3.1687452327503047,emmeans_wald_normal,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,site_mean,TUM,3.540864599537206,0.3539991489070817,2.8470390171214945,4.234690181952917,3.540864599537206,2.8470390171214945,4.234690181952917,emmeans_wald_normal,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,site_mean,UCR,2.0447954105942028,0.164850536662446,1.721694295903709,2.3678965252846966,2.0447954105942028,1.721694295903709,2.3678965252846966,emmeans_wald_normal,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,overall_equal_site_mean,,2.6849161777498622,0.08825481912169993,2.5119399108092337,2.8578924446904908,2.6849161777498622,2.5119399108092337,2.8578924446904908,emmeans_wald_normal,l10_midpoint_noon_conversion
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_12,overall_observed_sample_mean,,2.591245665262729,0.0815745920472486,2.4313624027965743,2.751128927728884,2.591245665262729,2.4313624027965743,2.751128927728884,emmeans_wald_normal,l10_midpoint_noon_conversion
