run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,comparison_id,statistic,df,p_raw,log_lik_reduced,log_lik_full,n_obs_reduced,n_obs_full,comparison_status,participants,participant_days,observations,sites,derivation_support_hours,derivation_support_status,derivation_support_unavailability_reason,converged,positive_definite_hessian,singular,max_gradient,timing_min_hour,timing_max_hour,timing_span_hours,early_cluster_fraction,late_cluster_fraction,timing_cutpoint_hour,observations_within_one_hour_of_cut,fraction_within_one_hour_of_cut,timing_status,shapiro_p,residual_variance_ratio,standardized_residual_over_3_fraction,standardized_residual_over_4_fraction,dharma_uniformity_p,dharma_dispersion_p,dharma_zero_inflation_p,dharma_outlier_p,observed_zero_fraction,simulated_zero_fraction,zero_fraction_ratio,residual_status,observed_below_bound_n,observed_above_bound_n,predicted_below_bound_n,predicted_above_bound_n,prediction_bound_status,audit_upper_threshold,observed_above_audit_threshold_n,predicted_above_audit_threshold_n,audit_threshold_status,fit_error,fit_warnings,diagnostic_status,sensitivity_id,excluded_censored_rows
main__chest__all_available,main,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,site_full_vs_no_site,12.218426888261092,7,0.0936007452152108,-208.06081814281117,-201.95160469868063,564,564,PASS,150,564,564,8,13388.8,available,,TRUE,TRUE,FALSE,2.142712673958158e-6,,,,,,,,,NOT_APPLICABLE,4.492309002395998e-6,1.5063325171181,0.0070921985815602835,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,338
main__chest__all_available,main,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,site_full_vs_no_photoperiod,15.459130899976003,1,8.430864305793316e-5,-209.68117014866863,-201.95160469868063,564,564,PASS,150,564,564,8,13388.8,available,,TRUE,TRUE,FALSE,2.142712673958158e-6,,,,,,,,,NOT_APPLICABLE,4.492309002395998e-6,1.5063325171181,0.0070921985815602835,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,338
main__chest__all_available,main,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,latitude_full_vs_no_latitude,6.694585075447833,1,0.009670617236233525,-208.06081814281117,-204.71352560508726,564,564,PASS,150,564,564,8,13388.8,available,,TRUE,TRUE,FALSE,2.142712673958158e-6,,,,,,,,,NOT_APPLICABLE,4.492309002395998e-6,1.5063325171181,0.0070921985815602835,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,338
main__chest__all_available,main,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,site_full_vs_latitude_full,5.523841812813259,6,0.4785797942582781,-204.71352560508726,-201.95160469868063,564,564,PASS,150,564,564,8,13388.8,available,,TRUE,TRUE,FALSE,2.142712673958158e-6,,,,,,,,,NOT_APPLICABLE,4.492309002395998e-6,1.5063325171181,0.0070921985815602835,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,338
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,site_full_vs_no_site,3.8678708660545453,7,0.794864204055211,-156.988077715663,-155.05414228263572,396,396,PASS,108,396,396,8,9395.85,available,,TRUE,TRUE,FALSE,1.3755538930126932e-5,,,,,,,,,NOT_APPLICABLE,2.677797297699893e-4,1.504564565661358,0.007575757575757576,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,247
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,site_full_vs_no_photoperiod,13.089867043342053,1,2.9689742369802676e-4,-161.59907580430675,-155.05414228263572,396,396,PASS,108,396,396,8,9395.85,available,,TRUE,TRUE,FALSE,1.3755538930126932e-5,,,,,,,,,NOT_APPLICABLE,2.677797297699893e-4,1.504564565661358,0.007575757575757576,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,247
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,latitude_full_vs_no_latitude,0.04498681733605281,1,0.8320282705814908,-156.988077715663,-156.96558430699497,396,396,PASS,108,396,396,8,9395.85,available,,TRUE,TRUE,FALSE,1.3755538930126932e-5,,,,,,,,,NOT_APPLICABLE,2.677797297699893e-4,1.504564565661358,0.007575757575757576,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,247
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,site_full_vs_latitude_full,3.8228840487184925,6,0.7006304415292798,-156.96558430699497,-155.05414228263572,396,396,PASS,108,396,396,8,9395.85,available,,TRUE,TRUE,FALSE,1.3755538930126932e-5,,,,,,,,,NOT_APPLICABLE,2.677797297699893e-4,1.504564565661358,0.007575757575757576,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,247
main__glasses__all_available,main,glasses,all_available,primary,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,site_full_vs_no_site,5.859558817261188,8,0.6629598772101277,-198.3745968379998,-195.4448174293692,500,500,PASS,132,500,500,9,11852.816666666668,available,,TRUE,TRUE,FALSE,4.3797854232252575e-7,,,,,,,,,NOT_APPLICABLE,1.799999614092825e-5,2.011564278676769,0.004,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,316
main__glasses__all_available,main,glasses,all_available,primary,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,site_full_vs_no_photoperiod,20.690839004892723,1,5.397361182364695e-6,-205.79023693181557,-195.4448174293692,500,500,PASS,132,500,500,9,11852.816666666668,available,,TRUE,TRUE,FALSE,4.3797854232252575e-7,,,,,,,,,NOT_APPLICABLE,1.799999614092825e-5,2.011564278676769,0.004,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,316
main__glasses__all_available,main,glasses,all_available,primary,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,latitude_full_vs_no_latitude,1.0531695303392894,1,0.30477824323359737,-198.3745968379998,-197.84801207283016,500,500,PASS,132,500,500,9,11852.816666666668,available,,TRUE,TRUE,FALSE,4.3797854232252575e-7,,,,,,,,,NOT_APPLICABLE,1.799999614092825e-5,2.011564278676769,0.004,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,316
main__glasses__all_available,main,glasses,all_available,primary,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,site_full_vs_latitude_full,4.806389286921899,7,0.6835767297336882,-197.84801207283016,-195.4448174293692,500,500,PASS,132,500,500,9,11852.816666666668,available,,TRUE,TRUE,FALSE,4.3797854232252575e-7,,,,,,,,,NOT_APPLICABLE,1.799999614092825e-5,2.011564278676769,0.004,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,316
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,site_full_vs_no_site,4.983424766089172,7,0.6619860871794844,-151.51826281226403,-149.02655042921944,400,400,PASS,106,400,400,8,9480.516666666666,available,,TRUE,TRUE,FALSE,3.205968823749572e-7,,,,,,,,,NOT_APPLICABLE,3.7595184435885606e-5,1.911714426442633,0.005,0,,,,,,,,WARN_GAUSSIAN_DIAGNOSTIC,0,0,0,0,PASS,,,,NOT_APPLICABLE,,,WARN_REVIEW,exactly_identified_longest_period,243
