run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,approximation,marginal_r2,conditional_r2,participant_associated_share,site_part_r2,photoperiod_part_r2,latitude_model_marginal_r2,latitude_part_r2,unrepresented_share,status
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,1,interdaily_stability,participant,gaussian,logit,lognormal,0.0309487295080705,0.0309487295080705,,0.024389011749825364,1.3257145062339046e-4,0.00935349844724575,0.002793780689000614,0.9690512704919295,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,2,intradaily_variability,participant,gaussian,identity,lognormal,0.069530663846339,0.069530663846339,,0.05221913142227586,0.010201268474018567,0.021101126824255897,0.0037895944001927356,0.930469336153661,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,3,daily_geometric_mean_medi,participant_day,gaussian,log10_offset_0.1,lognormal,0.1348595824202541,0.426206891570605,0.2913473091503509,0.05990385095930212,0.04556214082495041,0.07872361779787661,0.002697746058237221,0.573793108429395,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,4,m10_mean_medi,participant_day,gaussian,log10_offset_0.1,lognormal,0.10886689551465738,0.3307542425968044,0.22188734708214702,0.04629879038490017,0.03384796775466996,0.06413357936667148,7.832560622271728e-4,0.6692457574031956,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,lognormal,0.14796015089054995,0.5321521262185699,0.38419197532801996,0.12942235606840258,0.02103896649918146,0.06691662620131006,0.048060543750924806,0.4678478737814301,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,lognormal,0.19334066901452346,0.46920834241415166,0.2758676733996282,0.07281629572156981,0.06503952278183885,0.14558839554498954,0.024833326888780434,0.5307916575858483,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,6,duration_above_1000,participant_day,tweedie_log,identity,delta,0.16459677843002027,0.39945129996450873,0.23485452153448846,0.06199072214898428,0.055370119360207755,0.12389104366931677,0.0211323627444028,0.6005487000354912,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,lognormal,0.14364643498656712,0.42190779084224406,0.2782613558556769,0.08087660654463,0.04975236911315753,0.06265201570812214,4.4899935362471015e-5,0.5780922091577559,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,7,duration_above_250_wake,participant_day,tweedie_log,identity,delta,0.12785194117559706,0.3755173601164064,0.24766541894080935,0.07198390369655114,0.0442818993022475,0.055807738984193035,3.999494421359976e-5,0.6244826398835936,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,8,duration_below_10_pre_sleep,participant_day,gaussian,identity,lognormal,0.022777520948579613,0.232782964238789,0.21000544329020937,0.019333367904128426,0.014938026848576928,0.0037806308356757214,2.8849650646862085e-4,0.767217035761211,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,lognormal,0.06277586821727274,0.28233543242311043,0.2195595642058377,0.05208037857693194,0.005486115491903714,0.034514494534614124,0.02382777731824383,0.7176645675768896,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,9,duration_below_1_sleep_environment,participant_day,tweedie_log,identity,delta,0.061345009554603626,0.2759001235897412,0.21455511403513758,0.050893303623480546,0.005361069736282706,0.033727944095680334,0.023284766361218644,0.7240998764102589,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,10,longest_bout_above_250,participant_day,gaussian,log10_offset_0.1,lognormal,0.07398021403850412,0.27572133191773784,0.2017411178792337,0.02297641491793516,0.0321844616527134,0.05710257971691428,0.005439533033234241,0.7242786680822622,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,11,m10_midpoint,participant_day,gaussian,clock_hours,lognormal,0.13463830447839376,0.265547243708462,0.13090893923006824,0.12836418867277485,0.0012072699126906559,0.08748117793501912,0.08115093991205681,0.734452756291538,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,lognormal,0.1116200723390495,0.2723219221249898,0.1607018497859403,0.09686608944332792,0.01845888026244033,0.06289173994141785,0.047978738317961615,0.7276780778750103,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,13,mean_timing_above_250,participant_day,gaussian,clock_hours,lognormal,0.25034795313821057,0.35318506048322135,0.10283710734501078,0.22491199897498323,0.009493784315756582,0.1807646003548368,0.15519049832837636,0.6468149395167786,PASS
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,complementary_chest,14,first_timing_above_250,participant_day,gaussian,clock_hours,lognormal,0.16308070104979705,0.3872323119705318,0.22415161092073477,0.1601569403172887,0.002683683662813748,0.06443277443073199,0.06147443568630427,0.6127676880294681,PASS
