"check","expected","observed","status","notes"
"owner_manifest_sha256","a501adbbd6f7b013e3acac347460dc3c86543caab6f6a8525e7f2126ce40d76c","a501adbbd6f7b013e3acac347460dc3c86543caab6f6a8525e7f2126ce40d76c","PASS",""
"owner_manifest_members","25","25","PASS",""
"owner_manifest_unique","25","25","PASS",""
"owner_manifest_noncircular","0","0","PASS",""
"owner_manifest_member_hashes","25","25","PASS",""
"owner_manifest_member_bytes","25","25","PASS",""
"primary_effects_candidate_sha","a3f9bdb969c075d33adf9a0e6e751a1f967d5111856fcd0db07cbc36575a745a","a3f9bdb969c075d33adf9a0e6e751a1f967d5111856fcd0db07cbc36575a745a","PASS",""
"primary_effects_candidate_bytes","20707","20707","PASS",""
"primary_effects_trial_identity","a3f9bdb969c075d33adf9a0e6e751a1f967d5111856fcd0db07cbc36575a745a","a3f9bdb969c075d33adf9a0e6e751a1f967d5111856fcd0db07cbc36575a745a","PASS",""
"primary_effects_width","1134.00pt","1134.00pt","PASS",""
"primary_effects_height","702.00pt","702.00pt","PASS",""
"primary_effects_viewbox","0 0 1134.00 702.00","0 0 1134.00 702.00","PASS",""
"primary_effects_image_nodes","0","0","PASS",""
"primary_effects_script_nodes","0","0","PASS",""
"primary_effects_foreign_object_nodes","0","0","PASS",""
"primary_effects_raster_payloads","0","0","PASS",""
"primary_effects_external_resources","0","0","PASS",""
"primary_effects_unique_ids","5","5","PASS",""
"observed_timing_patterns_candidate_sha","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3","PASS",""
"observed_timing_patterns_candidate_bytes","1245097","1245097","PASS",""
"observed_timing_patterns_trial_identity","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3","PASS",""
"observed_timing_patterns_width","1134.00pt","1134.00pt","PASS",""
"observed_timing_patterns_height","918.00pt","918.00pt","PASS",""
"observed_timing_patterns_viewbox","0 0 1134.00 918.00","0 0 1134.00 918.00","PASS",""
"observed_timing_patterns_image_nodes","0","0","PASS",""
"observed_timing_patterns_script_nodes","0","0","PASS",""
"observed_timing_patterns_foreign_object_nodes","0","0","PASS",""
"observed_timing_patterns_raster_payloads","0","0","PASS",""
"observed_timing_patterns_external_resources","0","0","PASS",""
"observed_timing_patterns_unique_ids","20","20","PASS",""
"all_pass_evidence_preflight_checks_csv","16","16","PASS",""
"all_pass_evidence_post_candidate_checks_csv","11","11","PASS",""
"all_pass_evidence_svg_structure_checks_csv","30","30","PASS",""
"all_pass_evidence_candidate_svg_recheck_csv","30","30","PASS",""
"all_pass_evidence_plot_layer_map_pre_csv","8","8","PASS",""
"all_pass_evidence_plot_layer_map_post_csv","8","8","PASS",""
"all_pass_evidence_attempt_inventory_csv","2","2","PASS",""
"plot_layer_map_byte_identity","identical","17375e747224a8c2f8456f69fca168422772f7f364f50030086f0b3f2386c894","PASS",""
"H09_execution_inputs_live","37","37","PASS",""
"H09_preservation_live","566","566","PASS",""
"release_manifest_live","123","123","PASS",""
