"serial_position","source","working_directory","command","expected_output","source_at_inventory_sha256","status","execution_precondition","freshness_action"
1,"notebooks/preparation/01_import_state_alignment.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/preparation/01_import_state_alignment.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/preparation/01_import_state_alignment.html","93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
2,"notebooks/preparation/02_coverage_sample_flow.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/preparation/02_coverage_sample_flow.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html","572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
3,"notebooks/preparation/03_reference_profiles.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/preparation/03_reference_profiles.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/preparation/03_reference_profiles.html","4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
4,"notebooks/preparation/04_metric_derivation.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/preparation/04_metric_derivation.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/preparation/04_metric_derivation.html","6b7239ca32ecc6e75b993115f74fa2a42781ddded98ebf9ce94f2202777086d4","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
5,"notebooks/preparation/05_model_input_acquisition.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/preparation/05_model_input_acquisition.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/preparation/05_model_input_acquisition.html","184c40b45f349dc7129a86a2e8a0cf57665df7f9a82a4183ea1128b09954ad1d","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
6,"notebooks/preparation/06_model_ready_datasets.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/preparation/06_model_ready_datasets.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/preparation/06_model_ready_datasets.html","23b201c404f3b30918d49459ce54a3155a26b758ff10872bc0be4264bd386f87","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
7,"notebooks/preparation/07_example_days.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/preparation/07_example_days.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/preparation/07_example_days.html","e5b89c62b03af2e7989f76cb9578608b92420978393a7c857fd5edcc335dbcb1","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Retain accepted content and re-render only after report-only execution preflight"
8,"notebooks/placement_decision.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/placement_decision.qmd --profile nathealth --to html --no-clean --no-execute","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/placement_decision.html","b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved static source, full filter/resource closure, isolated output writes","Retain accepted content and re-render only after report-only execution preflight"
9,"notebooks/descriptives.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/descriptives.qmd --profile nathealth --to html --no-clean","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/descriptives.html","c17fef3ca932fa8cf195f6ae6604e822e3b46235cefd6a081d4eef69b88546bc","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved source, full transitive report-only R/helper/input closure, no analytical producer execution, immutable science pins","Classify accepted source-only delta and reconcile render inputs before report-only re-render"
10,"notebooks/preregistration_deviations.qmd","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project","RENV_CONFIG_AUTOLOADER_ENABLED=FALSE R_LIBS_USER=/Users/zauner/Library/R/arm64/4.6/library /usr/local/bin/quarto render notebooks/preregistration_deviations.qmd --profile nathealth --to html --no-clean --no-execute","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/final_review_2026_09_12/site_project/_build/nathealth/notebooks/preregistration_deviations.html","b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d","PROPOSED_NOT_EXECUTED_NOT_RELEASED","Approved static source, full filter/resource closure, isolated output writes","Retain accepted content and re-render only after report-only execution preflight"
