"label","title","path","sha256","rows","columns","source_cells","all_displayed_cell_text_exact","all_footnote_and_caption_text_exact","embedded_distribution_images","base_font","orientation","paper","source_table_sha256"
"Table_1","Participant and measurement characteristics","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_1.docx","5d09fe9d798c78295d5e8f783e0d73aaee81e1331f0527aa8e860f3bc2d70049",19,11,179,TRUE,TRUE,0,"Arial 10 pt","landscape","A4","00c62ea74ce921932bfdb0a183b6fb6bde354ca65cc156fad1b66a82b1cfc3e3"
"Table_2","Recommendation adherence","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_2.docx","a29823ac1f1b2455486d7d4f569c0f8a2d3f7f08bed47f10f6b660bbe4e6b4a0",6,7,31,TRUE,TRUE,0,"Arial 10 pt","landscape","A4","7a52f532098b3423cbed44e030ec5a6a3c4361b5425a55cd93b31bdfa2c07543"
"Table_3","Near-eye metrics and geographic and photoperiod context","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_3.docx","54a31ca2ebfc7c6030971312bd3aafb43f53f792e0de84aa514bdd53cab82bd3",26,7,136,TRUE,TRUE,17,"Arial 10 pt","landscape","A4","8a56380c224726998cdba87bcf8f4b848bf95387a258d9fabfb1d5ffd8fe2118"
"Table_S1","Descriptive sample flow","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S1.docx","9ece9a78981962ffb5a2e067e3937582484babe27d7afb050e953413de5ed24f",19,3,47,TRUE,TRUE,0,"Arial 10 pt","portrait","A4","642fd7148a0966168af123456eb45361e6cdbef7cd44e08a39e3a5baf48af02e"
"Table_S2","Full near-eye metric dictionary and distributions","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S2.docx","dafc44b0f41e91537d24aefda9c78772ff4c5f6a403594a8e56b373275ffc675",25,14,259,TRUE,TRUE,17,"Arial 10 pt","landscape","A3","4e014b2db9602043d0fd13ba01baa7dcc50a26e335982af64bb5cbaedd808313"
"Table_S3","Descriptive recommendation-range fractions","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S3.docx","29d32faf828a660ff8179f95de219aef2d69a23c1a33870a20f19dfa6cb99e5d",13,9,110,TRUE,TRUE,0,"Arial 10 pt","landscape","A4","ed2f9ded07c3fc8fe847fa2d0f2370bfcb06dcce67059a2c9b7243bb72bc8120"
"Table_S4","Exploratory cross-window recommendation-adherence associations","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S4.docx","449372acfb60acba928d40240792575a20be572622fcdb8bac7ae619dac38f5e",8,5,28,TRUE,TRUE,0,"Arial 10 pt","landscape","A4","99dea59c500351f4a0f160495cdef4890337e9b54eb265ebbd662e381d156308"
"Table_S5","Near-eye fitted-curve dispersion and full-model R² allocation","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S5.docx","2c572a23620b5c6851275901842f814db5768139ef3bdf509dd35f91dc858aa0",11,4,35,TRUE,TRUE,0,"Arial 10 pt","landscape","A4","28e7c83dc87b8497ca3c2d37229e57f4d7172f2a66ded901a10f7837b1b76838"
"Table_S6","Chest fitted-curve dispersion and full-model R² allocation","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S6.docx","2be5f95d9d762072e22ea6c629865b733a262d8ab8e7b11e81904ae9f7106dce",11,4,35,TRUE,TRUE,0,"Arial 10 pt","landscape","A4","48231c48ec21b1b9a15f907757a56ba7c1da39b8b6160a69406201157e47538e"
"Table_S7","Geographic and photoperiod associations","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/manuscript/R0_NatHealth/editable_tables/Table_S7.docx","9ec20d78bffd51bc6e27fe08e255cb6450a04e732e2d8da830d3d6cb4c4fe96a",25,8,152,TRUE,TRUE,0,"Arial 10 pt","landscape","A4","1bb9a0ada306de9dc0f3be1b7f18215cf04f0b8e7c9fbc647db465453232dde0"
