"logical_order","role","source","title","source_sha256","render_position","sidebar_position","expected_html","html_exists","html_sha256","live_source_sha256","live_html_sha256","source_exact","html_exact","R_chunks","required_action"
11,"shared","notebooks/descriptives.qmd","Descriptive tables and figures","b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c",9,11,"_build/nathealth/notebooks/descriptives.html",TRUE,"75ce099e8b94c4d6e67d2186ffdb62337c05071c769998ffe67c3e5d8419c2af","c17fef3ca932fa8cf195f6ae6604e822e3b46235cefd6a081d4eef69b88546bc","75ce099e8b94c4d6e67d2186ffdb62337c05071c769998ffe67c3e5d8419c2af",FALSE,TRUE,15,"Classify accepted source-only delta and reconcile render inputs before report-only re-render"
13,"hypothesis_result","notebooks/hypotheses/H01.qmd","H01: Site differences in personal light exposure","9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb",11,13,"_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"421ac96ce2739b238d6e8d2e20430a7468a8c0a96aa065b3661615f4245cae41","4618b80ed84518d94b8e8fe8b80db1fc43d272c2781c5294b3cc48b019348d43","421ac96ce2739b238d6e8d2e20430a7468a8c0a96aa065b3661615f4245cae41",FALSE,TRUE,38,"Classify accepted source-only delta and reconcile render inputs before report-only re-render"
14,"hypothesis_companion","audit/hypotheses/H01/H01_analysis_preparation.qmd","H01 analysis preparation and provenance","ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f",12,14,"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,"5479794d71b6030381f0cb25b298ece94e95a9e0a696dc41077fa77fbe0eced1","c6435a5f482df40c20f3d4d6e4f77d07f2a4f0bb3f1f2687efd2ebf92829e044","5479794d71b6030381f0cb25b298ece94e95a9e0a696dc41077fa77fbe0eced1",FALSE,TRUE,25,"Classify accepted source-only delta and reconcile render inputs before report-only re-render"
15,"hypothesis_result","notebooks/hypotheses/H02.qmd","H02: Daily melEDI patterns across sites and people","4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d",13,15,"_build/nathealth/notebooks/hypotheses/H02.html",TRUE,"2f8ea6ded87b5ff9f43aec445c096369b47315c474752c06f856e68e725c7143","b50b55eebb75f120928707821dc3b8e8d6f16905418c56d8d689744926ff3de8","2f8ea6ded87b5ff9f43aec445c096369b47315c474752c06f856e68e725c7143",FALSE,TRUE,22,"Classify accepted source-only delta and reconcile render inputs before report-only re-render"
17,"hypothesis_result","notebooks/hypotheses/H03.qmd","H03: Self-reported light source and measured personal light exposure","45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41",15,17,"_build/nathealth/notebooks/hypotheses/H03.html",TRUE,"8751090b4d38794c8ff24606a3c92ec2895880c97108074595dfcaf78edf551c","27c1fea54e5f32570613df80768d1fb5b668f3033aee90069820e951001c2513","8751090b4d38794c8ff24606a3c92ec2895880c97108074595dfcaf78edf551c",FALSE,TRUE,23,"Classify accepted source-only delta and reconcile render inputs before report-only re-render"
19,"hypothesis_result","notebooks/hypotheses/H04.qmd","H04: Self-reported activity and measured personal light exposure","f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5",17,19,"_build/nathealth/notebooks/hypotheses/H04.html",TRUE,"9f56f3c5bda2058c7e97f524e12f4b9734c9a61b0fafee3e5a810f2444229543","243896d4c22f68d23027f77f3721882e0a3d55274e67014e75d6ff55e2e243af","9f56f3c5bda2058c7e97f524e12f4b9734c9a61b0fafee3e5a810f2444229543",FALSE,TRUE,25,"Classify accepted source-only delta and reconcile render inputs before report-only re-render"
20,"hypothesis_companion","audit/hypotheses/H04/H04_analysis_preparation.qmd","H04 analysis preparation and provenance","efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474",18,20,"_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html",TRUE,"a7ae510b6f7b5c990699bacc3d2a60d2bdf55464996ca31c5653dd6f3bf6bcb9","5b6255184ab1988f2b89dfc363e1eb7d010d6f85436c7ff32754289af6e6de48","a7ae510b6f7b5c990699bacc3d2a60d2bdf55464996ca31c5653dd6f3bf6bcb9",FALSE,TRUE,42,"Classify accepted source-only delta and reconcile render inputs before report-only re-render"
21,"hypothesis_result","notebooks/hypotheses/H05.qmd","H05: Habitual light-related behaviour and personal light exposure","7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0",19,21,"_build/nathealth/notebooks/hypotheses/H05.html",TRUE,"d643cf7e51a357c64e46d52e72a1607491d70ad9626bc45f06d497fd46663dda","f748873f5f68198665fc3cb3d7047f586c619408f86e5e22bd9814593f9f2780","d643cf7e51a357c64e46d52e72a1607491d70ad9626bc45f06d497fd46663dda",FALSE,TRUE,39,"Classify accepted source-only delta and reconcile render inputs before report-only re-render"
23,"hypothesis_result","notebooks/hypotheses/H06.qmd","H06: Day type, exercise, sleep, and personal light exposure","d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350",21,23,"_build/nathealth/notebooks/hypotheses/H06.html",TRUE,"4883b77a2e225c8bad8628f1a04274f5d19d81aeb7cc493949707cdc6cd98e2f","5f8ec988d680e1a3e3dbf2410f0d4e6a49ded80a9990b3a09661aebdc98cbd4e","4883b77a2e225c8bad8628f1a04274f5d19d81aeb7cc493949707cdc6cd98e2f",FALSE,TRUE,21,"Classify accepted source-only delta and reconcile render inputs before report-only re-render"
24,"hypothesis_companion","audit/hypotheses/H06/H06_analysis_preparation.qmd","H06 analysis preparation and provenance","f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b",22,24,"_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html",TRUE,"aeac00b6806ae10368e133e904784e7c2fcc79747bb8c8e2dc95fe2d721a944e","5b128499a1f1a9312089ec47dfd1ba30cebb2a31059608659c0aa464753abfa0","aeac00b6806ae10368e133e904784e7c2fcc79747bb8c8e2dc95fe2d721a944e",FALSE,TRUE,35,"Classify accepted source-only delta and reconcile render inputs before report-only re-render"
