clock_hour,display_group,participant_hours,participants,participant_days,sites_with_support,support_state
0,Sedentary,212,92,212,9,Observed in all nine study sites
0,Active,495,131,495,9,Observed in all nine study sites
1,Sedentary,213,92,213,9,Observed in all nine study sites
1,Active,500,131,500,9,Observed in all nine study sites
2,Sedentary,212,92,212,9,Observed in all nine study sites
2,Active,500,131,500,9,Observed in all nine study sites
3,Sedentary,213,92,213,9,Observed in all nine study sites
3,Active,500,131,500,9,Observed in all nine study sites
4,Sedentary,214,92,214,9,Observed in all nine study sites
4,Active,501,131,501,9,Observed in all nine study sites
5,Sedentary,214,92,214,9,Observed in all nine study sites
5,Active,501,131,501,9,Observed in all nine study sites
6,Sedentary,214,92,214,9,Observed in all nine study sites
6,Active,492,130,492,9,Observed in all nine study sites
7,Sedentary,210,89,210,9,Observed in all nine study sites
7,Active,494,131,494,9,Observed in all nine study sites
8,Sedentary,214,92,214,9,Observed in all nine study sites
8,Active,492,130,492,9,Observed in all nine study sites
9,Sedentary,211,92,211,9,Observed in all nine study sites
9,Active,493,131,493,9,Observed in all nine study sites
10,Sedentary,209,92,209,9,Observed in all nine study sites
10,Active,484,131,484,9,Observed in all nine study sites
11,Sedentary,208,92,208,9,Observed in all nine study sites
11,Active,484,131,484,9,Observed in all nine study sites
12,Sedentary,206,92,206,9,Observed in all nine study sites
12,Active,486,131,486,9,Observed in all nine study sites
13,Sedentary,203,90,203,9,Observed in all nine study sites
13,Active,487,131,487,9,Observed in all nine study sites
14,Sedentary,210,92,210,9,Observed in all nine study sites
14,Active,478,130,478,9,Observed in all nine study sites
15,Sedentary,207,92,207,9,Observed in all nine study sites
15,Active,476,130,476,9,Observed in all nine study sites
16,Sedentary,202,90,202,9,Observed in all nine study sites
16,Active,468,129,468,9,Observed in all nine study sites
17,Sedentary,202,91,202,9,Observed in all nine study sites
17,Active,466,130,466,9,Observed in all nine study sites
18,Sedentary,207,92,207,9,Observed in all nine study sites
18,Active,461,130,461,9,Observed in all nine study sites
19,Sedentary,208,91,208,9,Observed in all nine study sites
19,Active,457,129,457,9,Observed in all nine study sites
20,Sedentary,201,86,201,9,Observed in all nine study sites
20,Active,460,128,460,9,Observed in all nine study sites
21,Sedentary,199,85,199,9,Observed in all nine study sites
21,Active,475,129,475,9,Observed in all nine study sites
22,Sedentary,205,88,205,9,Observed in all nine study sites
22,Active,474,130,474,9,Observed in all nine study sites
23,Sedentary,202,87,202,9,Observed in all nine study sites
23,Active,476,130,476,9,Observed in all nine study sites
