contrast_id,contrast_label,clock_hour,numerator,denominator,numerator_expected_melEDI_lx,denominator_expected_melEDI_lx,expected_melEDI_ratio,pointwise_low_ratio,pointwise_high_ratio,log_ratio,standard_error_log_ratio,occurrence_standard_error_contribution,positive_magnitude_standard_error_contribution,numerator_observations,numerator_positive_observations,numerator_zero_observations,numerator_participants,numerator_participant_days,numerator_sites_with_support,denominator_observations,denominator_positive_observations,denominator_zero_observations,denominator_participants,denominator_participant_days,denominator_sites_with_support,null_reference_ratio,basis_k,sites_standardized,other_factor_levels_standardized,standardization,model_components,occurrence_working_rho,positive_magnitude_working_rho,random_effects,interval_scope,inferential_role,pointwise_highlighting,display_scale,integer_hour,pointwise_ci_excludes_one
free_vs_work,Free day / Work day,0,Free day,Work day,4.21727613229964,3.1724510091943245,1.3293431860971934,0.8378967640065166,2.109034647625508,0.2846849752123348,0.2354866509035702,0.06646628478673483,0.2259119203150392,281,134,147,125,281,9,426,154,272,134,426,9,1,16,9,2,Response-scale expected melEDI gives equal weight to sedentary and active status and to each of the nine submitted sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10(),TRUE,FALSE
free_vs_work,Free day / Work day,0.25,Free day,Work day,3.5439812494479095,2.501297302769073,1.4168572626390827,0.8683946809384828,2.3117190221888575,0.34844122355221596,0.24977509461342215,0.07679346028984357,0.23767701265763208,281,134,147,125,281,9,426,154,272,134,426,9,1,16,9,2,Response-scale expected melEDI gives equal weight to sedentary and active status and to each of the nine submitted sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10(),FALSE,FALSE
free_vs_work,Free day / Work day,0.5,Free day,Work day,2.946055044867958,1.9304879387686624,1.5260675737487706,0.8991820529151437,2.590000803616169,0.4226942134996684,0.26988453699182413,0.08972621717527558,0.2545326487087788,281,134,147,125,281,9,426,154,272,134,426,9,1,16,9,2,Response-scale expected melEDI gives equal weight to sedentary and active status and to each of the nine submitted sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10(),FALSE,FALSE
free_vs_work,Free day / Work day,0.75,Free day,Work day,2.422908590042904,1.4608541607751693,1.658556107173109,0.9192871354434864,2.992327701087824,0.5059474089039605,0.3010790890190203,0.1085770174049114,0.28081960247813315,281,134,147,125,281,9,426,154,272,134,426,9,1,16,9,2,Response-scale expected melEDI gives equal weight to sedentary and active status and to each of the nine submitted sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10(),FALSE,FALSE
free_vs_work,Free day / Work day,1,Free day,Work day,1.969136980919172,1.0861565439293714,1.812940309502216,0.9300598930398928,3.5339149558156606,0.5949500076246618,0.3405451868910889,0.13302729635231483,0.3134880583688637,284,81,203,125,284,9,429,69,360,134,429,9,1,16,9,2,Response-scale expected melEDI gives equal weight to sedentary and active status and to each of the nine submitted sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10(),TRUE,FALSE
free_vs_work,Free day / Work day,1.25,Free day,Work day,1.5775483741178111,0.7956363482597305,1.982750508531104,0.942855664116818,4.1695666990162685,0.6844850264589311,0.3792554866861405,0.15817157797116838,0.3446976589761699,284,81,203,125,284,9,429,69,360,134,429,9,1,16,9,2,Response-scale expected melEDI gives equal weight to sedentary and active status and to each of the nine submitted sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10(),FALSE,FALSE
free_vs_work,Free day / Work day,1.5,Free day,Work day,1.2431135617613238,0.5769645807792327,2.15457517354429,0.9610214227922016,4.830479392400779,0.7675935688757352,0.4119219298501519,0.1798479000688287,0.3705865744091468,284,81,203,125,284,9,429,69,360,134,429,9,1,16,9,2,Response-scale expected melEDI gives equal weight to sedentary and active status and to each of the nine submitted sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10(),FALSE,FALSE
free_vs_work,Free day / Work day,1.75,Free day,Work day,0.9642072416000445,0.4173937899194984,2.310066093187463,0.9699762155091832,5.501583718826625,0.8372761358938577,0.4427427598759945,0.1996848860100615,0.39515452385334177,284,81,203,125,284,9,429,69,360,134,429,9,1,16,9,2,Response-scale expected melEDI gives equal weight to sedentary and active status and to each of the nine submitted sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10(),FALSE,FALSE
free_vs_work,Free day / Work day,2,Free day,Work day,0.7382039124984738,0.3037955368682144,2.429936661046816,0.9541415820407152,6.188381564998587,0.8878651915999154,0.47695182598823727,0.2212910803254606,0.4225083455766339,283,27,256,125,283,9,429,26,403,134,429,9,1,16,9,2,Response-scale expected melEDI gives equal weight to sedentary and active status and to each of the nine submitted sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10(),TRUE,FALSE
free_vs_work,Free day / Work day,2.25,Free day,Work day,0.5603750264414911,0.2243586951116187,2.497674655144093,0.9086178372131196,6.865789364297863,0.9153601610850708,0.5159231819437934,0.24642705722886693,0.4532664063578165,283,27,256,125,283,9,429,26,403,134,429,9,1,16,9,2,Response-scale expected melEDI gives equal weight to sedentary and active status and to each of the nine submitted sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10(),FALSE,FALSE
free_vs_work,Free day / Work day,2.5,Free day,Work day,0.4242193182586201,0.16950596327780523,2.502680791019501,0.8427917085587604,7.431742716654056,0.9173624737613916,0.5553152595747568,0.272646046601827,0.4837759510237915,283,27,256,125,283,9,429,26,403,134,429,9,1,16,9,2,Response-scale expected melEDI gives equal weight to sedentary and active status and to each of the nine submitted sites,Binomial-logit positive occurrence multiplied by Gamma-log positive magnitude,0.41775339670858846,0.4401468127195764,Participant and participant-day random-effect smooths excluded,Approximate pointwise 95% interval for the response-scale ratio; smoothing parameters fixed and occurrence-magnitude cross-component covariance set to zero; not simultaneous or multiplicity controlled,exploratory_time_of_day_contrast_not_primary_inference; no confirmatory whole-curve test,none,ggplot2::scale_y_log10(),FALSE,FALSE
