clock_hour,display_group,participant_hours,participants,participant_days,sites_with_support,support_state
0,Work day,426,134,426,9,Observed in all nine study sites
0,Free day,281,125,281,9,Observed in all nine study sites
1,Work day,429,134,429,9,Observed in all nine study sites
1,Free day,284,125,284,9,Observed in all nine study sites
2,Work day,429,134,429,9,Observed in all nine study sites
2,Free day,283,125,283,9,Observed in all nine study sites
3,Work day,429,134,429,9,Observed in all nine study sites
3,Free day,284,125,284,9,Observed in all nine study sites
4,Work day,430,134,430,9,Observed in all nine study sites
4,Free day,285,125,285,9,Observed in all nine study sites
5,Work day,430,134,430,9,Observed in all nine study sites
5,Free day,285,125,285,9,Observed in all nine study sites
6,Work day,423,133,423,9,Observed in all nine study sites
6,Free day,283,125,283,9,Observed in all nine study sites
7,Work day,425,134,425,9,Observed in all nine study sites
7,Free day,279,124,279,9,Observed in all nine study sites
8,Work day,424,133,424,9,Observed in all nine study sites
8,Free day,282,125,282,9,Observed in all nine study sites
9,Work day,423,134,423,9,Observed in all nine study sites
9,Free day,281,125,281,9,Observed in all nine study sites
10,Work day,421,134,421,9,Observed in all nine study sites
10,Free day,272,124,272,9,Observed in all nine study sites
11,Work day,423,134,423,9,Observed in all nine study sites
11,Free day,269,123,269,9,Observed in all nine study sites
12,Work day,419,134,419,9,Observed in all nine study sites
12,Free day,273,125,273,9,Observed in all nine study sites
13,Work day,416,133,416,9,Observed in all nine study sites
13,Free day,274,124,274,9,Observed in all nine study sites
14,Work day,417,134,417,9,Observed in all nine study sites
14,Free day,271,125,271,9,Observed in all nine study sites
15,Work day,413,134,413,9,Observed in all nine study sites
15,Free day,270,125,270,9,Observed in all nine study sites
16,Work day,404,133,404,9,Observed in all nine study sites
16,Free day,266,121,266,9,Observed in all nine study sites
17,Work day,397,133,397,9,Observed in all nine study sites
17,Free day,271,120,271,9,Observed in all nine study sites
18,Work day,397,133,397,9,Observed in all nine study sites
18,Free day,271,123,271,9,Observed in all nine study sites
19,Work day,396,133,396,9,Observed in all nine study sites
19,Free day,269,123,269,9,Observed in all nine study sites
20,Work day,394,132,394,9,Observed in all nine study sites
20,Free day,267,121,267,9,Observed in all nine study sites
21,Work day,403,133,403,9,Observed in all nine study sites
21,Free day,271,121,271,9,Observed in all nine study sites
22,Work day,412,134,412,9,Observed in all nine study sites
22,Free day,267,122,267,9,Observed in all nine study sites
23,Work day,412,134,412,9,Observed in all nine study sites
23,Free day,266,123,266,9,Observed in all nine study sites
