placement,activity_label,joint_group,joint_order,support_status,site,work_free_day,activity_status,hours,participants,participant_days,exact_zero_hours,display_order,display_name,color_hex
Near-eye,Sedentary,Work day · Sedentary,1,Supported,RISE,Work day,Sedentary (no reported exercise),349,8,15,99,1,Borås (SE),#88CCEE
Near-eye,Active,Work day · Active,2,Supported,RISE,Work day,"Active (light, moderate, or vigorous exercise)",656,11,28,189,1,Borås (SE),#88CCEE
Near-eye,Sedentary,Free day · Sedentary,3,Supported,RISE,Free day,Sedentary (no reported exercise),210,6,9,63,1,Borås (SE),#88CCEE
Near-eye,Active,Free day · Active,4,Supported,RISE,Free day,"Active (light, moderate, or vigorous exercise)",420,11,18,107,1,Borås (SE),#88CCEE
Near-eye,Sedentary,Work day · Sedentary,1,Observed but sparse,THUAS,Work day,Sedentary (no reported exercise),114,4,5,36,2,Delft (NL),#117733
Near-eye,Active,Work day · Active,2,Supported,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",809,13,35,215,2,Delft (NL),#117733
Near-eye,Sedentary,Free day · Sedentary,3,Observed but sparse,THUAS,Free day,Sedentary (no reported exercise),71,3,3,19,2,Delft (NL),#117733
Near-eye,Active,Free day · Active,4,Supported,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",363,11,16,106,2,Delft (NL),#117733
Near-eye,Sedentary,Work day · Sedentary,1,Supported,BAUA,Work day,Sedentary (no reported exercise),347,12,15,93,3,Dortmund (DE),#DDCC77
Near-eye,Active,Work day · Active,2,Supported,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",857,15,37,226,3,Dortmund (DE),#DDCC77
Near-eye,Sedentary,Free day · Sedentary,3,Observed but sparse,BAUA,Free day,Sedentary (no reported exercise),139,6,6,41,3,Dortmund (DE),#DDCC77
Near-eye,Active,Free day · Active,4,Supported,BAUA,Free day,"Active (light, moderate, or vigorous exercise)",701,16,30,208,3,Dortmund (DE),#DDCC77
Near-eye,Sedentary,Work day · Sedentary,1,Supported,MPI,Work day,Sedentary (no reported exercise),256,7,11,77,4,Tübingen (DE),#DDCC77
Near-eye,Active,Work day · Active,2,Supported,MPI,Work day,"Active (light, moderate, or vigorous exercise)",1738,25,75,449,4,Tübingen (DE),#DDCC77
Near-eye,Sedentary,Free day · Sedentary,3,Supported,MPI,Free day,Sedentary (no reported exercise),559,13,24,121,4,Tübingen (DE),#DDCC77
Near-eye,Active,Free day · Active,4,Supported,MPI,Free day,"Active (light, moderate, or vigorous exercise)",871,22,38,220,4,Tübingen (DE),#DDCC77
Near-eye,Sedentary,Work day · Sedentary,1,Supported,TUM,Work day,Sedentary (no reported exercise),236,5,10,47,5,Munich (DE),#DDCC77
Near-eye,Active,Work day · Active,2,Supported,TUM,Work day,"Active (light, moderate, or vigorous exercise)",461,8,20,89,5,Munich (DE),#DDCC77
Near-eye,Sedentary,Free day · Sedentary,3,Supported,TUM,Free day,Sedentary (no reported exercise),298,7,13,78,5,Munich (DE),#DDCC77
Near-eye,Active,Free day · Active,4,Supported,TUM,Free day,"Active (light, moderate, or vigorous exercise)",395,9,17,80,5,Munich (DE),#DDCC77
Near-eye,Sedentary,Work day · Sedentary,1,Supported,FUSPCEU,Work day,Sedentary (no reported exercise),615,14,26,213,6,Madrid (ES),#CC6677
Near-eye,Active,Work day · Active,2,Supported,FUSPCEU,Work day,"Active (light, moderate, or vigorous exercise)",725,16,31,255,6,Madrid (ES),#CC6677
Near-eye,Sedentary,Free day · Sedentary,3,Observed but sparse,FUSPCEU,Free day,Sedentary (no reported exercise),168,4,7,58,6,Madrid (ES),#CC6677
Near-eye,Active,Free day · Active,4,Supported,FUSPCEU,Free day,"Active (light, moderate, or vigorous exercise)",534,13,23,216,6,Madrid (ES),#CC6677
Near-eye,Sedentary,Work day · Sedentary,1,Supported,IZTECH,Work day,Sedentary (no reported exercise),585,12,25,139,7,Izmir (TR),#332288
Near-eye,Active,Work day · Active,2,Supported,IZTECH,Work day,"Active (light, moderate, or vigorous exercise)",885,14,38,246,7,Izmir (TR),#332288
Near-eye,Sedentary,Free day · Sedentary,3,Supported,IZTECH,Free day,Sedentary (no reported exercise),353,11,15,78,7,Izmir (TR),#332288
Near-eye,Active,Free day · Active,4,Supported,IZTECH,Free day,"Active (light, moderate, or vigorous exercise)",412,10,18,102,7,Izmir (TR),#332288
Near-eye,Sedentary,Work day · Sedentary,1,Supported,UCR,Work day,Sedentary (no reported exercise),305,6,13,60,8,San José (CR),#44AA99
Near-eye,Active,Work day · Active,2,Observed but sparse,UCR,Work day,"Active (light, moderate, or vigorous exercise)",138,4,6,36,8,San José (CR),#44AA99
Near-eye,Sedentary,Free day · Sedentary,3,Observed but sparse,UCR,Free day,Sedentary (no reported exercise),117,4,5,28,8,San José (CR),#44AA99
Near-eye,Active,Free day · Active,4,Observed but sparse,UCR,Free day,"Active (light, moderate, or vigorous exercise)",70,3,3,16,8,San José (CR),#44AA99
Near-eye,Sedentary,Work day · Sedentary,1,Observed but sparse,KNUST,Work day,Sedentary (no reported exercise),69,2,3,24,9,Kumasi (GH),#AA4499
Near-eye,Active,Work day · Active,2,Supported,KNUST,Work day,"Active (light, moderate, or vigorous exercise)",847,14,37,292,9,Kumasi (GH),#AA4499
Near-eye,Sedentary,Free day · Sedentary,3,Supported,KNUST,Free day,Sedentary (no reported exercise),205,6,9,93,9,Kumasi (GH),#AA4499
Near-eye,Active,Free day · Active,4,Supported,KNUST,Free day,"Active (light, moderate, or vigorous exercise)",718,11,31,278,9,Kumasi (GH),#AA4499
Chest,Sedentary,Work day · Sedentary,1,Supported,RISE,Work day,Sedentary (no reported exercise),396,10,17,111,1,Borås (SE),#88CCEE
Chest,Active,Work day · Active,2,Supported,RISE,Work day,"Active (light, moderate, or vigorous exercise)",870,14,37,251,1,Borås (SE),#88CCEE
Chest,Sedentary,Free day · Sedentary,3,Supported,RISE,Free day,Sedentary (no reported exercise),305,9,13,103,1,Borås (SE),#88CCEE
Chest,Active,Free day · Active,4,Supported,RISE,Free day,"Active (light, moderate, or vigorous exercise)",444,12,19,126,1,Borås (SE),#88CCEE
Chest,Sedentary,Work day · Sedentary,1,Observed but sparse,THUAS,Work day,Sedentary (no reported exercise),114,4,5,39,2,Delft (NL),#117733
Chest,Active,Work day · Active,2,Supported,THUAS,Work day,"Active (light, moderate, or vigorous exercise)",1070,15,46,307,2,Delft (NL),#117733
Chest,Sedentary,Free day · Sedentary,3,Observed but sparse,THUAS,Free day,Sedentary (no reported exercise),71,3,3,24,2,Delft (NL),#117733
Chest,Active,Free day · Active,4,Supported,THUAS,Free day,"Active (light, moderate, or vigorous exercise)",481,13,21,145,2,Delft (NL),#117733
Chest,Sedentary,Work day · Sedentary,1,Supported,BAUA,Work day,Sedentary (no reported exercise),348,12,15,106,3,Dortmund (DE),#DDCC77
Chest,Active,Work day · Active,2,Supported,BAUA,Work day,"Active (light, moderate, or vigorous exercise)",858,15,37,240,3,Dortmund (DE),#DDCC77
