"endpoint","table_id","source_line"
"tbl-stage4-measurement-contract","measurement",77
"tbl-stage4-chronology","chronology",93
"tbl-stage4-main-sample","samples",107
"tbl-stage4-association-sample","association_sample",119
"tbl-stage4-pair-eligibility","pair_eligibility",128
"tbl-stage4-profile-flow","profile_flow",140
"tbl-stage4-privacy","privacy",149
"tbl-stage4-model-components","model_components",167
"tbl-stage4-main-transitions","routes",205
"tbl-stage4-cross-transitions","cross_transitions",214
"tbl-stage4-main-diagnostics","diagnostics",234
"tbl-stage4-temporal-routes","temporal_routes",243
"tbl-stage4-cross-diagnostics","cross_diagnostics",253
"tbl-stage4-multiplicity","multiplicity",267
"tbl-stage4-ba-m6-derivation","derivation",281
"tbl-stage4-ba-m6-localizations","localizations",290
"tbl-stage4-execution-map","execution",304
"tbl-stage4-artifact-map","artifacts",313
"tbl-stage4-environment","environment",322
