"endpoint","table_id","row","column","expected","actual","exact_value"
"tbl-stage4-measurement-contract","measurement",1,"Aspect","Daytime","Daytime",TRUE
"tbl-stage4-measurement-contract","measurement",1,"Construction","melEDI at least 250 lx, outside the three-hour Pre-sleep window","melEDI at least 250 lx, outside the three-hour Pre-sleep window",TRUE
"tbl-stage4-measurement-contract","measurement",1,"Interpretation","Near-eye primary measurement","Near-eye primary measurement",TRUE
"tbl-stage4-measurement-contract","measurement",2,"Aspect","Pre-sleep","Pre-sleep",TRUE
"tbl-stage4-measurement-contract","measurement",2,"Construction","melEDI at most 10 lx, in the three hours before sleep","melEDI at most 10 lx, in the three hours before sleep",TRUE
"tbl-stage4-measurement-contract","measurement",2,"Interpretation","Near-eye primary measurement","Near-eye primary measurement",TRUE
"tbl-stage4-measurement-contract","measurement",3,"Aspect","Sleep","Sleep",TRUE
"tbl-stage4-measurement-contract","measurement",3,"Construction","melEDI at most 1 lx during recorded Sleep","melEDI at most 1 lx during recorded Sleep",TRUE
"tbl-stage4-measurement-contract","measurement",3,"Interpretation","Bedside measurement, not ocular or whole-bedroom exposure","Bedside measurement, not ocular or whole-bedroom exposure",TRUE
"tbl-stage4-measurement-contract","measurement",4,"Aspect","Numerator","Numerator",TRUE
"tbl-stage4-measurement-contract","measurement",4,"Construction","Number of valid minutes meeting the inclusive window-specific threshold","Number of valid minutes meeting the inclusive window-specific threshold",TRUE
"tbl-stage4-measurement-contract","measurement",4,"Interpretation","Threshold equality counts as adherence","Threshold equality counts as adherence",TRUE
"tbl-stage4-measurement-contract","measurement",5,"Aspect","Denominator","Denominator",TRUE
"tbl-stage4-measurement-contract","measurement",5,"Construction","All valid minutes in that window, adherent plus non-adherent","All valid minutes in that window, adherent plus non-adherent",TRUE
"tbl-stage4-measurement-contract","measurement",5,"Interpretation","Missing minutes are not imputed; exact zero and one proportions are retained","Missing minutes are not imputed; exact zero and one proportions are retained",TRUE
"tbl-stage4-measurement-contract","measurement",6,"Aspect","Coverage","Coverage",TRUE
"tbl-stage4-measurement-contract","measurement",6,"Construction","Valid minutes divided by the exact expected interval duration","Valid minutes divided by the exact expected interval duration",TRUE
"tbl-stage4-measurement-contract","measurement",6,"Interpretation","Expected minutes define coverage, not the model denominator","Expected minutes define coverage, not the model denominator",TRUE
"tbl-stage4-measurement-contract","measurement",7,"Aspect","Independent eligibility","Independent eligibility",TRUE
"tbl-stage4-measurement-contract","measurement",7,"Construction","Any valid period is primary; at least 80% is the coverage sensitivity","Any valid period is primary; at least 80% is the coverage sensitivity",TRUE
"tbl-stage4-measurement-contract","measurement",7,"Interpretation","One window may contribute while another is missing","One window may contribute while another is missing",TRUE
"tbl-stage4-measurement-contract","measurement",8,"Aspect","Day ownership","Day ownership",TRUE
"tbl-stage4-measurement-contract","measurement",8,"Construction","Work or Free day of the wake-start calendar date","Work or Free day of the wake-start calendar date",TRUE
"tbl-stage4-measurement-contract","measurement",8,"Interpretation","Preceding Sleep, Daytime and following Pre-sleep form one cycle; midnight does not split it","Preceding Sleep, Daytime and following Pre-sleep form one cycle; midnight does not split it",TRUE
"tbl-stage4-chronology","chronology",1,"Sample","Any-valid primary","Any-valid primary",TRUE
"tbl-stage4-chronology","chronology",1,"Target","Sleep","Sleep",TRUE
"tbl-stage4-chronology","chronology",1,"Rows","758","758",TRUE
"tbl-stage4-chronology","chronology",1,"Participants","140","140",TRUE
"tbl-stage4-chronology","chronology",1,"Date-gap range, days","1 to 1","1 to 1",TRUE
"tbl-stage4-chronology","chronology",1,"Source-row delta range","-6 to 7","-6 to 7",TRUE
"tbl-stage4-chronology","chronology",1,"Mapping failures","0","0",TRUE
"tbl-stage4-chronology","chronology",2,"Sample","Any-valid primary","Any-valid primary",TRUE
"tbl-stage4-chronology","chronology",2,"Target","Pre-sleep","Pre-sleep",TRUE
"tbl-stage4-chronology","chronology",2,"Rows","618","618",TRUE
"tbl-stage4-chronology","chronology",2,"Participants","139","139",TRUE
"tbl-stage4-chronology","chronology",2,"Date-gap range, days","1 to 1","1 to 1",TRUE
"tbl-stage4-chronology","chronology",2,"Source-row delta range","-6 to 7","-6 to 7",TRUE
"tbl-stage4-chronology","chronology",2,"Mapping failures","0","0",TRUE
"tbl-stage4-chronology","chronology",3,"Sample","At least 80% coverage","At least 80% coverage",TRUE
"tbl-stage4-chronology","chronology",3,"Target","Sleep","Sleep",TRUE
"tbl-stage4-chronology","chronology",3,"Rows","697","697",TRUE
"tbl-stage4-chronology","chronology",3,"Participants","140","140",TRUE
"tbl-stage4-chronology","chronology",3,"Date-gap range, days","1 to 1","1 to 1",TRUE
"tbl-stage4-chronology","chronology",3,"Source-row delta range","-6 to 7","-6 to 7",TRUE
"tbl-stage4-chronology","chronology",3,"Mapping failures","0","0",TRUE
"tbl-stage4-chronology","chronology",4,"Sample","At least 80% coverage","At least 80% coverage",TRUE
"tbl-stage4-chronology","chronology",4,"Target","Pre-sleep","Pre-sleep",TRUE
"tbl-stage4-chronology","chronology",4,"Rows","502","502",TRUE
"tbl-stage4-chronology","chronology",4,"Participants","137","137",TRUE
"tbl-stage4-chronology","chronology",4,"Date-gap range, days","1 to 1","1 to 1",TRUE
"tbl-stage4-chronology","chronology",4,"Source-row delta range","-6 to 7","-6 to 7",TRUE
"tbl-stage4-chronology","chronology",4,"Mapping failures","0","0",TRUE
"tbl-stage4-main-sample","samples",1,"Sample","Any valid period","Any valid period",TRUE
"tbl-stage4-main-sample","samples",1,"Window periods","2298","2298",TRUE
"tbl-stage4-main-sample","samples",1,"Participants","140","140",TRUE
"tbl-stage4-main-sample","samples",1,"Wake-anchored cycles","794","794",TRUE
"tbl-stage4-main-sample","samples",1,"Valid minutes","1043192","1043192",TRUE
"tbl-stage4-main-sample","samples",2,"Sample","At least 80% coverage","At least 80% coverage",TRUE
"tbl-stage4-main-sample","samples",2,"Window periods","2069","2069",TRUE
"tbl-stage4-main-sample","samples",2,"Participants","140","140",TRUE
"tbl-stage4-main-sample","samples",2,"Wake-anchored cycles","762","762",TRUE
"tbl-stage4-main-sample","samples",2,"Valid minutes","996868","996868",TRUE
