"endpoint","source_path","source_sha256","rows","columns","row_shape","column_shape","all_cells_match","input_unchanged"
"tbl-stage4-measurement-contract","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_measurement_source.csv","1692e746af4e9bf015163f782200c69c19c088f2215359ff7ddb0e38c113d65e",8,3,TRUE,TRUE,TRUE,TRUE
"tbl-stage4-chronology","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_chronology_source.csv","10adf14baec5ef09a71cb2fafd99ed1170052376776b265695a270fdfa5c434f",4,7,TRUE,TRUE,TRUE,TRUE
"tbl-stage4-main-sample","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_samples_source.csv","9d9b2f3625fbb41ad78d387b9368f4d3320a777d329d54797d055695204450a4",2,5,TRUE,TRUE,TRUE,TRUE
"tbl-stage4-association-sample","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_association_sample_source.csv","6a9b646bbd6e6ae3cc671c842c3bbf9bf8e381d83e593a777232d08366e1814e",4,10,TRUE,TRUE,TRUE,TRUE
"tbl-stage4-pair-eligibility","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_pair_eligibility_source.csv","6205e6812fea5beface21af3a1861fce74e4ac5b21c05a7be80c0352876f946e",4,5,TRUE,TRUE,TRUE,TRUE
"tbl-stage4-profile-flow","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_profile_flow_source.csv","8ede37bbb9d81cba6e8112820d433ee2fdced55a7828568d4c0d983d0ab60728",6,3,TRUE,TRUE,TRUE,TRUE
"tbl-stage4-privacy","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_privacy_source.csv","02e551a3a8f44e3a33a1c644a07a79001ec7ccb92bc024136026d7e8e767e380",6,4,TRUE,TRUE,TRUE,TRUE
"tbl-stage4-model-components","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_model_components_source.csv","4d36de15230b53b416fcfb8c7f7beddc8175949ccf9e74c323bdbaddb1606d5b",6,4,TRUE,TRUE,TRUE,TRUE
"tbl-stage4-main-transitions","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_routes_source.csv","97af1dbc50e5a79833e26432e336a7643ed35f6fe2abf6ac3ad24d87dbb2a205",35,5,TRUE,TRUE,TRUE,TRUE
"tbl-stage4-cross-transitions","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_cross_transitions_source.csv","0891d176ad67bc263d98622deaddea19bf618be0eace1b49f135a050c6e57015",11,6,TRUE,TRUE,TRUE,TRUE
