run_id,placement,scenario_id,working_power,category_order,category_code,light_source,short_label,distribution,expected_mel_edi_lx,expected_conf_low_lx,expected_conf_high_lx,model_ratio_to_indoor,ratio_to_indoor,ratio_conf_low,ratio_conf_high,statistic,df,p_raw,estimability_status,hours,participants,participant_days,sites,family_id,family_n,p_adjusted
main__near_eye,Near-eye,primary_dataset,1.539919,1,electric_indoor,Electric light source indoors,Indoor electric,site_standardized,88.8725718505442,75.00418492239255,105.30524444072839,1,1,1,1,,139,,REFERENCE,4629,138,695,9,H03-F2-context-contrasts,,
main__near_eye,Near-eye,primary_dataset,1.539919,2,electric_outdoor,Electric light source outdoors,Outdoor electric,site_standardized,81.5815051172878,28.854873204960803,230.65573464581433,0.9179604395210067,0.9179604395210067,0.32146030369977413,2.621323251509738,-0.16129948193264848,139,0.8720917394338877,ESTIMABLE,203,54,118,9,H03-F2-context-contrasts,6,0.8720917394338877
main__near_eye,Near-eye,primary_dataset,1.539919,3,daylight_indoor,Daylight indoors,Indoor daylight,site_standardized,205.0579980763184,172.69642825089315,243.48379987326075,2.3073260265401303,2.3073260265401303,1.8455672051646501,2.88461638126828,7.402945098137622,139,1.1596208260032757e-11,ESTIMABLE,4804,138,692,9,H03-F2-context-contrasts,6,2.3192416520065513e-11
main__near_eye,Near-eye,primary_dataset,1.539919,4,daylight_outdoor,Daylight outdoors (including shade),Outdoor daylight,site_standardized,1033.5294325209359,837.2950664466734,1275.7546660584312,11.62934087537163,11.62934087537163,8.938572761141629,15.130107771066179,18.434233704668195,139,3.718396889854693e-39,ESTIMABLE,1557,135,512,9,H03-F2-context-contrasts,6,2.2310381339128158e-38
main__near_eye,Near-eye,primary_dataset,1.539919,5,display,Emissive display light,Emissive display,site_standardized,53.13494281450177,35.760452623329115,78.95096232810307,0.5978778571172451,0.5978778571172451,0.39658742649321554,0.9013345057151578,-2.477523467522136,139,0.014428300950059722,ESTIMABLE,664,88,235,9,H03-F2-context-contrasts,6,0.017313961140071665
main__near_eye,Near-eye,primary_dataset,1.539919,6,sleep_darkness,Darkness during sleep,Sleep darkness,site_standardized,2.7443312818414425,1.5163375841073177,4.9668057188777475,0.030879395348843354,0.030879395348843354,0.01667434439320519,0.05718587997371194,-11.15833270881039,139,4.823808344413015e-21,ESTIMABLE,5225,130,712,9,H03-F2-context-contrasts,6,1.4471425033239045e-20
main__near_eye,Near-eye,primary_dataset,1.539919,7,sleep_external_light,Light entering from outside during sleep,External light during sleep,site_standardized,39.93780817490384,21.39688601339054,74.54489035541063,0.44938283368311555,0.44938283368311555,0.24587279536380452,0.8213390623808536,-2.6224636380692767,139,0.009703208229426597,ESTIMABLE,853,66,233,9,H03-F2-context-contrasts,6,0.014554812344139896
main__chest,Chest,primary_dataset,1.539919,1,electric_indoor,Electric light source indoors,Indoor electric,site_standardized,88.32253701393316,74.87762334168762,104.18159920728293,1,1,1,1,,150,,REFERENCE,5468,149,765,8,H03-C2-context-contrasts,,
main__chest,Chest,primary_dataset,1.539919,2,electric_outdoor,Electric light source outdoors,Outdoor electric,site_standardized,54.903503462565475,29.292477437856977,102.90678550009568,0.6216250723629494,0.6216250723629494,0.3504659293821016,1.1025828709556054,-1.639198153226401,150,0.10326768735002957,ESTIMABLE,219,59,129,8,H03-C2-context-contrasts,6,0.10326768735002957
main__chest,Chest,primary_dataset,1.539919,3,daylight_indoor,Daylight indoors,Indoor daylight,site_standardized,229.90606662410795,196.83637436348474,268.5316656613559,2.6030283367861085,2.6030283367861085,2.130029067772513,3.181062936947255,9.426056257778482,150,7.423064634327005e-17,ESTIMABLE,4979,148,741,8,H03-C2-context-contrasts,6,2.2269193902981017e-16
main__chest,Chest,primary_dataset,1.539919,4,daylight_outdoor,Daylight outdoors (including shade),Outdoor daylight,site_standardized,1310.1093306725913,1044.130266978854,1643.8432182237907,14.833239340327344,14.833239340327344,11.38993185325031,19.317498310110338,20.173943365935852,150,1.4081954993369767e-44,ESTIMABLE,1686,145,554,8,H03-C2-context-contrasts,6,8.44917299602186e-44
main__chest,Chest,primary_dataset,1.539919,5,display,Emissive display light,Emissive display,site_standardized,51.136732188846956,35.648040458132215,73.35509456754214,0.5789771661651881,0.5789771661651881,0.40019526892093327,0.8376274908109929,-2.9238732827733696,150,0.0039935331246937255,ESTIMABLE,861,97,275,8,H03-C2-context-contrasts,6,0.005990299687040589
main__chest,Chest,primary_dataset,1.539919,6,sleep_darkness,Darkness during sleep,Sleep darkness,site_standardized,3.843285069296139,1.5250763277588635,9.685312043090155,0.04351420599127319,0.04351420599127319,0.017180138927867815,0.11021366771252016,-6.664784114278262,150,4.742067215772547e-10,ESTIMABLE,5540,142,767,8,H03-C2-context-contrasts,6,9.484134431545094e-10
main__chest,Chest,primary_dataset,1.539919,7,sleep_external_light,Light entering from outside during sleep,External light during sleep,site_standardized,32.648854450431465,13.54030973002118,78.72402612490247,0.3696548531580451,0.3696548531580451,0.16363561092668968,0.8350548495493074,-2.412965570626109,150,0.017029852726881525,ESTIMABLE,759,63,225,7,H03-C2-context-contrasts,6,0.02043582327225783
