"analysis_state","state_display","site","site_display","state_order","site_order","member_id","sample_id","family","estimate","standard_error","conf_low","conf_high","from_M4_minus_M1","from_free_M5_minus_work_M5","state_sum","reconciliation_passed"
"Wake outside the three hours before sleep","Daytime","S1","Site 1",1,1,"BA-M6-01","support_80","BA-M6",-0.0160000000000001,0.00421637021355784,-0.0242639337640609,-0.00773606623593925,-0.016,-0.016,2.42861286636753e-17,TRUE
"Wake outside the three hours before sleep","Daytime","S2","Site 2",1,2,"BA-M6-02","support_80","BA-M6",-0.012,0.00421637021355784,-0.0202639337640608,-0.00373606623593919,-0.012,-0.0119999999999999,2.42861286636753e-17,TRUE
"Wake outside the three hours before sleep","Daytime","S3","Site 3",1,3,"BA-M6-03","support_80","BA-M6",-0.00799999999999995,0.00421637021355784,-0.0162639337640608,0.000263933764060871,-0.00799999999999995,-0.00799999999999996,2.42861286636753e-17,TRUE
"Wake outside the three hours before sleep","Daytime","S4","Site 4",1,4,"BA-M6-04","support_80","BA-M6",-0.004,0.00421637021355784,-0.0122639337640608,0.00426393376406082,-0.00399999999999995,-0.00400000000000001,2.42861286636753e-17,TRUE
"Wake outside the three hours before sleep","Daytime","S5","Site 5",1,5,"BA-M6-05","support_80","BA-M6",3.24000086019775e-17,0.00421637021355784,-0.00826393376406078,0.00826393376406085,5.55111512312578e-17,4.85722573273506e-17,2.42861286636753e-17,TRUE
"Wake outside the three hours before sleep","Daytime","S6","Site 6",1,6,"BA-M6-06","support_80","BA-M6",0.00400000000000006,0.00421637021355784,-0.00426393376406076,0.0122639337640609,0.00400000000000006,0.00400000000000005,2.42861286636753e-17,TRUE
"Wake outside the three hours before sleep","Daytime","S7","Site 7",1,7,"BA-M6-07","support_80","BA-M6",0.00799999999999998,0.00421637021355784,-0.000263933764060835,0.0162639337640608,0.00800000000000001,0.00800000000000003,2.42861286636753e-17,TRUE
"Wake outside the three hours before sleep","Daytime","S8","Site 8",1,8,"BA-M6-08","support_80","BA-M6",0.012,0.00421637021355784,0.00373606623593916,0.0202639337640608,0.012,0.0120000000000001,2.42861286636753e-17,TRUE
"Wake outside the three hours before sleep","Daytime","S9","Site 9",1,9,"BA-M6-09","support_80","BA-M6",0.016,0.00421637021355784,0.00773606623593916,0.0242639337640608,0.016,0.016,2.42861286636753e-17,TRUE
"Pre-sleep","Pre-sleep","S1","Site 1",2,1,"BA-M6-10","support_80","BA-M6",-0.032,0.00421637021355784,-0.0402639337640608,-0.0237360662359392,-0.0319999999999999,-0.032,3.46944695195361e-17,TRUE
"Pre-sleep","Pre-sleep","S2","Site 2",2,2,"BA-M6-11","support_80","BA-M6",-0.024,0.00421637021355784,-0.0322639337640608,-0.0157360662359392,-0.0239999999999999,-0.024,3.46944695195361e-17,TRUE
"Pre-sleep","Pre-sleep","S3","Site 3",2,3,"BA-M6-12","support_80","BA-M6",-0.016,0.00421637021355784,-0.0242639337640609,-0.00773606623593922,-0.016,-0.0160000000000001,3.46944695195361e-17,TRUE
"Pre-sleep","Pre-sleep","S4","Site 4",2,4,"BA-M6-13","support_80","BA-M6",-0.00799999999999993,0.00421637021355784,-0.0162639337640607,0.000263933764060892,-0.0079999999999999,-0.00799999999999994,3.46944695195361e-17,TRUE
"Pre-sleep","Pre-sleep","S5","Site 5",2,5,"BA-M6-14","support_80","BA-M6",-1.48091415673611e-17,0.00421637021355784,-0.00826393376406083,0.0082639337640608,0,-2.77555756156289e-17,3.46944695195361e-17,TRUE
"Pre-sleep","Pre-sleep","S6","Site 6",2,6,"BA-M6-15","support_80","BA-M6",0.00799999999999996,0.00421637021355784,-0.000263933764060855,0.0162639337640608,0.00800000000000001,0.00799999999999995,3.46944695195361e-17,TRUE
"Pre-sleep","Pre-sleep","S7","Site 7",2,7,"BA-M6-16","support_80","BA-M6",0.016,0.00421637021355784,0.00773606623593918,0.0242639337640608,0.016,0.016,3.46944695195361e-17,TRUE
"Pre-sleep","Pre-sleep","S8","Site 8",2,8,"BA-M6-17","support_80","BA-M6",0.024,0.00421637021355784,0.0157360662359392,0.0322639337640608,0.024,0.024,3.46944695195361e-17,TRUE
"Pre-sleep","Pre-sleep","S9","Site 9",2,9,"BA-M6-18","support_80","BA-M6",0.032,0.00421637021355784,0.0237360662359392,0.0402639337640609,0.032,0.0319999999999999,3.46944695195361e-17,TRUE
"Sleep environment","Sleep","S1","Site 1",3,1,"BA-M6-19","support_80","BA-M6",-0.048,0.00421637021355784,-0.0562639337640608,-0.0397360662359392,-0.0480000000000001,-0.048,3.46944695195361e-17,TRUE
"Sleep environment","Sleep","S2","Site 2",3,2,"BA-M6-20","support_80","BA-M6",-0.0359999999999999,0.00421637021355784,-0.0442639337640608,-0.0277360662359391,-0.036,-0.0359999999999999,3.46944695195361e-17,TRUE
"Sleep environment","Sleep","S3","Site 3",3,3,"BA-M6-21","support_80","BA-M6",-0.0239999999999999,0.00421637021355784,-0.0322639337640607,-0.0157360662359391,-0.024,-0.0239999999999999,3.46944695195361e-17,TRUE
"Sleep environment","Sleep","S4","Site 4",3,4,"BA-M6-22","support_80","BA-M6",-0.0119999999999999,0.00421637021355784,-0.0202639337640607,-0.0037360662359391,-0.012,-0.0119999999999999,3.46944695195361e-17,TRUE
