route,href,label,sha256
index.html,editable_tables/Table_1.docx,Table 1 (editable Word),5d09fe9d798c78295d5e8f783e0d73aaee81e1331f0527aa8e860f3bc2d70049
index.html,editable_tables/Table_2.docx,Table 2 (editable Word),75704e889145ad648f2532b3b539562c8ae840ee62f0ce864206120531b6e44f
index.html,editable_tables/Table_3.docx,Table 3 (editable Word),54a31ca2ebfc7c6030971312bd3aafb43f53f792e0de84aa514bdd53cab82bd3
index.html,editable_tables/Table_S1.docx,Table S1 (editable Word),9ece9a78981962ffb5a2e067e3937582484babe27d7afb050e953413de5ed24f
index.html,editable_tables/Table_S2.docx,Table S2 (editable Word),0c834387ff6462b737381d028f0482636c5e55ad0443234f1cb8c165dda75334
index.html,editable_tables/Table_S3.docx,Table S3 (editable Word),29d32faf828a660ff8179f95de219aef2d69a23c1a33870a20f19dfa6cb99e5d
index.html,editable_tables/Table_S4.docx,Table S4 (editable Word),3900fad5fe5bfc306d99f242b8b30f2d9297a9f2351b48d469ef1d3909896c4a
index.html,editable_tables/Table_S5.docx,Table S5 (editable Word),2c572a23620b5c6851275901842f814db5768139ef3bdf509dd35f91dc858aa0
index.html,editable_tables/Table_S6.docx,Table S6 (editable Word),2be5f95d9d762072e22ea6c629865b733a262d8ab8e7b11e81904ae9f7106dce
index.html,editable_tables/Table_S7.docx,Table S7 (editable Word),682fe317fb1a77b53483e203b05a1410e41816956fbca304b9bfd1e1878ec184
index.html,editable_tables/Table_S8.docx,Table S8 (editable Word),1c00fca20c863747c2ca6f3905277475a38be90f5c908233df038f9d20034372
index.html,editable_tables/Table_S9.docx,Table S9 (editable Word),1c6ce0a02661d80199f5e0fd9795827dfe4ad249f5918e0b53391ab1bb5027e3
index.html,editable_tables/Table_S10.docx,Table S10 (editable Word),fcd5d7eaf77bba2b4e4bcdfc82a01dd914de2c828a1579849d62e413418b0726
index.html,editable_tables/Table_S11a.docx,Table S11a (editable Word),241ed7f67b4d6ae4c093ca6f3ac86f7e8977a2181fbcb24ae7304ccb6b2bd165
index.html,editable_tables/Table_S11b.docx,Table S11b (editable Word),c73e527237637cf3014a509a924a66ecf76eab3f80054f679b051edf013590c5
index.html,editable_tables/Table_S12.docx,Table S12 (editable Word),c45851bcf66a334c058725ce91e04b3b24562436c0207ba290e3bcb566e176a3
index.html,editable_tables/Table_S13.docx,Table S13 (editable Word),504735337df61c5538c0017401eea9a6676c477d4b728a6fb329f56783794a5f
