artifact_id,path,file_sha256_before,file_sha256_after,invariant_scope,baseline_invariant_digest,updated_invariant_digest,invariant_verified,decision_id,producer,r_version
input_audit,artifacts/06_model_data/H08/H08_input_audit.csv,064458006a754a020d3a1b4a2ad963046a68946d5b85cd44ab9e5937c96888cd,47b46bc99953dd7a75df9eca28491dc474b048c5f5e802b6e2f6043db5cc24bb,provenance-only repin to 20 verified inputs; accepted scientific content is checked in downstream artifact rows,8528e78fd907007b41a0a4d00af43f6ec6c57a4f02e9133170a9fee4d4a8a6ee,8528e78fd907007b41a0a4d00af43f6ec6c57a4f02e9133170a9fee4d4a8a6ee,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
frame_index,artifacts/06_model_data/H08/H08_model_frame_index.csv,c72766d4c50a1ecb9a6c4fd74e01c66cb9244d7c39aea36d00fbe88855dc9424,3a95b69384db3be721e76de59eb5d84d6f911fbbe902c2b8cdf09afc00f6d7c5,every cell outside 138 explicitly permitted target cells,81a4853cbd9defeeead27081c34ce2981fbed25ae9abc329059b27281489600a,81a4853cbd9defeeead27081c34ce2981fbed25ae9abc329059b27281489600a,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
frame_rows,artifacts/06_model_data/H08/H08_model_frame_rows.csv,c062cbbf2eab861713781de4b8ea0edd13b852f145bb57a6ff3ce704a14706a0,45043ba03e96f127ddda924d1cddc187e635412fedeef5d89d2226087adbb18f,"every cell outside 70,605 explicitly permitted target cells",45f7787507c3219e85c9f1fe1ce2922b46365c862125661a83e4c591fbd546a4,45f7787507c3219e85c9f1fe1ce2922b46365c862125661a83e4c591fbd546a4,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
frames_archive,artifacts/06_model_data/H08/H08_model_frames.rds,0fedd2fbb41e527a1a0e1b5e56c2d256c5628c45ef0dd8e777525a5acb44e02f,811f097452de1484d63c7e9dd011056d605d7ab759d62cdf8f28fdcec8f22434,all 102 non-target model-frame objects,b8ae6ad6c8ff3443807e43c15fea666c7c30652ca11966076a9a486a3a9911a5,b8ae6ad6c8ff3443807e43c15fea666c7c30652ca11966076a9a486a3a9911a5,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
fit_index,artifacts/07_models/H08/H08_model_fit_index.csv,4f78a8da425010d7e9f7a6200f5914bfc3f5c259ee4701a3403ea3b0f56f5ef1,8aca6db05b91283321bb2115f732c4b150faba954f99fbd72c7d2b35a9eff3a2,every cell outside 594 explicitly permitted target cells,baea0e22d54114ee9ab864fd24001e6c822c28f3d97fd353d566d3d04009f216,baea0e22d54114ee9ab864fd24001e6c822c28f3d97fd353d566d3d04009f216,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
bundles_archive,artifacts/07_models/H08/H08_model_bundles.rds,0622e2386fe6cd5738074aa352d15d755893ba9ba7fa97f1071a0471d60517eb,a5baac89dc6f20c706fd5a29c49123ca14c245969ea5b237376df759ffa887dc,all 102 non-target participant-day model bundles,39b22a3c5b748c0052571a6213a86fc40a205d0b91b96d08cdc2481d311d2ef2,39b22a3c5b748c0052571a6213a86fc40a205d0b91b96d08cdc2481d311d2ef2,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
sensitivity_archive,artifacts/07_models/H08/H08_sensitivity_models.rds,342d21ac694e2eefe9d61005cfe46965d33268fcde1721643239695cd8333c28,fec750c73168fbe6b01603e0bc884ee033a0e5120feba788c62c293cc990eb9c,all 40 non-target sensitivity model bundles,87954cfc038e092a7f465ade40affb243d1a5e05da97c9d4587aef457f54eec0,87954cfc038e092a7f465ade40affb243d1a5e05da97c9d4587aef457f54eec0,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
tests,artifacts/09_tables/H08/H08_model_tests.csv,033209e3f3b8e228595243f41ec77c91ad95764a7083b3fe0a608aeb19db34ae,c16f4b52fc63dc4ac22bf905bcc03a100029ef866a6b325b6543109323831ea3,every cell outside 492 explicitly permitted target cells,7b0bf489175c08500d69cfc9f81696642ecb04d4bc9f576725c7d2920f26388e,7b0bf489175c08500d69cfc9f81696642ecb04d4bc9f576725c7d2920f26388e,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
effects,artifacts/09_tables/H08/H08_model_effects.csv,8d7fa3c2e331d533be887eadb80453b7a74a8c2149d025d921af3ac8db9c2d33,b933dcab57421424d98706b1f27138e5cb1262372d8b268e880b719116ab9018,every cell outside 192 explicitly permitted target cells,0d2038a9558a9b769b2540eaf24abce70879028e89047fc9de772675b4857130,0d2038a9558a9b769b2540eaf24abce70879028e89047fc9de772675b4857130,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
site_slopes,artifacts/09_tables/H08/H08_site_specific_slopes.csv,2ec1fe8fcc0fe9264c96edf81600054aeb1741aae0776d485f888d43f488445b,47a8fd41e19baec4c33fb27a9e52b3c69a40aa2f706a3bd2c3db7e93dccc2242,"every cell outside 1,600 explicitly permitted target cells",05c82a396aec8bdbecce5d1a22a79abbfc728f20fec2dd3e525948e8c90c30b0,05c82a396aec8bdbecce5d1a22a79abbfc728f20fec2dd3e525948e8c90c30b0,TRUE,METRIC-011,scripts/hypotheses/H08/reseal_h08_l10_metric011.R,4.6.1
