path,role,expected_sha256,current_sha256,expected_bytes,current_bytes,present,exact
audit/report_harmonization/owner_orders/32h_h01_historical_recovery_direct_reseal_and_result_completion.md,controlling consolidated continuation,2f3ed3658f026ab509db47761ca6c101243e1d08770f23d5b546af8e739aa5de,2f3ed3658f026ab509db47761ca6c101243e1d08770f23d5b546af8e739aa5de,18799,18799,TRUE,TRUE
audit/report_harmonization/report017_h01_order32g_stopped_state_independent_acceptance.md,accepted independent order32g stop and recovery,16921627f4b35d518c61214750e41af9a07be6dc3da76423c9b2b08a48232c69,16921627f4b35d518c61214750e41af9a07be6dc3da76423c9b2b08a48232c69,6079,6079,TRUE,TRUE
audit/report_harmonization/report017_h01_order32g_stopped_state_independent_manifest.csv,accepted independent order32g stop and recovery,67f3fb0e1a4b3c50b00fd3e540aa2d3ccea17ce4b7c7fbfadfd3427722709bca,67f3fb0e1a4b3c50b00fd3e540aa2d3ccea17ce4b7c7fbfadfd3427722709bca,4764,4764,TRUE,TRUE
audit/report_harmonization/report017_h01_order32g_recovery_checks.csv,accepted independent order32g stop and recovery,7105a18b8eb306b65bcd90103707674a61bf4f93a766463cc959ab48ac947dba,7105a18b8eb306b65bcd90103707674a61bf4f93a766463cc959ab48ac947dba,1193,1193,TRUE,TRUE
scripts/report_harmonization/reconstruct_h01_order32g_historical_display_test.R,accepted independent order32g stop and recovery,f53ef754f3ccdf700ed6987d9947a669d45df08a841dc1107bc69a20dd1f0680,f53ef754f3ccdf700ed6987d9947a669d45df08a841dc1107bc69a20dd1f0680,4581,4581,TRUE,TRUE
audit/report_harmonization/report017_h01_order32g_historical_test_recovery/H01_stage3_model_support_display_refresh_pre32g.R,accepted independent order32g stop and recovery,121135a4ea1c86cc6e11fc476615ee207fb34fe01270912d3f74ef2c8b5ad9cb,121135a4ea1c86cc6e11fc476615ee207fb34fe01270912d3f74ef2c8b5ad9cb,6747,6747,TRUE,TRUE
audit/hypotheses/H01/report017_order32g_continuation/order32g_stopped_state.md,accepted owner order32g stopped-state evidence,6012e1c2d6c5b664bc17968172e196ff80f9567553d099690afcb4402414bb90,6012e1c2d6c5b664bc17968172e196ff80f9567553d099690afcb4402414bb90,4310,4310,TRUE,TRUE
audit/hypotheses/H01/report017_order32g_continuation/order32g_stopped_state_manifest.csv,accepted owner order32g stopped-state evidence,05b44c9e852334e191a766ef784767f3197c603a5713e30f55e852a0580b9443,05b44c9e852334e191a766ef784767f3197c603a5713e30f55e852a0580b9443,12740,12740,TRUE,TRUE
audit/hypotheses/H01/report017_order32g_continuation/order32g_stopped_core_manifest_audit.csv,accepted owner order32g stopped-state evidence,f007b7a3bfec93310d37b72e24bf12936047113af08a200938c561101645d124,f007b7a3bfec93310d37b72e24bf12936047113af08a200938c561101645d124,8239,8239,TRUE,TRUE
audit/hypotheses/H01/report017_order32g_continuation/order32g_stopped_manifest_mismatches.csv,accepted owner order32g stopped-state evidence,11852b1ac43eefd816f2551388dc7cc6e342ca71fb8a8321cd9de5a38b6e1165,11852b1ac43eefd816f2551388dc7cc6e342ca71fb8a8321cd9de5a38b6e1165,5165,5165,TRUE,TRUE
audit/hypotheses/H01/report017_order32g_continuation/order32g_stopped_retained_temporary_audit.csv,accepted owner order32g stopped-state evidence,1b5880d37a3dcb68b03723be15579a90a0d4bce0624fefacdd6955b40819e5c1,1b5880d37a3dcb68b03723be15579a90a0d4bce0624fefacdd6955b40819e5c1,7774,7774,TRUE,TRUE
audit/hypotheses/H01/report017_order32g_continuation/order32g_stopped_candidate_durable_audit.csv,accepted owner order32g stopped-state evidence,c96b9301b9e024f56b410d73ea9cbb638591b1aa2dfd447ac90926b56f03f348,c96b9301b9e024f56b410d73ea9cbb638591b1aa2dfd447ac90926b56f03f348,2996,2996,TRUE,TRUE
audit/hypotheses/H01/report017_order32g_continuation/order32g_stopped_current_identities.csv,accepted owner order32g stopped-state evidence,9cb8a5bcd915aface262154de9a72a913216cba89a843212a139e5c364dc3bd0,9cb8a5bcd915aface262154de9a72a913216cba89a843212a139e5c364dc3bd0,1307,1307,TRUE,TRUE
scripts/hypotheses/H01/refresh_h01_order32d_figures.R,current H01 implementation test or manifest,367e1544e5533cdb2670c0e413a5f15c23c3d4a95f431bbf7784615e9bb00ff7,367e1544e5533cdb2670c0e413a5f15c23c3d4a95f431bbf7784615e9bb00ff7,29036,29036,TRUE,TRUE
scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,current H01 implementation test or manifest,39511a898f5d55be1abeb571e48a7812a0143f1db3aa641614e5464eb9c75bbc,39511a898f5d55be1abeb571e48a7812a0143f1db3aa641614e5464eb9c75bbc,68626,68626,TRUE,TRUE
