check,value,status
semantic hook disposition,REPAIRED,PASS
native gt tables,36,PASS
namespaced table IDs,783,PASS
headers attributes,4798,PASS
reversible substitutions,5581,PASS
document IDs unique,3339 unique,PASS
headers resolve within table,11084/11084,PASS
ID references resolve,59/59,PASS
table endpoints,36; publication summary first,PASS
figure endpoints,10; model support first,PASS
figure alt text and sources,10/10,PASS
preregistration-deviation links,40 occurrences; 36 unique anchors,PASS
internal links,all resolved; DOC-001 supplementary hold classified,PASS
principal output order,PASS,PASS
principal output FDR language,FDR present; BH-adjusted absent,PASS
raw error and warning nodes,0,PASS
H01 country-coded site sources,2/2 owned sources pass,PASS
protected content and mtimes,1689/1689,PASS
classified build content delta,5 allowed content changes,PASS
build symlinks,0,PASS
