table_endpoint,headers_value,token,resolves_once
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0002,tbl-h01-primary-publication-summary--gt-0011,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0002,tbl-h01-primary-publication-summary--gt-0012,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0002,tbl-h01-primary-publication-summary--gt-0002,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0007,tbl-h01-primary-publication-summary--gt-0011,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0007,tbl-h01-primary-publication-summary--gt-0012,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0007,tbl-h01-primary-publication-summary--gt-0007,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0008,tbl-h01-primary-publication-summary--gt-0011,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0008,tbl-h01-primary-publication-summary--gt-0012,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0008,tbl-h01-primary-publication-summary--gt-0008,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0009,tbl-h01-primary-publication-summary--gt-0011,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0009,tbl-h01-primary-publication-summary--gt-0012,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0009,tbl-h01-primary-publication-summary--gt-0009,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0010,tbl-h01-primary-publication-summary--gt-0011,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0010,tbl-h01-primary-publication-summary--gt-0012,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0010,tbl-h01-primary-publication-summary--gt-0010,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0005,tbl-h01-primary-publication-summary--gt-0011,TRUE
tbl-h01-primary-publication-summary,tbl-h01-primary-publication-summary--gt-0011 tbl-h01-primary-publication-summary--gt-0012 tbl-h01-primary-publication-summary--gt-0005,tbl-h01-primary-publication-summary--gt-0012,TRUE
