href,classification,resolved_path,target_exists,anchor,anchor_resolves
../../notebooks/hypotheses/H01.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html,TRUE,,TRUE
../../notebooks/hypotheses/H01.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html,TRUE,,TRUE
../../,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth,TRUE,,TRUE
../../index.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html,TRUE,,TRUE
../../supplementary_information.html,DOC-001 held supplementary target,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/../../supplementary_information.html,FALSE,,TRUE
../../notebooks/preparation/01_import_state_alignment.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/01_import_state_alignment.html,TRUE,,TRUE
../../notebooks/preparation/02_coverage_sample_flow.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,TRUE,,TRUE
../../notebooks/preparation/03_reference_profiles.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/03_reference_profiles.html,TRUE,,TRUE
../../notebooks/preparation/04_metric_derivation.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/04_metric_derivation.html,TRUE,,TRUE
../../notebooks/preparation/05_model_input_acquisition.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,TRUE,,TRUE
../../notebooks/preparation/06_model_ready_datasets.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,TRUE,,TRUE
../../notebooks/preparation/07_example_days.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/07_example_days.html,TRUE,,TRUE
../../notebooks/placement_decision.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/placement_decision.html,TRUE,,TRUE
../../notebooks/descriptives.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/descriptives.html,TRUE,,TRUE
../../notebooks/preregistration_deviations.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html,TRUE,,TRUE
../../notebooks/hypotheses/H01.html,resolved internal,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html,TRUE,,TRUE
