type,order,endpoint
table,1,tbl-h01-primary-publication-summary
table,2,tbl-h01-primary-tests
table,3,tbl-h01-primary-effects
table,4,tbl-h01-primary-site-deviation-matrix
table,5,tbl-h01-primary-site-contrasts
table,6,tbl-h01-primary-r2
table,7,tbl-h01-chest-tests
table,8,tbl-h01-chest-effects
table,9,tbl-h01-chest-site-contrasts
table,10,tbl-h01-chest-r2
table,11,tbl-h01-diagnostic-assessment
table,12,tbl-h01-representative-diagnostics
table,13,tbl-h01-sensitivity-classification
table,14,tbl-h01-sensitivity-support
table,15,tbl-h01-paired-placement
table,16,tbl-h01-l10-noon-support
table,17,tbl-h01-l10-noon-effects
table,18,tbl-h01-period-sensitivity
table,19,tbl-h01-scope-sensitivity
table,20,tbl-h01-marginalization
table,21,tbl-h01-influence
table,22,tbl-h01-latitude-loo
table,23,tbl-h01-samples-primary-near-eye
table,24,tbl-h01-samples-primary-chest
table,25,tbl-h01-samples-primary-near-eye-matched
table,26,tbl-h01-samples-primary-chest-matched
table,27,tbl-h01-samples-gap-near-eye
table,28,tbl-h01-samples-gap-chest
table,29,tbl-h01-samples-gap-near-eye-matched
table,30,tbl-h01-samples-gap-chest-matched
table,31,tbl-h01-deviations
table,32,tbl-h01-metric-registry
table,33,tbl-h01-participant-formulas
table,34,tbl-h01-participant-day-formulas
table,35,tbl-h01-preregistered-scope-formulas
table,36,tbl-h01-formula-manifest
figure,1,fig-h01-model-support
figure,2,fig-h01-site-contrasts-near-eye
figure,3,fig-h01-site-contrasts-chest
figure,4,fig-h01-r2-intervals
figure,5,fig-h01-paired-placement
figure,6,fig-h01-diagnostic-assessment
figure,7,fig-h01-diagnostic-mean-mel-edi
figure,8,fig-h01-diagnostic-pre-sleep
figure,9,fig-h01-diagnostic-wake-250
figure,10,fig-h01-diagnostic-sleep-below-1
