path,type_pre,symlink_target_pre,sha256_pre,bytes_pre,mtime_utc_pre,ctime_utc_pre,mode_pre,type_post,symlink_target_post,sha256_post,bytes_post,mtime_utc_post,ctime_utc_post,mode_post,content_changed,mtime_only
artifacts,directory,NA,NA,NA,2026-08-15 07:01:36 UTC,2026-08-15 07:01:37 UTC,755,directory,NA,NA,NA,2026-08-15 09:29:26 UTC,2026-08-15 09:29:27 UTC,755,FALSE,TRUE
artifacts/10_figures,directory,NA,NA,NA,2026-08-15 07:01:36 UTC,2026-08-15 07:01:37 UTC,755,directory,NA,NA,NA,2026-08-15 09:29:26 UTC,2026-08-15 09:29:27 UTC,755,FALSE,TRUE
artifacts/10_figures/H01,directory,NA,NA,NA,2026-08-15 07:01:36 UTC,2026-08-15 07:01:37 UTC,755,directory,NA,NA,NA,2026-08-15 09:29:26 UTC,2026-08-15 09:29:27 UTC,755,FALSE,TRUE
artifacts/10_figures/H01/stage3,directory,NA,NA,NA,2026-08-15 07:01:36 UTC,2026-08-15 07:01:37 UTC,755,directory,NA,NA,NA,2026-08-15 09:29:26 UTC,2026-08-15 09:29:27 UTC,755,FALSE,TRUE
artifacts/10_figures/H01/stage3/H01_stage3_diagnostic_assessment.png,regular_file,NA,95f46b0909b43c9b281a93a860d577b38a7753cb4d151ad751e2aca8a017b12d,326759,2026-08-03 06:11:37 UTC,2026-08-03 06:12:32 UTC,644,regular_file,NA,103556d8d6ca681cb8fba1ba65f4b1d7d5839ee477215becdfbc7480af0613c4,495057,2026-08-15 08:21:20 UTC,2026-08-15 09:29:27 UTC,644,TRUE,FALSE
artifacts/10_figures/H01/stage3/H01_stage3_model_support.png,regular_file,NA,2244f043d4fb676200524440098be223e23106578513f4ac61567ba3f636da8b,238682,2026-08-14 16:24:41 UTC,2026-08-15 06:14:45 UTC,644,regular_file,NA,a06d33e4d9708e7a60c0296a645b7c136ffea9f6be5bcf0c7a5e38615a3069de,332771,2026-08-15 08:21:20 UTC,2026-08-15 09:29:27 UTC,644,TRUE,FALSE
artifacts/10_figures/H01/stage3/H01_stage3_paired_placement.png,regular_file,NA,866670f47457bf304467e787481589298d9b7cf7c2c5de560ac9500f044c4608,226285,2026-08-12 08:21:34 UTC,2026-08-14 12:21:54 UTC,644,regular_file,NA,5ca5a91ed367bdf0158bae99a671819eccf14de0d06938c91a2268275998fee5,237215,2026-08-15 08:21:20 UTC,2026-08-15 09:29:27 UTC,644,TRUE,FALSE
artifacts/12_manifests,directory,NA,NA,NA,2026-08-15 06:14:39 UTC,2026-08-15 06:14:46 UTC,755,directory,NA,NA,NA,2026-08-15 09:29:24 UTC,2026-08-15 09:29:25 UTC,755,FALSE,TRUE
artifacts/12_manifests/H01_stage3_reporting_artifacts.csv,regular_file,NA,e9fe8740785e9f4d29e17c4333fdc0615347299c1dabea1d62ffad1cdafd11f9,26497,2026-08-14 18:45:53 UTC,2026-08-15 06:14:46 UTC,644,regular_file,NA,9bf3cf607f2a333ac1dd07036e5f24894c8a581b2ef7fd62b06c350de60216bf,29706,2026-08-15 09:20:17 UTC,2026-08-15 09:29:25 UTC,644,TRUE,FALSE
notebooks,directory,NA,NA,NA,2026-08-15 07:01:36 UTC,2026-08-15 07:01:37 UTC,755,directory,NA,NA,NA,2026-08-15 09:30:24 UTC,2026-08-15 09:30:25 UTC,755,FALSE,TRUE
notebooks/hypotheses,directory,NA,NA,NA,2026-08-15 07:01:36 UTC,2026-08-15 07:01:37 UTC,755,directory,NA,NA,NA,2026-08-15 09:30:24 UTC,2026-08-15 09:30:25 UTC,755,FALSE,TRUE
notebooks/hypotheses/H01.html,regular_file,NA,d1bc9159526c92b9cc9256c58a8232d4779f0014a3aa39ed3680b4e58fb25410,1643915,2026-08-15 05:52:30 UTC,2026-08-15 06:14:45 UTC,644,regular_file,NA,df78ac3c2ed91515058b6af38e01b85b4baae74118699c008a29ba4dacf4d007,1643915,2026-08-15 09:30:18 UTC,2026-08-15 09:30:25 UTC,644,TRUE,FALSE
site_libs,directory,NA,NA,NA,2026-08-15 07:01:30 UTC,2026-08-15 07:01:36 UTC,755,directory,NA,NA,NA,2026-08-15 09:29:26 UTC,2026-08-15 09:29:27 UTC,755,FALSE,TRUE
site_libs/bootstrap,directory,NA,NA,NA,2026-08-15 07:01:30 UTC,2026-08-15 07:01:36 UTC,755,directory,NA,NA,NA,2026-08-15 09:29:26 UTC,2026-08-15 09:29:27 UTC,755,FALSE,TRUE
site_libs/bootstrap/bootstrap-a2a938b4dd5711f7a799c87bd16ba44c.min.css,regular_file,NA,b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c,498438,2026-08-15 05:51:08 UTC,2026-08-15 06:14:46 UTC,644,regular_file,NA,b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c,498438,2026-08-15 09:28:55 UTC,2026-08-15 09:29:27 UTC,644,FALSE,TRUE
sitemap.xml,regular_file,NA,20e63c4778bbac50936fad33039fbc87d2e6bc8e51b148cb0299e76f3c0a27d1,5400,2026-08-15 05:51:31 UTC,2026-08-15 06:14:45 UTC,644,regular_file,NA,20e63c4778bbac50936fad33039fbc87d2e6bc8e51b148cb0299e76f3c0a27d1,5400,2026-08-15 09:29:19 UTC,2026-08-15 09:29:25 UTC,644,FALSE,TRUE
