path,role,expected_sha256,current_sha256,expected_bytes,current_bytes,present,exact
scripts/hypotheses/H01/refresh_h01_order32d_figures.R,current H01 implementation test or manifest,367e1544e5533cdb2670c0e413a5f15c23c3d4a95f431bbf7784615e9bb00ff7,367e1544e5533cdb2670c0e413a5f15c23c3d4a95f431bbf7784615e9bb00ff7,29036,29036,TRUE,TRUE
scripts/hypotheses/H01/build_h01_stage3_reporting_inputs.R,current H01 implementation test or manifest,39511a898f5d55be1abeb571e48a7812a0143f1db3aa641614e5464eb9c75bbc,39511a898f5d55be1abeb571e48a7812a0143f1db3aa641614e5464eb9c75bbc,68626,68626,TRUE,TRUE
tests/hypotheses/H01/test_h01_order32g_display_repair.R,current H01 implementation test or manifest,73a4d68708cf59855a00f7bf36fe2918e861dd0f0e8d94b8295ab9903a79ca07,73a4d68708cf59855a00f7bf36fe2918e861dd0f0e8d94b8295ab9903a79ca07,7106,7106,TRUE,TRUE
tests/hypotheses/H01/test_h01_reporting_inputs.R,current H01 implementation test or manifest,48f374cc70b69a6d96a95dc425ffd9676b2e83133a5554ae1c19eda939c0c8af,48f374cc70b69a6d96a95dc425ffd9676b2e83133a5554ae1c19eda939c0c8af,23014,23014,TRUE,TRUE
tests/hypotheses/H01/test_h01_preparation_report.R,current H01 implementation test or manifest,379414830e5bcd656ac460c2ad93616ecbcab104259c56a8fcf9296da8c0f2c4,379414830e5bcd656ac460c2ad93616ecbcab104259c56a8fcf9296da8c0f2c4,10993,10993,TRUE,TRUE
artifacts/12_manifests/H01_reporting_artifacts.csv,current H01 implementation test or manifest,dfa9e15f44f0919277264765e84b49b7be78e4822df014abed678b29a9a951b4,dfa9e15f44f0919277264765e84b49b7be78e4822df014abed678b29a9a951b4,11054,11054,TRUE,TRUE
notebooks/hypotheses/H01.qmd,frozen reader source render profile or semantic hook,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,93260,93260,TRUE,TRUE
audit/hypotheses/H01/H01_analysis_preparation.qmd,frozen reader source render profile or semantic hook,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,55827,55827,TRUE,TRUE
_build/nathealth/notebooks/hypotheses/H01.html,frozen reader source render profile or semantic hook,d1bc9159526c92b9cc9256c58a8232d4779f0014a3aa39ed3680b4e58fb25410,d1bc9159526c92b9cc9256c58a8232d4779f0014a3aa39ed3680b4e58fb25410,1643915,1643915,TRUE,TRUE
_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,frozen reader source render profile or semantic hook,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,5857f9e0655e5c1a8530c5794008d20dcb364749a8a7c36bd3e7815c15c36d38,667418,667418,TRUE,TRUE
