attribute,value,token,resolves_once
aria-labelledby,tabset-1-1-tab,tabset-1-1-tab,TRUE
aria-labelledby,tabset-1-2-tab,tabset-1-2-tab,TRUE
aria-labelledby,tabset-1-3-tab,tabset-1-3-tab,TRUE
aria-labelledby,tabset-1-4-tab,tabset-1-4-tab,TRUE
aria-labelledby,tabset-2-1-tab,tabset-2-1-tab,TRUE
aria-labelledby,tabset-2-2-tab,tabset-2-2-tab,TRUE
aria-labelledby,tabset-2-3-tab,tabset-2-3-tab,TRUE
aria-labelledby,tabset-2-4-tab,tabset-2-4-tab,TRUE
aria-labelledby,tabset-2-5-tab,tabset-2-5-tab,TRUE
aria-labelledby,tabset-2-6-tab,tabset-2-6-tab,TRUE
aria-labelledby,tabset-2-7-tab,tabset-2-7-tab,TRUE
aria-labelledby,tabset-2-8-tab,tabset-2-8-tab,TRUE
aria-labelledby,quarto-embedded-source-code-modal-label,quarto-embedded-source-code-modal-label,TRUE
aria-describedby,fig-h01-model-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,fig-h01-model-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-primary-publication-summary-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-primary-publication-summary-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-primary-tests-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-primary-tests-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-primary-effects-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-primary-effects-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,fig-h01-site-contrasts-near-eye-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,fig-h01-site-contrasts-near-eye-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-primary-site-deviation-matrix-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-primary-site-deviation-matrix-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-primary-site-contrasts-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-primary-site-contrasts-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-primary-r2-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-primary-r2-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-chest-tests-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-chest-tests-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-chest-effects-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-chest-effects-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,fig-h01-site-contrasts-chest-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,fig-h01-site-contrasts-chest-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-chest-site-contrasts-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-chest-site-contrasts-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-chest-r2-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-chest-r2-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,fig-h01-r2-intervals-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,fig-h01-r2-intervals-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,fig-h01-paired-placement-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,fig-h01-paired-placement-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,fig-h01-diagnostic-assessment-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,fig-h01-diagnostic-assessment-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-diagnostic-assessment-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-diagnostic-assessment-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-representative-diagnostics-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-representative-diagnostics-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,fig-h01-diagnostic-mean-mel-edi-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,fig-h01-diagnostic-mean-mel-edi-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,fig-h01-diagnostic-pre-sleep-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,fig-h01-diagnostic-pre-sleep-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,fig-h01-diagnostic-wake-250-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,fig-h01-diagnostic-wake-250-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,fig-h01-diagnostic-sleep-below-1-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,fig-h01-diagnostic-sleep-below-1-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-sensitivity-classification-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-sensitivity-classification-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-sensitivity-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-sensitivity-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
aria-describedby,tbl-h01-paired-placement-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,tbl-h01-paired-placement-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,TRUE
