Metric,Instrument,"Near-eye effect (95% CI), h","Chest effect (95% CI), h",Exact paired participants / days / observations
Midpoint of the brightest 10 hours,MCTQ MSFsc,+0.118 (-0.061 to +0.298),+0.093 (-0.094 to +0.280),111 / 637 / 637
Midpoint of the brightest 10 hours,MEQ,-0.225 (-0.426 to -0.023),-0.287 (-0.495 to -0.080),112 / 643 / 643
Midpoint of the darkest 10 hours,MCTQ MSFsc,+0.190 (+0.011 to +0.369),+0.111 (-0.066 to +0.288),111 / 637 / 637
Midpoint of the darkest 10 hours,MEQ,-0.256 (-0.459 to -0.054),-0.219 (-0.417 to -0.021),112 / 643 / 643
First light timing above 250 lx melEDI,MCTQ MSFsc,+0.329 (+0.080 to +0.579),+0.353 (+0.099 to +0.607),111 / 558 / 558
First light timing above 250 lx melEDI,MEQ,-0.412 (-0.692 to -0.132),-0.517 (-0.799 to -0.234),112 / 563 / 563
Last light timing above 250 lx melEDI,MCTQ MSFsc,-0.081 (-0.339 to +0.176),-0.206 (-0.427 to +0.015),111 / 520 / 520
Last light timing above 250 lx melEDI,MEQ,+0.082 (-0.217 to +0.381),+0.167 (-0.095 to +0.428),112 / 524 / 524
Midpoint of the longest continuous period above 250 lx melEDI,MCTQ MSFsc,+0.125 (-0.195 to +0.445),+0.009 (-0.296 to +0.314),104 / 355 / 355
Midpoint of the longest continuous period above 250 lx melEDI,MEQ,-0.103 (-0.470 to +0.264),-0.065 (-0.412 to +0.282),105 / 357 / 357
