Placement,Metric,Instrument,LRT statistic (df),Raw p,FDR-adjusted p
Chest,Midpoint of the brightest 10 hours,MCTQ MSFsc,9.546 (7),0.216,0.360
Near eye,Midpoint of the brightest 10 hours,MCTQ MSFsc,12.225 (8),0.141,0.239
Chest,Midpoint of the brightest 10 hours,MEQ,9.597 (7),0.213,0.587
Near eye,Midpoint of the brightest 10 hours,MEQ,7.968 (8),0.437,0.718
Chest,Midpoint of the darkest 10 hours,MCTQ MSFsc,13.061 (7),0.071,0.353
Near eye,Midpoint of the darkest 10 hours,MCTQ MSFsc,12.175 (8),0.144,0.239
Chest,Midpoint of the darkest 10 hours,MEQ,4.615 (7),0.707,0.707
Near eye,Midpoint of the darkest 10 hours,MEQ,3.332 (8),0.912,0.912
Chest,First light timing above 250 lx melEDI,MCTQ MSFsc,10.119 (7),0.182,0.360
Near eye,First light timing above 250 lx melEDI,MCTQ MSFsc,7.044 (8),0.532,0.532
Chest,First light timing above 250 lx melEDI,MEQ,7.916 (7),0.340,0.587
Near eye,First light timing above 250 lx melEDI,MEQ,9.737 (8),0.284,0.710
Chest,Last light timing above 250 lx melEDI,MCTQ MSFsc,3.426 (7),0.843,0.843
Near eye,Last light timing above 250 lx melEDI,MCTQ MSFsc,7.060 (8),0.530,0.532
Chest,Last light timing above 250 lx melEDI,MEQ,4.829 (7),0.681,0.707
Near eye,Last light timing above 250 lx melEDI,MEQ,6.653 (8),0.574,0.718
Chest,Midpoint of the longest continuous period above 250 lx melEDI,MCTQ MSFsc,5.436 (7),0.607,0.759
Near eye,Midpoint of the longest continuous period above 250 lx melEDI,MCTQ MSFsc,12.583 (8),0.127,0.239
Chest,Midpoint of the longest continuous period above 250 lx melEDI,MEQ,7.783 (7),0.352,0.587
Near eye,Midpoint of the longest continuous period above 250 lx melEDI,MEQ,19.168 (8),**0.014**,0.070
