Metric,Instrument,"Signed effect, h (95% CI)",Raw p,FDR-adjusted p,Fitted sample: participants / days / observations / hours / sites
Midpoint of the brightest 10 hours,MCTQ MSFsc,+0.117 (-0.038 to +0.272),0.130,0.162,153 / 896 / 896 / 20752.4 h / 8
Midpoint of the brightest 10 hours,MEQ,-0.214 (-0.381 to -0.047),**0.010**,**0.017**,154 / 902 / 902 / 20891.8 h / 8
Midpoint of the darkest 10 hours,MCTQ MSFsc,+0.174 (+0.022 to +0.327),**0.022**,0.055,153 / 896 / 896 / 20752.4 h / 8
Midpoint of the darkest 10 hours,MEQ,-0.227 (-0.392 to -0.062),**0.006**,**0.015**,154 / 902 / 902 / 20891.8 h / 8
First light timing above 250 lx melEDI,MCTQ MSFsc,+0.411 (+0.196 to +0.625),**<0.001**,**<0.001**,153 / 797 / 797 / 18518.4 h / 8
First light timing above 250 lx melEDI,MEQ,-0.462 (-0.696 to -0.228),**<0.001**,**<0.001**,154 / 802 / 802 / 18634.7 h / 8
Last light timing above 250 lx melEDI,MCTQ MSFsc,-0.187 (-0.404 to +0.031),0.084,0.140,153 / 783 / 783 / 18263.8 h / 8
Last light timing above 250 lx melEDI,MEQ,+0.176 (-0.064 to +0.416),0.139,0.173,154 / 787 / 787 / 18358.1 h / 8
Midpoint of the longest continuous period above 250 lx melEDI,MCTQ MSFsc,+0.058 (-0.189 to +0.306),0.608,0.608,149 / 547 / 547 / 12980.0 h / 8
Midpoint of the longest continuous period above 250 lx melEDI,MEQ,-0.067 (-0.339 to +0.206),0.607,0.607,150 / 549 / 549 / 13027.8 h / 8
