"check","pass","detail"
"component_review_manifest.csv",TRUE,"28/28 live-exact, unique, non-circular"
"review_h07_static.R",TRUE,"32/32, exact sealed check-table reproduction, outputs redirected to temporary audit root"
"review_h09_static.R",TRUE,"41/41, exact sealed check-table reproduction, outputs redirected to temporary audit root"
"finalize_component_review.R",TRUE,"30/30, exact sealed check-table reproduction, outputs redirected to temporary audit root"
"sealed_review_unchanged",TRUE,"All 28 members and review manifest unchanged by replay"
"source_authority_inventory",TRUE,"62/62 frozen source, manuscript, display, and implementation pins exact"
"six_integration_svg_structure",TRUE,"H01, H07, both H09, accepted S12 and accepted S17 parse and contain no raster/image/script/foreignObject or duplicate IDs"
"s12_mder_legend_absent",TRUE,"Accepted S12 exact and contains no MDER text"
"visual_not_overclaimed",TRUE,"All returned leases stopped before content load; no component visual acceptance asserted"
"source_engine_boundary",TRUE,"Selection and manuscript sources have no analytical code cells or inline R"
"twenty_numbered_figures",TRUE,"Explicit frozen mapping has 20 figure sources and 21 appearances; selection source mixes HTML figures and heading/image/caption blocks"
"h06_daily_excluded",TRUE,"No H06_daily figure source or numbered-figure caption in selection or supplement"
"all_twenty_current_svg_sources",TRUE,"All 20 existing display SVG sources are byte-exact, including historical held S5"
