"check","expected","observed","status","note"
"order_identity","ed7c0b94b5ad380e1ec8b29d09aec07eedda9fdfa5c5ad8752f2b9dd913e182a","ed7c0b94b5ad380e1ec8b29d09aec07eedda9fdfa5c5ad8752f2b9dd913e182a","PASS",""
"release_acceptance_identity","8e5d95479865fa4b71f11a133ae08b6aa2b067976305b190f267ac14d8514cd3","8e5d95479865fa4b71f11a133ae08b6aa2b067976305b190f267ac14d8514cd3","PASS",""
"release_manifest_identity","66de5e9a17875b29616c2558994ed6724c61e9179c518da4d143e8f33ae97e8f","66de5e9a17875b29616c2558994ed6724c61e9179c518da4d143e8f33ae97e8f","PASS",""
"dispatch_manifest_identity","252cddbec8b6b9981175aa0c2c3ee348380929a36cd90e4b4bbb2c5f9622e42e","252cddbec8b6b9981175aa0c2c3ee348380929a36cd90e4b4bbb2c5f9622e42e","PASS",""
"h07_candidate","f12465fd629c44bbcc7f09a13fccd88b41eda9b80d1cba1310bbdab4ce52ba57","f12465fd629c44bbcc7f09a13fccd88b41eda9b80d1cba1310bbdab4ce52ba57","PASS",""
"h09_primary_candidate","a3f9bdb969c075d33adf9a0e6e751a1f967d5111856fcd0db07cbc36575a745a","a3f9bdb969c075d33adf9a0e6e751a1f967d5111856fcd0db07cbc36575a745a","PASS",""
"h09_observed_candidate","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3","c937252509c5de9448944358a9846842c973bac26b0f0fb4640728fcf8a908b3","PASS",""
"h11_optional_candidate","ca613c8860b38625524518d106f0408ad264f90d78ef92bd9abd87f4daad904e","ca613c8860b38625524518d106f0408ad264f90d78ef92bd9abd87f4daad904e","PASS",""
"h07_independent_static_review","32/32 PASS","32/32 PASS","PASS",""
"h09_independent_static_review","41/41 PASS","41/41 PASS","PASS",""
"h11_independent_static_review","14/14 PASS","14/14 PASS","PASS",""
"h07_owner_static_manifest","57 unique, live-exact, non-circular members","57 rows; 57 exact hashes; 57 exact byte counts; manifest=non_circular_manifest.csv","PASS",""
"h09_owner_static_manifest","25 unique, live-exact, non-circular members","25 rows; 25 exact hashes; 25 exact byte counts; manifest=non_circular_manifest.csv","PASS",""
"h11_owner_static_manifest","20 unique, live-exact, non-circular members","20 rows; 20 exact hashes; 20 exact byte counts; manifest=manifest.csv","PASS",""
"h07_incremental_qa_manifest","21 unique, live-exact, non-circular members","21 rows; 21 exact hashes; 21 exact byte counts; manifest=qa_non_circular_manifest.csv","PASS",""
"h09_incremental_qa_manifest","19 unique, live-exact, non-circular members","19 rows; 19 exact hashes; 19 exact byte counts; manifest=qa_non_circular_manifest.csv","PASS",""
"h11_incremental_qa_manifest","14 unique, live-exact, non-circular members","14 rows; 14 exact hashes; 14 exact byte counts; manifest=visual_lease_001_manifest.csv","PASS",""
"h11_static_acceptance_manifest","30 unique, live-exact, non-circular members","30 rows; 30 exact hashes; 30 exact byte counts; manifest=manifest.csv","PASS",""
"h11_stop_disposition_manifest","23 unique, live-exact, non-circular members","23 rows; 23 exact hashes; 23 exact byte counts; manifest=manifest.csv","PASS",""
"release_manifest_live","123 unique, live-exact, non-circular members","123 rows; 123 exact hashes; 123 exact byte counts; manifest=release_manifest.csv","PASS",""
"h07_execution_inputs_live","39 unique, live-exact, non-circular members","39 rows; 39 exact hashes; 39 exact byte counts; manifest=H07_execution_input_pins.csv","PASS",""
"h07_preservation_live","1451 unique, live-exact, non-circular members","1451 rows; 1451 exact hashes; 1451 exact byte counts; manifest=H07_preservation_inventory.csv","PASS",""
"h09_execution_inputs_live","37 unique, live-exact, non-circular members","37 rows; 37 exact hashes; 37 exact byte counts; manifest=H09_execution_input_pins.csv","PASS",""
"h09_preservation_live","566 unique, live-exact, non-circular members","566 rows; 566 exact hashes; 566 exact byte counts; manifest=H09_preservation_inventory.csv","PASS",""
"h11_execution_inputs_live","34 unique, live-exact, non-circular members","34 rows; 34 exact hashes; 34 exact byte counts; manifest=H11_execution_input_pins.csv","PASS",""
"h11_preservation_live","531 unique, live-exact, non-circular members","531 rows; 531 exact hashes; 531 exact byte counts; manifest=H11_preservation_inventory.csv","PASS",""
"serial_visual_leases_closed","3 issued ACTIVE; 3 exact-owner returns; no open lease","H11=STOPPED_BROWSER_ROUTE_REJECTED; H09=VISUAL_QA_NOT_RUN_POLICY_BIND_STOP; H07=STOPPED_POLICY_BIND_REJECTED_BEFORE_CONTENT_LOAD","PASS",""
"h07_visual_state","policy bind rejected before content load; no visual acceptance","stopped record contains required state","PASS",""
"h09_visual_state","policy bind stop before content load; no visual acceptance","stopped record contains required state","PASS",""
"h11_visual_state","browser route rejected; optional candidate unpromoted","coordinator disposition contains required state","PASS",""
