"check","expected","observed","status","notes"
"owner_manifest_sha256","b0952d912f00abb6be3c4ada6a54f86d25c87080bf933fa627a4f18351091b1f","b0952d912f00abb6be3c4ada6a54f86d25c87080bf933fa627a4f18351091b1f","PASS",""
"owner_manifest_members","57","57","PASS",""
"owner_manifest_unique","57","57","PASS",""
"owner_manifest_noncircular","0","0","PASS",""
"owner_manifest_member_hashes","57","57","PASS",""
"owner_manifest_member_bytes","57","57","PASS",""
"candidate_sha256","f12465fd629c44bbcc7f09a13fccd88b41eda9b80d1cba1310bbdab4ce52ba57","f12465fd629c44bbcc7f09a13fccd88b41eda9b80d1cba1310bbdab4ce52ba57","PASS",""
"candidate_bytes","1238493","1238493","PASS",""
"trial_candidate_identity","f12465fd629c44bbcc7f09a13fccd88b41eda9b80d1cba1310bbdab4ce52ba57","f12465fd629c44bbcc7f09a13fccd88b41eda9b80d1cba1310bbdab4ce52ba57","PASS",""
"candidate_width","648.00pt","648.00pt","PASS",""
"candidate_height","1296.00pt","1296.00pt","PASS",""
"candidate_viewbox","0 0 648.00 1296.00","0 0 648.00 1296.00","PASS",""
"candidate_image_nodes","0","0","PASS",""
"candidate_script_nodes","0","0","PASS",""
"candidate_foreign_object_nodes","0","0","PASS",""
"candidate_raster_payloads","0","0","PASS",""
"candidate_external_resources","0","0","PASS",""
"candidate_unique_ids","37","37","PASS",""
"all_pass_evidence_candidate_svg_structure_checks_csv","16","16","PASS",""
"all_pass_evidence_candidate_numeric_input_checks_csv","4","4","PASS",""
"all_pass_evidence_candidate_layer_row_checks_csv","6","6","PASS",""
"all_pass_evidence_candidate_label_and_panel_order_checks_csv","18","18","PASS",""
"all_pass_evidence_candidate_visible_text_checks_csv","19","19","PASS",""
"one_svg_device_trial","1","1","PASS",""
"zero_renderer_corrections","0","0","PASS",""
"zero_scientific_computation","0","0","PASS",""
"pre_post_identity_release_manifest_rehash_csv","73710e78a4f900304d1d99143ae930140d8281dbef4fa4b75a23322731105cdb","73710e78a4f900304d1d99143ae930140d8281dbef4fa4b75a23322731105cdb","PASS",""
"pre_post_identity_execution_input_rehash_pre_csv","0cdc2ad8bf1027b6bb6ecaaa8270dadba5d6093c5312f07e45216f757bf7fb07","0cdc2ad8bf1027b6bb6ecaaa8270dadba5d6093c5312f07e45216f757bf7fb07","PASS",""
"pre_post_identity_preservation_rehash_pre_csv","94f35301f86e032e1e729ebcd423d1df69999cd55566601f27c5db5c4918fbb3","94f35301f86e032e1e729ebcd423d1df69999cd55566601f27c5db5c4918fbb3","PASS",""
"H07_execution_inputs_live","39","39","PASS",""
"H07_preservation_live","1451","1451","PASS",""
"release_manifest_live","123","123","PASS",""
