placement,site,hour_0_lx,hour_24_lx,endpoint_difference_lx,endpoint_ratio_24_to_0,endpoint_absolute_log_ratio,global_component_cyclic,site_deviation_basis
Near-eye,BAUA,0.8841988364097056,0.7405734417700336,-0.14362539463967205,0.8375643704499048,0.17725715799781996,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,FUSPCEU,1.3671884261538751,1.7912991619979144,0.42411073584403924,1.3102064995072642,0.270184758001903,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,IZTECH,3.0956274168769475,4.6766595532968935,1.581032136419946,1.5107307577780098,0.41259347931130375,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,KNUST,0.14552971380064378,0.5669943342097601,0.4214646204091163,3.8960726260100147,1.359969026779546,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,MPI,3.390796091302642,2.1685802095925575,-1.2222158817100843,0.6395489882611769,0.4469920568922089,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,RISE,0.16636080664763395,0.3425167917723902,0.17615598512475625,2.0588791234817063,0.7221617199025994,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,THUAS,1.504863714244906,4.160959752285942,2.656096038041036,2.765007696643003,1.0170434185664468,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,TUM,4.913156558664077,3.0246439634692703,-1.8885125951948063,0.6156213276239855,0.4851232323544119,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,UCR,6.156349367225718,0.42524237068623527,-5.7311069965394825,0.06907378794161342,2.6725799553173646,TRUE,thin-plate sz; endpoint equality not imposed
Chest,BAUA,0.5925304245927376,0.5226691128217531,-0.06986131177098454,0.8820966673247166,0.12545362883960043,TRUE,thin-plate sz; endpoint equality not imposed
Chest,FUSPCEU,1.7636217589633414,1.8971167637548152,0.1334950047914738,1.075693670773229,0.07296572861702821,TRUE,thin-plate sz; endpoint equality not imposed
Chest,IZTECH,3.7917646114479497,3.6404197213510536,-0.1513448900968961,0.9600858951950864,0.04073252436128083,TRUE,thin-plate sz; endpoint equality not imposed
Chest,KNUST,3.7370381041790908,3.767543844199973,0.030505740020882133,1.0081630797359995,0.008129942015702385,TRUE,thin-plate sz; endpoint equality not imposed
Chest,RISE,0.1796948572110804,0.27568581322255803,0.09599095601147764,1.5341886657263704,0.428001684773865,TRUE,thin-plate sz; endpoint equality not imposed
Chest,THUAS,2.47385766552269,3.1953523961077615,0.7214947305850714,1.291647632214374,0.25591863767845746,TRUE,thin-plate sz; endpoint equality not imposed
Chest,TUM,3.695250338852499,2.4843048106871755,-1.2109455281653236,0.6722967547196373,0.39705543665008125,TRUE,thin-plate sz; endpoint equality not imposed
Chest,UCR,2.2002545403547553,1.7982224525195714,-0.40203208783518396,0.8172792827095529,0.20177440323409834,TRUE,thin-plate sz; endpoint equality not imposed
