run_id,scenario_id,placement,working_power,formula,observations_long_rows,unique_participant_hours,effective_weighted_hours,participants,participant_days,sites,iterations,converged,design_columns,design_rank,full_rank,aliased_coefficients,finite_coefficients,covariance_finite,covariance_positive_definite,covariance_minimum_eigenvalue,covariance_condition_number,dispersion,exact_zero_unique_hours,exact_zero_fraction,fitted_minimum,fitted_median,fitted_maximum,hour_pearson_mean,hour_pearson_sd,hour_pearson_q01,hour_pearson_q99,hour_residual_fitted_spearman,hour_absolute_residual_fitted_spearman,hour_residual_lag1_correlation,maximum_cluster_score_share,maximum_cluster_leverage_share,fit_warnings,covariance_warnings
main__near_eye,primary_dataset,Near-eye,1.539919,geo_medi_1h ~ site + activity,17266,16526,16526.000000000022,126,724,9,8,TRUE,14,14,TRUE,0,TRUE,TRUE,TRUE,0.0015003535899970261,142.95293884072453,174.2356583092517,4784,0.2894832385332204,2.7158592967722903,78.91480205809441,1859.029946532771,-0.01685807799375939,13.298450035824018,-5.023327002699157,32.610190634319956,-0.30956926207618646,0.48273979784620374,0.44516922502052203,0.39808751524899433,0.015649565342419038,,
main__chest,primary_dataset,Chest,1.539919,geo_medi_1h ~ site + activity,21071,20128,20128.000000000022,150,875,8,9,TRUE,13,13,TRUE,0,TRUE,TRUE,TRUE,0.00160566660595545,90.06173289952532,278.9711583796736,5923,0.294266693163752,4.272225897346295,74.12010463784326,2230.128156403693,-0.005636808064806513,16.826370875785564,-5.134713653412116,33.888285814776395,-0.3492158574657605,0.5235856277527706,0.49773591700827186,0.24302416797549398,0.012735597911240917,,
exactly_one__near_eye,exactly_one_category,Near-eye,1.539919,geo_medi_1h ~ site + activity,15810,15810,15810,126,724,9,8,TRUE,14,14,TRUE,0,TRUE,TRUE,TRUE,0.0015291768402159503,143.4474489588868,185.1142598087734,4746,0.3001897533206831,2.75488679070018,59.84638882225115,2018.276045833063,-0.010215491975157533,13.600093853921049,-5.188692674355731,33.31145156666506,-0.32560751750596284,0.5033964833297968,0.44303385541150436,0.4178685430178736,0.017061104062579244,,
exactly_one__chest,exactly_one_category,Chest,1.539919,geo_medi_1h ~ site + activity,19210,19210,19210,150,875,8,9,TRUE,13,13,TRUE,0,TRUE,TRUE,TRUE,0.0016804598442599662,88.72720892478547,296.5519193443195,5862,0.3051535658511192,4.227125525588457,72.0432444336592,2540.1594620769733,0.003580566090143942,17.215244208641032,-5.246079605640001,34.33832286797522,-0.3703017435873434,0.5450435529698262,0.4981069266258573,0.2698791815285285,0.013405378611508813,,
retain_coselected_other__near_eye,retain_coselected_other,Near-eye,1.539919,geo_medi_1h ~ site + activity,17333,16526,16526.00000000002,126,724,9,8,TRUE,14,14,TRUE,0,TRUE,TRUE,TRUE,0.0015019289728547803,130.7958840628648,173.65918746030763,4784,0.2894832385332204,2.7188724698889093,78.98609763383946,1866.7377849340937,-0.018098222490918765,13.29137783457456,-4.977203051714744,32.40070686715872,-0.3008516926773928,0.47658116900359937,0.44411874856457106,0.3975637214775004,0.015622291325588957,,
retain_coselected_other__chest,retain_coselected_other,Chest,1.539919,geo_medi_1h ~ site + activity,21190,20128,20128.000000000015,150,875,8,9,TRUE,13,13,TRUE,0,TRUE,TRUE,TRUE,0.0016159128975806625,89.35822862260154,277.66523748137206,5923,0.294266693163752,4.264893788422074,114.25693637634083,2255.191568413604,-0.008481913629680269,16.817191619404802,-5.101627774002208,33.954314044273104,-0.3478226482658424,0.5230028666483759,0.4980915990264182,0.2425162675394855,0.013102178829865592,,
exclude_other_only__near_eye,exclude_other_only,Near-eye,1.539919,geo_medi_1h ~ site + activity,16875,16135,16135.000000000022,126,724,9,8,TRUE,13,13,TRUE,0,TRUE,TRUE,TRUE,0.0015236155184712836,87.47918047570026,177.091131279658,4746,0.2941431670281996,2.730780792350163,62.63436365327274,1751.3812911470384,-0.01713118708312132,13.414043870285603,-4.988606676480128,31.96068365746701,-0.29199527664144015,0.47294607347969747,0.43940518968340136,0.4451487041611303,0.016859002090168274,contrasts dropped from factor activity due to missing levels,
exclude_other_only__chest,exclude_other_only,Chest,1.539919,geo_medi_1h ~ site + activity,20440,19497,19497.000000000022,150,875,8,9,TRUE,12,12,TRUE,0,TRUE,TRUE,TRUE,0.0016288472278996819,89.6520379377916,277.97187707121645,5871,0.3011232497307278,4.367004109392322,75.90235686681824,2249.949794906505,-0.008048054511772334,16.785011976505285,-5.098892950611033,33.231001452253786,-0.3283209312981846,0.5127467615601599,0.49975156183750374,0.26781789968769715,0.012833048051653109,contrasts dropped from factor activity due to missing levels,
unweighted_long__near_eye,unweighted_long_rows,Near-eye,1.539919,geo_medi_1h ~ site + activity,17266,16526,17266,126,724,9,8,TRUE,14,14,TRUE,0,TRUE,TRUE,TRUE,0.0015729446739154791,134.6588630995542,178.82054231927992,4784,0.2894832385332204,2.682230227481062,79.06807604647283,1737.2186818041766,-0.030535561272018,13.31162504378754,-4.917927030069222,33.14855743873784,-0.33055437338193633,0.5050349175412862,0.4478334157904161,0.3701932633346324,0.015464201099194459,,
unweighted_long__chest,unweighted_long_rows,Chest,1.539919,geo_medi_1h ~ site + activity,21071,20128,21071,150,875,8,9,TRUE,13,13,TRUE,0,TRUE,TRUE,TRUE,0.0016174264954735421,87.39655226599055,286.4497793607986,5923,0.294266693163752,4.322020139955603,76.01081610804138,2001.834547777932,-0.02444319179459331,16.847772754134002,-5.0454417084905945,34.854354896575856,-0.3777066646981253,0.5531960533725976,0.4959287679935754,0.21190546254306006,0.013796569063761276,,
gap_timing_unaware__near_eye,gap_timing_unaware,Near-eye,1.539919,geo_medi_1h ~ site + activity,16961,16242,16242.00000000002,126,710,9,8,TRUE,14,14,TRUE,0,TRUE,TRUE,TRUE,0.0015381491641886162,143.13482729714522,176.86019176246754,4704,0.28961950498707056,2.7412462047957793,79.63759087129029,1782.982007080022,-0.016681736035138766,13.393235998035637,-4.951417734897522,32.36524179545138,-0.3115882768865216,0.4872153357371966,0.4451329325439553,0.37260320697952937,0.016340314395007993,,
