run_id,placement,method,standard_mgcv_diagnostic_available,diagnostic_note,measure,term,concurvity
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,worst,para,0.9999999999999996
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,worst,s(time_hour),0.9999999637860061
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,worst,"s(time_hour,activity)",0.9970650601879428
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,worst,"s(time_hour,site)",1.0000000000002656
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,worst,"s(time_hour,participant)",1.000000000000008
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,worst,s(participant_day),1.0000000000000107
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,observed,para,1
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,observed,s(time_hour),0.9999770432790476
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,observed,"s(time_hour,activity)",0.9277294727228289
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,observed,"s(time_hour,site)",0.9893704127232371
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,observed,"s(time_hour,participant)",0.3925473902391272
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,observed,s(participant_day),0.056191485565550356
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,estimate,para,1
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,estimate,s(time_hour),0.9844150778162675
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,estimate,"s(time_hour,activity)",0.8183234138867773
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,estimate,"s(time_hour,site)",0.998711755023628
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,estimate,"s(time_hour,participant)",0.1870687656683874
temporal_activity_long__near_eye,Near-eye,mgcv_full_concurvity,TRUE,,estimate,s(participant_day),0.18846208373075482
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,worst,para,0.999999999999998
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,worst,s(time_hour),0.9999999630338364
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,worst,"s(time_hour,activity)",0.989673370680457
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,worst,"s(time_hour,site)",1.0000000000002127
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,worst,"s(time_hour,participant)",1.0000000000000058
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,worst,s(participant_day),1.000000000000011
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,observed,para,0.9999999999999999
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,observed,s(time_hour),0.9999176082570777
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,observed,"s(time_hour,activity)",0.9259319525293618
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,observed,"s(time_hour,site)",0.9981735638186933
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,observed,"s(time_hour,participant)",0.3071949189885412
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,observed,s(participant_day),0.07390507622011652
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,estimate,para,1
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,estimate,s(time_hour),0.9807542116702241
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,estimate,"s(time_hour,activity)",0.802875224993986
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,estimate,"s(time_hour,site)",0.9986845331171481
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,estimate,"s(time_hour,participant)",0.16357860781189226
temporal_activity_long__chest,Chest,mgcv_full_concurvity,TRUE,,estimate,s(participant_day),0.18380886509608071
