placement,activity,activity_code,display_order,hour_0,hour_24,endpoint_difference_lx,endpoint_ratio_24_to_0,endpoint_absolute_log_ratio,global_component_cyclic,activity_deviation_basis
Near-eye,Sleeping,sleeping,1,0.3434610372179867,0.37706637850284414,0.033605341284857426,1.0978432417169022,0.09334756578849897,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,At home,home,2,1.5449820094110795,2.1762658882326456,0.631283878821566,1.4086027377511021,0.3425982469245453,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,On the road with public transport/car,road_vehicle,3,8.084912228274547,1.7525700290018165,-6.3323421992727305,0.21677044592676348,1.5289163382349957,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,Working in the office/from home,working_indoor,4,1.513675557145982,3.7916239064296193,2.2779483492836374,2.5049118937869905,0.918253561777352,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,Outdoors,outdoors,5,0.3976424965792904,1.228638967180999,0.8309964706017086,3.0898080002774724,1.12810895314661,TRUE,thin-plate sz; endpoint equality not imposed
Near-eye,Other/unspecified activity,other,6,2.247707493322018,0.8663371006293004,-1.3813703926927177,0.3854314243304364,0.9533919894020152,TRUE,thin-plate sz; endpoint equality not imposed
Chest,Sleeping,sleeping,1,0.19575691618139285,0.326664217464395,0.13090730128300215,1.6687237612677779,0.5120591194579536,TRUE,thin-plate sz; endpoint equality not imposed
Chest,At home,home,2,1.36676106425496,2.3518441486024564,0.9850830843474965,1.7207427180291228,0.542756010428671,TRUE,thin-plate sz; endpoint equality not imposed
Chest,On the road with public transport/car,road_vehicle,3,3.3390995546171705,2.8270506140492855,-0.512048940567885,0.8466505918160347,0.16646719386195513,TRUE,thin-plate sz; endpoint equality not imposed
Chest,Working in the office/from home,working_indoor,4,5.66059578640392,4.953095219270969,-0.7075005671329508,0.8750130562524384,0.13351647130448788,TRUE,thin-plate sz; endpoint equality not imposed
Chest,Outdoors,outdoors,5,0.3812567189687908,1.6215383408496704,1.2402816218808796,4.253140364937169,1.4476576194741617,TRUE,thin-plate sz; endpoint equality not imposed
Chest,Other/unspecified activity,other,6,10.2627885069585,1.1343224393332771,-9.128466067625224,0.11052770293026794,2.202489084194346,TRUE,thin-plate sz; endpoint equality not imposed
