placement,deletion_type,deletion_id
Near-eye,site,BAUA
Near-eye,site,FUSPCEU
Near-eye,site,IZTECH
Near-eye,site,KNUST
Near-eye,site,MPI
Near-eye,site,RISE
Near-eye,site,THUAS
Near-eye,site,TUM
Near-eye,site,UCR
Chest,site,BAUA
Chest,site,FUSPCEU
Chest,site,IZTECH
Chest,site,KNUST
Chest,site,RISE
Chest,site,THUAS
Chest,site,TUM
Chest,site,UCR
Near-eye,participant,BAUA.BAUA_S012
Near-eye,participant,KNUST.KNUST_S008
Near-eye,participant,TUM.TUM_S008
Near-eye,participant,BAUA.BAUA_S009
Near-eye,participant,TUM.TUM_S009
Chest,participant,KNUST.KNUST_S007
Chest,participant,TUM.TUM_S009
Chest,participant,TUM.TUM_S008
Chest,participant,BAUA.BAUA_S009
Chest,participant,RISE.RISE_S008
