placement,activity_code,activity,display_order,between_variable,participants,participants_with_category,participants_with_home,participants_with_category_and_home,mean_activity_share,median_activity_share,activity_share_q25,activity_share_q75,maximum_activity_share,minimum_home_share
Near-eye,sleeping,Sleeping,1,between_activity_1,126,126,126,126,0.35164513034486106,0.3537930135557873,0.3194444444444444,0.38672474424552433,0.5869565217391305,0.04385964912280704
Near-eye,road_vehicle,On the road with public transport/car,3,between_activity_2,126,111,126,111,0.040965294596187085,0.039287718761161286,0.01776215805471125,0.05871618720480892,0.1271186440677966,0.04385964912280704
Near-eye,working_indoor,Working in the office/from home,4,between_activity_3,126,124,126,124,0.21304250618610354,0.21147321887529558,0.14974560592044403,0.25521135886322,0.5350877192982456,0.04385964912280704
Near-eye,outdoors,Outdoors,5,between_activity_4,126,121,126,121,0.07680195312454413,0.061004784688995214,0.03783328264395783,0.09738234475076579,0.36666666666666664,0.04385964912280704
Near-eye,other,Other/unspecified activity,6,between_activity_5,126,72,126,72,0.024995954552446388,0.007407407407407408,0,0.0364963503649635,0.2807017543859649,0.04385964912280704
Chest,sleeping,Sleeping,1,between_activity_1,150,150,150,150,0.34877817106574904,0.3501498501498501,0.3185840707964602,0.38558219995227866,0.5869565217391305,0.04385964912280704
Chest,road_vehicle,On the road with public transport/car,3,between_activity_2,150,135,150,135,0.04450588497814695,0.042838367306452414,0.01951752162746688,0.06605571060541005,0.13602941176470587,0.04385964912280704
Chest,working_indoor,Working in the office/from home,4,between_activity_3,150,148,150,148,0.21314338107710598,0.20743330743330743,0.15971120279276418,0.260582890070922,0.5683453237410072,0.04385964912280704
Chest,outdoors,Outdoors,5,between_activity_4,150,143,150,143,0.07220815693941311,0.05614657210401891,0.02993283927744326,0.08922300263388938,0.36666666666666664,0.04385964912280704
Chest,other,Other/unspecified activity,6,between_activity_5,150,94,150,94,0.03176655001232768,0.014391468654552984,0,0.04238156209987196,0.3706293706293706,0.04385964912280704
