"sample_id","measure","maximum_absolute_difference","maximum_absolute_difference_percentage_points","tolerance_percentage_points","passed"
"primary_any_valid","cell_mean",1.4432899320127e-15,1.4432899320127e-13,0.05,TRUE
"primary_any_valid","cell_all_zero",6.10622663543836e-15,6.10622663543836e-13,0.05,TRUE
"primary_any_valid","cell_all_one",6.20614670765463e-14,6.20614670765463e-12,0.05,TRUE
"primary_any_valid","cell_mixed",6.20614670765463e-14,6.20614670765463e-12,0.05,TRUE
"primary_any_valid","cell_pi_zero",0,0,0.05,TRUE
"primary_any_valid","cell_pi_one",0,0,0.05,TRUE
"primary_any_valid","cell_pi_beta",0,0,0.05,TRUE
"primary_any_valid","cell_phi",0,0,0.05,TRUE
"support_80","cell_mean",1.55431223447522e-15,1.55431223447522e-13,0.05,TRUE
"support_80","cell_all_zero",1.77913239696181e-14,1.77913239696181e-12,0.05,TRUE
"support_80","cell_all_one",6.15063555642337e-14,6.15063555642337e-12,0.05,TRUE
"support_80","cell_mixed",6.15063555642337e-14,6.15063555642337e-12,0.05,TRUE
"support_80","cell_pi_zero",0,0,0.05,TRUE
"support_80","cell_pi_one",0,0,0.05,TRUE
"support_80","cell_pi_beta",0,0,0.05,TRUE
"support_80","cell_phi",0,0,0.05,TRUE
