"sample_id","analysis_state","state_display","day_type","day_type_display","weighting","estimate","standard_error","conf_low","conf_high"
"primary_any_valid","Wake outside the three hours before sleep","Daytime","Work day","Work day","equal_site",0.265756671374737,0.0106410286019584,0.244900638556438,0.286612704193036
"primary_any_valid","Wake outside the three hours before sleep","Daytime","Free day","Free day","equal_site",0.214889652604394,0.0117939848503503,0.191773867063497,0.238005438145292
"primary_any_valid","Pre-sleep","Pre-sleep","Work day","Work day","equal_site",0.619801876291874,0.0163164680324888,0.587822186593296,0.651781565990451
"primary_any_valid","Pre-sleep","Pre-sleep","Free day","Free day","equal_site",0.678981694476946,0.0186879812388463,0.642353924305047,0.715609464648845
"primary_any_valid","Sleep environment","Sleep","Work day","Work day","equal_site",0.904313186400006,0.00767514166681701,0.889270185156802,0.91935618764321
"primary_any_valid","Sleep environment","Sleep","Free day","Free day","equal_site",0.839403564355066,0.0129767323354291,0.813969636340609,0.864837492369523
"support_80","Wake outside the three hours before sleep","Daytime","Work day","Work day","equal_site",0.269357908152392,0.0108962910089655,0.248001570209752,0.290714246095032
"support_80","Wake outside the three hours before sleep","Daytime","Free day","Free day","equal_site",0.212636867870308,0.0120148297888993,0.189088234203686,0.236185501536929
"support_80","Pre-sleep","Pre-sleep","Work day","Work day","equal_site",0.626875512260551,0.0168174737475362,0.593913869404432,0.65983715511667
"support_80","Pre-sleep","Pre-sleep","Free day","Free day","equal_site",0.66804163504838,0.0209739443371588,0.626933459533801,0.709149810562959
"support_80","Sleep environment","Sleep","Work day","Work day","equal_site",0.900588885117434,0.00795838071917067,0.884990745532602,0.916187024702266
"support_80","Sleep environment","Sleep","Free day","Free day","equal_site",0.837912182715075,0.0129257742793876,0.812578130655181,0.863246234774969
