run_id,model_role,predictor_id,effect_id,distribution,covariance_type,site_specific,site,log_estimate,log_standard_error,estimate_ratio,conf_low_ratio,conf_high_ratio,statistic,denominator_df,p_raw,status
main__glasses__all_available,additive,work_free_day,free_vs_work,equal_site,HC0,FALSE,,0.37236969771635997,0.11981612821705047,1.4511693761394848,1.1450244862573826,1.8391681431445752,3.107842852690092,136,0.0022951908714213755,ESTIMABLE
main__glasses__all_available,additive,activity_status,active_vs_sedentary,equal_site,HC0,FALSE,,0.723722844168114,0.14355939635482654,2.062095799803583,1.552436159415143,2.7390750091582166,5.041278122814997,136,1.448386141287007e-6,ESTIMABLE
main__glasses__all_available,additive,previous_sleep_duration_centered_h,per_hour_previous_sleep,equal_site,HC0,FALSE,,-0.022456359710173235,0.06222143612558559,0.9777939074717709,0.86458726928697,1.1058235061422999,-0.36091034068786354,136,0.7187264705885565,ESTIMABLE
main__glasses__all_available,additive,work_free_day,free_vs_work,equal_site,HC1,FALSE,,0.37236969771635997,0.11985585804497367,1.4511693761394848,1.1449345273365243,1.8393126488586435,3.1068126647312906,136,0.002302665414010197,ESTIMABLE
main__glasses__all_available,additive,activity_status,active_vs_sedentary,equal_site,HC1,FALSE,,0.723722844168114,0.1436069992126291,2.062095799803583,1.5522900237657253,2.7393328710906766,5.039607039602206,136,1.4590778441605587e-6,ESTIMABLE
main__glasses__all_available,additive,previous_sleep_duration_centered_h,per_hour_previous_sleep,equal_site,HC1,FALSE,,-0.022456359710173235,0.06224206813053508,0.9777939074717709,0.8645519939436279,1.10586862581599,-0.3607907061037463,136,0.7188157042639514,ESTIMABLE
main__glasses__all_available,additive,work_free_day,free_vs_work,equal_site,HC2,FALSE,,0.37236969771635997,0.12104342781206974,1.4511693761394848,1.142248813378459,1.8436373350359705,3.0763313997889727,136,0.0025342898385517934,ESTIMABLE
main__glasses__all_available,additive,activity_status,active_vs_sedentary,equal_site,HC2,FALSE,,0.723722844168114,0.14523237787366877,2.062095799803583,1.5473085313487416,2.7481520339457006,4.983205912924242,136,1.8685176951391376e-6,ESTIMABLE
main__glasses__all_available,additive,previous_sleep_duration_centered_h,per_hour_previous_sleep,equal_site,HC2,FALSE,,-0.022456359710173235,0.06534313819772233,0.9777939074717709,0.8592663056478369,1.1126712629189905,-0.3436682156620999,136,0.7316265493805147,ESTIMABLE
main__glasses__all_available,additive,work_free_day,free_vs_work,equal_site,HC3,FALSE,,0.37236969771635997,0.12283668109124216,1.4511693761394848,1.1382052676937056,1.8501869724361208,3.031421025123323,136,0.0029150275741208088,ESTIMABLE
main__glasses__all_available,additive,activity_status,active_vs_sedentary,equal_site,HC3,FALSE,,0.723722844168114,0.14771170163113473,2.062095799803583,1.539740624796573,2.76165934644309,4.899563380397532,136,2.687843739971238e-6,ESTIMABLE
main__glasses__all_available,additive,previous_sleep_duration_centered_h,per_hour_previous_sleep,equal_site,HC3,FALSE,,-0.022456359710173235,0.06892579221465789,0.9777939074717709,0.8531999910395318,1.1205824373298843,-0.32580488360926846,136,0.7450727383019362,ESTIMABLE
