run_id,model_role,predictor_id,effect_id,distribution,covariance_type,site_specific,site,log_estimate,log_standard_error,estimate_ratio,conf_low_ratio,conf_high_ratio,statistic,denominator_df,p_raw,status,p_adjusted
main__glasses__gap_exact_common,gap_exact_common_additive,work_free_day,free_vs_work,equal_site,HC3,FALSE,,0.36172603060601705,0.11824056509456904,1.4358055213016545,1.136437224390482,1.8140355232608678,3.0592380061504936,136,0.002673429425304302,ESTIMABLE,0.004010144137956446
main__glasses__gap_exact_common,gap_exact_common_additive,activity_status,active_vs_sedentary,equal_site,HC3,FALSE,,0.7248435585803674,0.14676066289239828,2.0644081157667604,1.5443690238082362,2.7595612206301605,4.93894988135756,136,2.265980199271389e-6,ESTIMABLE,6.797940597814142e-6
main__glasses__gap_exact_common,gap_exact_common_additive,previous_sleep_duration_centered_h,per_hour_previous_sleep,equal_site,HC3,FALSE,,-0.03893194705407776,0.06546704370910299,0.9618161613424491,0.8450182917224256,1.0947577552834806,-0.5946800840292776,136,0.5530454156547839,ESTIMABLE,0.5530454156547837
gap_timing_unaware__glasses__gap_exact_common,gap_exact_common_additive,work_free_day,free_vs_work,equal_site,HC3,FALSE,,0.365226588007265,0.11833827784329212,1.4408404483300792,1.1402020133253132,1.8207485807619865,3.086292910996317,136,0.002456323256222643,ESTIMABLE,0.0036844848843339576
gap_timing_unaware__glasses__gap_exact_common,gap_exact_common_additive,activity_status,active_vs_sedentary,equal_site,HC3,FALSE,,0.7306477360584529,0.14875389924324728,2.0764251476144002,1.5472479853541246,2.786587175719402,4.911788798649733,136,2.5493460561676355e-6,ESTIMABLE,7.648038168502906e-6
gap_timing_unaware__glasses__gap_exact_common,gap_exact_common_additive,previous_sleep_duration_centered_h,per_hour_previous_sleep,equal_site,HC3,FALSE,,-0.03713916648822059,0.06589287559078404,0.96354203325699,0.8458220090448126,1.0976461240367488,-0.5636294691229863,136,0.5739345091346464,ESTIMABLE,0.5739345091346464
main__chest__gap_exact_common,gap_exact_common_additive,work_free_day,free_vs_work,equal_site,HC3,FALSE,,0.40483936846326224,0.11249636300048814,1.4990616841339817,1.2002534887229535,1.8722594468186646,3.5986885057031186,148,4.3549491406713207e-4,ESTIMABLE,
main__chest__gap_exact_common,gap_exact_common_additive,activity_status,active_vs_sedentary,equal_site,HC3,FALSE,,0.6001260996921345,0.17412772529160406,1.8223485834977557,1.291789394837513,2.570817172712586,3.4464706794229905,148,7.394884373817235e-4,ESTIMABLE,
main__chest__gap_exact_common,gap_exact_common_additive,previous_sleep_duration_centered_h,per_hour_previous_sleep,equal_site,HC3,FALSE,,-0.06719524989569431,0.061223961979109516,0.9350126223961013,0.8284644944030619,1.0552638163087018,-1.0975318767939632,148,0.2741913985033057,ESTIMABLE,
gap_timing_unaware__chest__gap_exact_common,gap_exact_common_additive,work_free_day,free_vs_work,equal_site,HC3,FALSE,,0.40108700289411703,0.11179419375253032,1.4934471970761536,1.1974184909386467,1.86266083857302,3.58772660217015,148,4.526719090962159e-4,ESTIMABLE,
gap_timing_unaware__chest__gap_exact_common,gap_exact_common_additive,activity_status,active_vs_sedentary,equal_site,HC3,FALSE,,0.6100757337103168,0.17658959571159644,1.8405707867581684,1.2983744532811965,2.609186288675297,3.4547660141126526,148,7.187645953025743e-4,ESTIMABLE,
gap_timing_unaware__chest__gap_exact_common,gap_exact_common_additive,previous_sleep_duration_centered_h,per_hour_previous_sleep,equal_site,HC3,FALSE,,-0.06379130148429599,0.06234970500853636,0.9382007802107125,0.8294421139769224,1.0612201733615858,-1.0231211434851577,148,0.3079199900236111,ESTIMABLE,
