run_id,distribution,covariance_type,reference_day,reference_activity,reference_previous_sleep_h,expected_melEDI_lx,conf_low_melEDI_lx,conf_high_melEDI_lx,log_standard_error,denominator_df,status
main__glasses__all_available,equal_site,HC3,Work day,Sedentary (no reported exercise),8,80.27391174752655,61.725197345735786,104.39660275456131,0.13286694095072787,136,ESTIMABLE
main__glasses__all_available,observed_sample,HC3,Work day,Sedentary (no reported exercise),8,79.49445849634046,61.05497571726315,103.5029308813501,0.13345360524172722,136,ESTIMABLE
main__chest__all_available,equal_site,HC3,Work day,Sedentary (no reported exercise),8,92.7542595159858,69.19862493626303,124.32837597977063,0.14825631230733533,148,ESTIMABLE
main__chest__all_available,observed_sample,HC3,Work day,Sedentary (no reported exercise),8,91.48817145400693,69.11588725867723,121.10219296862076,0.14190672382144304,148,ESTIMABLE
main__glasses__paired_common,equal_site,HC3,Work day,Sedentary (no reported exercise),8,82.27913399054802,61.52211160436928,110.03939419000308,0.1466677329455514,108,ESTIMABLE
main__glasses__paired_common,observed_sample,HC3,Work day,Sedentary (no reported exercise),8,82.71531390994967,62.14196200312988,110.09988958631389,0.14427762461595428,108,ESTIMABLE
main__chest__paired_common,equal_site,HC3,Work day,Sedentary (no reported exercise),8,92.8303684143398,63.9393699462223,134.7757619005315,0.18809581779190002,108,ESTIMABLE
main__chest__paired_common,observed_sample,HC3,Work day,Sedentary (no reported exercise),8,90.68493377119384,62.59075015085163,131.3893377738007,0.18705412510791197,108,ESTIMABLE
gap_timing_unaware__glasses__all_available,equal_site,HC3,Work day,Sedentary (no reported exercise),8,80.09019503992465,61.50853859625349,104.28534782199941,0.13348638210383965,136,ESTIMABLE
gap_timing_unaware__glasses__all_available,observed_sample,HC3,Work day,Sedentary (no reported exercise),8,79.35457650939344,60.86174243797682,103.46645627838367,0.13416596299142206,136,ESTIMABLE
gap_timing_unaware__chest__all_available,equal_site,HC3,Work day,Sedentary (no reported exercise),8,92.017426293657,68.44181900071129,123.71393492070398,0.1497852231318034,148,ESTIMABLE
gap_timing_unaware__chest__all_available,observed_sample,HC3,Work day,Sedentary (no reported exercise),8,90.8198553341418,68.36761302897213,120.64551850624196,0.14370501572363664,148,ESTIMABLE
