comparison_id,predictor_id,reference_log_estimate,reference_log_se,reference_log_low,reference_log_high,reference_ratio,reference_conf_low,reference_conf_high,reference_p_adjusted,alternative_log_estimate,alternative_log_low,alternative_log_high,alternative_ratio,alternative_conf_low,alternative_conf_high,alternative_p_adjusted,log_estimate_difference,absolute_difference_reference_se,reference_conclusion,alternative_conclusion,stability_classification
primary_vs_gap_timing_unaware_all_available,work_free_day,0.37236969771635997,0.12283668109124216,0.12945269526764197,0.6152867001650779,1.4511693761394848,1.1382052676937056,1.8501869724361208,0.004372541361181204,0.365226588007265,0.1312054513788383,0.5992477246356916,1.4408404483300792,1.1402020133253132,1.8207485807619865,0.0036844848843339576,-0.007143109709094986,0.058151275707206206,TRUE,TRUE,stable within model uncertainty
primary_vs_gap_timing_unaware_all_available,activity_status,0.723722844168114,0.14771170163113473,0.431613976783607,1.0158317115526212,2.062095799803583,1.539740624796573,2.76165934644309,8.063531219913748e-6,0.7306477360584529,0.43647785955480867,1.0248176125620971,2.0764251476144002,1.5472479853541246,2.786587175719402,7.648038168502906e-6,0.006924891890338847,0.04688113273267726,TRUE,TRUE,stable within model uncertainty
primary_vs_gap_timing_unaware_all_available,previous_sleep_duration_centered_h,-0.022456359710173235,0.06892579221465789,-0.15876130288713122,0.11384858346678477,0.9777939074717709,0.8531999910395318,1.1205824373298843,0.7450727383019363,-0.03713916648822059,-0.16744633271123213,0.09316799973479103,0.96354203325699,0.8458220090448126,1.0976461240367488,0.5739345091346464,-0.014682806778047355,0.2130234025068613,FALSE,FALSE,stable within model uncertainty
primary_vs_gap_timing_unaware_exact_common_hours,work_free_day,0.36172603060601705,0.11824056509456904,0.12789812687683494,0.5955539343351992,1.4358055213016545,1.136437224390482,1.8140355232608678,0.004010144137956446,0.365226588007265,0.1312054513788383,0.5992477246356916,1.4408404483300792,1.1402020133253132,1.8207485807619865,0.0036844848843339576,0.003500557401247939,0.029605384568723823,TRUE,TRUE,stable within model uncertainty
primary_vs_gap_timing_unaware_exact_common_hours,activity_status,0.7248435585803674,0.14676066289239828,0.43461542810257364,1.0150716890581613,2.0644081157667604,1.5443690238082362,2.7595612206301605,6.797940597814142e-6,0.7306477360584529,0.43647785955480867,1.0248176125620971,2.0764251476144002,1.5472479853541246,2.786587175719402,7.648038168502906e-6,0.005804177478085482,0.0395485913166049,TRUE,TRUE,stable within model uncertainty
primary_vs_gap_timing_unaware_exact_common_hours,previous_sleep_duration_centered_h,-0.03893194705407776,0.06546704370910299,-0.16839700485046863,0.09053311074231317,0.9618161613424491,0.8450182917224256,1.0947577552834806,0.5530454156547837,-0.03713916648822059,-0.16744633271123213,0.09316799973479103,0.96354203325699,0.8458220090448126,1.0976461240367488,0.5739345091346464,0.0017927805658571674,0.027384474145850074,FALSE,FALSE,stable within model uncertainty
primary_all_available_vs_primary_exact_common_hours,work_free_day,0.37236969771635997,0.12283668109124216,0.12945269526764197,0.6152867001650779,1.4511693761394848,1.1382052676937056,1.8501869724361208,0.004372541361181204,0.36172603060601705,0.12789812687683494,0.5955539343351992,1.4358055213016545,1.136437224390482,1.8140355232608678,0.004010144137956446,-0.010643667110342925,0.0866489310504644,TRUE,TRUE,stable within model uncertainty
primary_all_available_vs_primary_exact_common_hours,activity_status,0.723722844168114,0.14771170163113473,0.431613976783607,1.0158317115526212,2.062095799803583,1.539740624796573,2.76165934644309,8.063531219913748e-6,0.7248435585803674,0.43461542810257364,1.0150716890581613,2.0644081157667604,1.5443690238082362,2.7595612206301605,6.797940597814142e-6,0.0011207144122533652,0.0075871742040587295,TRUE,TRUE,stable within model uncertainty
primary_all_available_vs_primary_exact_common_hours,previous_sleep_duration_centered_h,-0.022456359710173235,0.06892579221465789,-0.15876130288713122,0.11384858346678477,0.9777939074717709,0.8531999910395318,1.1205824373298843,0.7450727383019363,-0.03893194705407776,-0.16839700485046863,0.09053311074231317,0.9618161613424491,0.8450182917224256,1.0947577552834806,0.5530454156547837,-0.016475587343904523,0.23903370298006954,FALSE,FALSE,stable within model uncertainty
gap_all_available_vs_gap_exact_common_hours,work_free_day,0.365226588007265,0.11833827784329212,0.1312054513788383,0.5992477246356916,1.4408404483300792,1.1402020133253132,1.8207485807619865,0.0036844848843339576,0.365226588007265,0.1312054513788383,0.5992477246356916,1.4408404483300792,1.1402020133253132,1.8207485807619865,0.0036844848843339576,0,0,TRUE,TRUE,stable within model uncertainty
