run_id,site,participants,participant_days,observations_30_minute,sites,exact_zero_observations,ar_sequences
alternative_preprocessing__chest__all_available,ALL_SITES,154,894,41664,8,13716,1282
alternative_preprocessing__chest__all_available,BAUA,20,113,5287,1,1776,155
alternative_preprocessing__chest__all_available,FUSPCEU,22,122,5745,1,2407,155
alternative_preprocessing__chest__all_available,IZTECH,17,101,4711,1,1304,140
alternative_preprocessing__chest__all_available,KNUST,15,83,3819,1,1417,148
alternative_preprocessing__chest__all_available,RISE,16,96,4487,1,1443,134
alternative_preprocessing__chest__all_available,THUAS,15,93,4316,1,1462,132
alternative_preprocessing__chest__all_available,TUM,10,60,2772,1,800,91
alternative_preprocessing__chest__all_available,UCR,39,226,10527,1,3107,327
alternative_preprocessing__glasses__all_available,ALL_SITES,141,809,37603,9,12028,1179
alternative_preprocessing__glasses__all_available,BAUA,18,106,4937,1,1509,150
alternative_preprocessing__glasses__all_available,FUSPCEU,23,127,5977,1,2474,162
alternative_preprocessing__glasses__all_available,IZTECH,17,100,4665,1,1286,138
alternative_preprocessing__glasses__all_available,KNUST,15,80,3680,1,1482,141
alternative_preprocessing__glasses__all_available,MPI,26,150,6935,1,1946,224
alternative_preprocessing__glasses__all_available,RISE,13,78,3631,1,1101,113
alternative_preprocessing__glasses__all_available,THUAS,13,78,3606,1,1214,116
alternative_preprocessing__glasses__all_available,TUM,10,60,2772,1,659,91
alternative_preprocessing__glasses__all_available,UCR,6,30,1400,1,357,44
alternative_preprocessing__chest__paired_common_sample,ALL_SITES,112,637,29634,8,9993,928
alternative_preprocessing__chest__paired_common_sample,BAUA,16,93,4331,1,1462,133
alternative_preprocessing__chest__paired_common_sample,FUSPCEU,22,122,5745,1,2407,155
alternative_preprocessing__chest__paired_common_sample,IZTECH,17,100,4665,1,1286,138
alternative_preprocessing__chest__paired_common_sample,KNUST,15,77,3532,1,1321,139
alternative_preprocessing__chest__paired_common_sample,RISE,13,78,3631,1,1129,113
alternative_preprocessing__chest__paired_common_sample,THUAS,13,77,3558,1,1230,115
alternative_preprocessing__chest__paired_common_sample,TUM,10,60,2772,1,800,91
alternative_preprocessing__chest__paired_common_sample,UCR,6,30,1400,1,358,44
alternative_preprocessing__glasses__paired_common_sample,ALL_SITES,112,637,29634,8,9725,928
alternative_preprocessing__glasses__paired_common_sample,BAUA,16,93,4331,1,1322,133
alternative_preprocessing__glasses__paired_common_sample,FUSPCEU,22,122,5745,1,2374,155
alternative_preprocessing__glasses__paired_common_sample,IZTECH,17,100,4665,1,1286,138
alternative_preprocessing__glasses__paired_common_sample,KNUST,15,77,3532,1,1430,139
alternative_preprocessing__glasses__paired_common_sample,RISE,13,78,3631,1,1101,113
alternative_preprocessing__glasses__paired_common_sample,THUAS,13,77,3558,1,1196,115
alternative_preprocessing__glasses__paired_common_sample,TUM,10,60,2772,1,659,91
alternative_preprocessing__glasses__paired_common_sample,UCR,6,30,1400,1,357,44
main__chest__all_available,ALL_SITES,154,902,41842,8,13799,1507
main__chest__all_available,BAUA,20,114,5308,1,1784,171
main__chest__all_available,FUSPCEU,22,123,5783,1,2420,165
main__chest__all_available,IZTECH,17,102,4749,1,1311,165
main__chest__all_available,KNUST,15,84,3838,1,1426,178
main__chest__all_available,RISE,16,96,4472,1,1440,148
main__chest__all_available,THUAS,15,93,4307,1,1461,146
main__chest__all_available,TUM,10,60,2757,1,799,116
main__chest__all_available,UCR,39,230,10628,1,3158,418
main__glasses__all_available,ALL_SITES,141,816,37756,9,12107,1358
main__glasses__all_available,BAUA,18,107,4959,1,1516,167
main__glasses__all_available,FUSPCEU,23,129,6052,1,2503,173
main__glasses__all_available,IZTECH,17,101,4702,1,1292,163
main__glasses__all_available,KNUST,15,81,3701,1,1500,170
main__glasses__all_available,MPI,26,150,6900,1,1944,257
main__glasses__all_available,RISE,13,78,3619,1,1101,123
main__glasses__all_available,THUAS,13,78,3596,1,1214,130
main__glasses__all_available,TUM,10,60,2758,1,659,115
main__glasses__all_available,UCR,6,32,1469,1,378,60
main__chest__paired_common_sample,ALL_SITES,112,643,29786,8,10049,1072
main__chest__paired_common_sample,BAUA,16,94,4355,1,1470,148
main__chest__paired_common_sample,FUSPCEU,22,123,5783,1,2420,165
main__chest__paired_common_sample,IZTECH,17,101,4702,1,1293,163
main__chest__paired_common_sample,KNUST,15,78,3553,1,1331,168
main__chest__paired_common_sample,RISE,13,78,3619,1,1128,123
main__chest__paired_common_sample,THUAS,13,77,3548,1,1229,129
main__chest__paired_common_sample,TUM,10,60,2757,1,799,116
main__chest__paired_common_sample,UCR,6,32,1469,1,379,60
main__glasses__paired_common_sample,ALL_SITES,112,643,29786,8,9793,1072
main__glasses__paired_common_sample,BAUA,16,94,4355,1,1329,148
main__glasses__paired_common_sample,FUSPCEU,22,123,5783,1,2390,165
main__glasses__paired_common_sample,IZTECH,17,101,4702,1,1292,163
main__glasses__paired_common_sample,KNUST,15,78,3553,1,1448,168
main__glasses__paired_common_sample,RISE,13,78,3619,1,1101,123
main__glasses__paired_common_sample,THUAS,13,77,3548,1,1196,129
main__glasses__paired_common_sample,TUM,10,60,2757,1,659,116
main__glasses__paired_common_sample,UCR,6,32,1469,1,378,60
