"source_row","capture_part","row_type","first_cell"
1,1,"theme","Duration"
2,1,"metric","Time above 1,000 lx melEDI"
3,1,"metric","Time above 250 lx melEDI during wake"
4,1,"metric","Time below 10 lx melEDI before sleep"
5,1,"metric","Time below 1 lx melEDI during sleep"
6,1,"metric","Longest period above 250 lx melEDI"
7,2,"theme","Dynamics"
8,2,"metric","Interdaily stability"
9,2,"metric","Intradaily variability"
10,2,"theme","Exposure history"
11,2,"metric","melEDI dose"
12,3,"theme","Level"
13,3,"metric","Mean melEDI"
14,3,"metric","Brightest 10 h geometric mean"
15,3,"metric","Darkest 10 h geometric mean"
16,3,"theme","Spectrum"
17,3,"metric","Melanopic daylight efficacy ratio"
18,3,"theme","Timing"
19,4,"metric","Midpoint of the brightest 10 hours"
20,4,"metric","Midpoint of the darkest 10 hours"
21,4,"metric","First light timing above 250 lx melEDI"
22,4,"metric","Last light timing above 250 lx melEDI"
23,4,"metric","Mean timing of exposure above 250 lx melEDI"
