"role","path","sha256","bytes","width_px","height_px","nonblank"
"table_png","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/order71b_execution_2026_09_03/word_capture/main_table_1_part_01.png","f2df0ce73bc31f889d457397596257e2e3f7f9c7610ccc0ec9659efc33a2f9b7",412834,2640,1160,TRUE
"table_png","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/order71b_execution_2026_09_03/word_capture/main_table_1_part_02.png","a8e5892c59138ec0b4a13f272d3d05e3f67c21bc641d1194e877399564b02a70",378520,2640,1106,TRUE
"table_png","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/order71b_execution_2026_09_03/word_capture/main_table_2_part_01.png","0f9d1aeb7bb1bc33bdd0c39ff5f0789b42115e8d900cae56763bd3f70820c14c",166390,1794,898,TRUE
"table_png","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/order71b_execution_2026_09_03/word_capture/main_table_3_part_01.png","0ae5066b9063781a0485f1b5d3888687bfd4fc419f86eda424e2333d009b1fa6",591637,2320,1268,TRUE
"table_png","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/order71b_execution_2026_09_03/word_capture/main_table_3_part_02.png","9fd4d40280b22912e5add64cd34963d986099bc2ac9ef3dd92193b492d640c3f",382236,2320,986,TRUE
"table_png","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/order71b_execution_2026_09_03/word_capture/main_table_3_part_03.png","8cb6bba7991cdca2ffcb60fd94c5dd2022d0fd1e592ab94a5de5f77115088d15",495243,2320,1178,TRUE
"table_png","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/order71b_execution_2026_09_03/word_capture/main_table_3_part_04.png","70e68224e2b514462236563f396885d82dc7c786189dad85f58b6f274565fdc1",646476,2320,1400,TRUE
"table_png","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/order71b_execution_2026_09_03/word_capture/supp_table_s1_part_01.png","406ac771d7810394aaa171616bc60127ce4e24479fc12b694a2edede1ce13689",168762,1792,1260,TRUE
"table_png","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/order71b_execution_2026_09_03/word_capture/supp_table_s2_part_01.png","d9a9f200a027e02195d2a2fd421b49896a34ca8d1f405f541ec4f381b5e8ae8d",645269,2680,1472,TRUE
"table_png","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/audit/manuscript_nature_health/order71b_execution_2026_09_03/word_capture/supp_table_s2_part_02.png","66344c3bf2833eb022c8c9dfa4d7bef8ea07e37015cc3e3eabad55aeb819d06a",363329,2680,908,TRUE
