"preview_endpoint","source_html","disposition","pre_sha256","post_sha256","reversed_sha256","pre_bytes","post_bytes","table_count","id_substitutions","headers_substitutions","total_substitutions","unsupported_id_references"
"tbl-participant-site-manuscript","audit/manuscript_nature_health/figure_table_selection_assets/tbl-participant-site-manuscript.html","ALREADY_REPAIRED","551b4a68b443b3cc8c91c710960a7b03947654fe0dccc1b71277b0fa611e424c","551b4a68b443b3cc8c91c710960a7b03947654fe0dccc1b71277b0fa611e424c","551b4a68b443b3cc8c91c710960a7b03947654fe0dccc1b71277b0fa611e424c",66624,66624,1,0,0,0,0
"tbl-plan-brown-main-adherence","audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-main-adherence.html","ALREADY_REPAIRED","71eb7e25da5ec7f44e2324cb9da14a667d5411cf7e354ea5920a2f5b84a26334","71eb7e25da5ec7f44e2324cb9da14a667d5411cf7e354ea5920a2f5b84a26334","71eb7e25da5ec7f44e2324cb9da14a667d5411cf7e354ea5920a2f5b84a26334",16953,16953,1,0,0,0,0
"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html","REPAIRED","392ebbff583ab1ad44177979214c491f243de45715e9b1057c4048d66982d128","d50b25afae95a95d61641349116e504a2bbf06780b43a46b195ac468246e8dc2","392ebbff583ab1ad44177979214c491f243de45715e9b1057c4048d66982d128",1888137,1901204,1,33,102,135,0
"tbl-plan-descriptive-sample-flow","audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-descriptive-sample-flow.html","ALREADY_REPAIRED","5f856811303db236267269216d61176ff54283174bc824c7f82744f67c2f62c7","5f856811303db236267269216d61176ff54283174bc824c7f82744f67c2f62c7","5f856811303db236267269216d61176ff54283174bc824c7f82744f67c2f62c7",19555,19555,1,0,0,0,0
"tbl-near-eye-metrics","audit/manuscript_nature_health/figure_table_selection_assets/tbl-near-eye-metrics.html","ALREADY_REPAIRED","6832c791ed3ebcf8895106dafe68c7c5118a12a74e37aacdeb8a84b02d9bfe97","6832c791ed3ebcf8895106dafe68c7c5118a12a74e37aacdeb8a84b02d9bfe97","6832c791ed3ebcf8895106dafe68c7c5118a12a74e37aacdeb8a84b02d9bfe97",1891500,1891500,1,0,0,0,0
"tbl-recommendation-context","audit/manuscript_nature_health/figure_table_selection_assets/tbl-recommendation-context.html","ALREADY_REPAIRED","acecb8a1860d917ca1a349ad5b71b651285c046e2add21f363fa13f89d3da889","acecb8a1860d917ca1a349ad5b71b651285c046e2add21f363fa13f89d3da889","acecb8a1860d917ca1a349ad5b71b651285c046e2add21f363fa13f89d3da889",50617,50617,1,0,0,0,0
"tbl-plan-brown-cross-window-associations","audit/manuscript_nature_health/figure_table_selection_assets/tbl-plan-brown-cross-window-associations.html","ALREADY_REPAIRED","9dc92f253ecb1f0d83256a14db5002a3850c8c1f11c3840e628b7feea1e6a1a6","9dc92f253ecb1f0d83256a14db5002a3850c8c1f11c3840e628b7feea1e6a1a6","9dc92f253ecb1f0d83256a14db5002a3850c8c1f11c3840e628b7feea1e6a1a6",18615,18615,1,0,0,0,0
"tbl-plan-h02-glasses-variation-shapley-gt-candidate","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-glasses-variation-shapley-gt-candidate.html","REPAIRED","28a6588de9294bac1a1d2b3f346d10ae4a6ae3d9b20c40af741062d998fe043a","1147881a649557c66e9f494193bbe521ef429eec533e5c3787e41b9817bb0a28","28a6588de9294bac1a1d2b3f346d10ae4a6ae3d9b20c40af741062d998fe043a",25096,28712,1,13,21,34,0
"tbl-plan-h02-chest-variation-shapley-gt-candidate","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-h02-chest-variation-shapley-gt-candidate.html","REPAIRED","ba91d09301b7d9e6a7a5b5c0d85643a06d116bcf9b2ea553c555bafbcffb09d9","1fd4579929dcacccbd6258e007f29367d9738d1a3b162abfe23936fc922ac3d8","ba91d09301b7d9e6a7a5b5c0d85643a06d116bcf9b2ea553c555bafbcffb09d9",25126,28590,1,13,21,34,0
"tbl-h01-primary-publication-summary","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h01-primary-publication-summary.html","ALREADY_REPAIRED","ed6f48b284557044d175d17d70d7fb0e9f82c0f28cfadeb6c83338ea531908d0","ed6f48b284557044d175d17d70d7fb0e9f82c0f28cfadeb6c83338ea531908d0","ed6f48b284557044d175d17d70d7fb0e9f82c0f28cfadeb6c83338ea531908d0",42964,42964,1,0,0,0,0
"tbl-h07-near-results","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h07-near-results.html","ALREADY_REPAIRED","91b2d42d9e92ffa6eda43e84f698057ed4201f69ac1aeecdfd864f773918d863","91b2d42d9e92ffa6eda43e84f698057ed4201f69ac1aeecdfd864f773918d863","91b2d42d9e92ffa6eda43e84f698057ed4201f69ac1aeecdfd864f773918d863",19651,19651,1,0,0,0,0
"tbl-h06-primary-effects","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-primary-effects.html","ALREADY_REPAIRED","d8eb61fd5f7544325d6ad0e1461b7582da946e91a88505c9dcb16671c7c6ba5c","d8eb61fd5f7544325d6ad0e1461b7582da946e91a88505c9dcb16671c7c6ba5c","d8eb61fd5f7544325d6ad0e1461b7582da946e91a88505c9dcb16671c7c6ba5c",11191,11191,1,0,0,0,0
"tbl-h06-daily-primary-matrix","audit/manuscript_nature_health/figure_table_selection_assets/tbl-h06-daily-primary-matrix.html","ALREADY_REPAIRED","2cf2f1d1913f3e23f98df7e8d8e11c381599a5241cad65985f23008e4ac3d4b3","2cf2f1d1913f3e23f98df7e8d8e11c381599a5241cad65985f23008e4ac3d4b3","2cf2f1d1913f3e23f98df7e8d8e11c381599a5241cad65985f23008e4ac3d4b3",23129,23129,1,0,0,0,0
"tbl-plan-person-level-synthesis-gt-candidate","audit/manuscript_nature_health/figure_table_selection_assets/remaining_gt_candidates/tbl-plan-person-level-synthesis-gt-candidate.html","REPAIRED","2f9d810b7bde443181f73c3bb16d81dff68363aae177e7db2b7a9a3e01be4b41","6831c15b00f9e89b676f9aec846ce2c866bc28b51b541f0080c49d250e7bdcf2","2f9d810b7bde443181f73c3bb16d81dff68363aae177e7db2b7a9a3e01be4b41",37060,41495,1,14,42,56,0
