"table_index","table_endpoint","attribute","attribute_index","pre_value_start_byte","pre_value_end_byte","pre_value","post_value","intended_pre_ids","intended_post_ids","post_value_start_byte","post_value_end_byte","pre_value_bytes","post_value_bytes","preview_endpoint","source_html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",1,4121,4127,"a::stub","tbl-plan-h01-metric-synthesis-candidate--gt-0001","","",4121,4168,7,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",2,4720,4729,"definition","tbl-plan-h01-metric-synthesis-candidate--gt-0002","","",4761,4808,10,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",3,5355,5373,"Descriptive summary","tbl-plan-h01-metric-synthesis-candidate--gt-0003","","",5434,5481,19,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",4,6045,6064,"Association evidence","tbl-plan-h01-metric-synthesis-candidate--gt-0004","","",6153,6200,20,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",5,6732,6749,"Modelled variation","tbl-plan-h01-metric-synthesis-candidate--gt-0005","","",6868,6915,18,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",6,7792,7802,"descriptive","tbl-plan-h01-metric-synthesis-candidate--gt-0006","","",7958,8005,11,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",7,8417,8428,"distribution","tbl-plan-h01-metric-synthesis-candidate--gt-0007","","",8620,8667,12,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",8,9042,9053,"overall_site","tbl-plan-h01-metric-synthesis-candidate--gt-0008","","",9281,9328,12,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",9,9658,9668,"photoperiod","tbl-plan-h01-metric-synthesis-candidate--gt-0009","","",9933,9980,11,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",10,10278,10295,"modelled_variation","tbl-plan-h01-metric-synthesis-candidate--gt-0010","","",10590,10637,18,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",11,11735,11742,"Duration","tbl-plan-h01-metric-synthesis-candidate--gt-0011","","",12077,12124,8,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","id",12,11887,11894,"stub_1_1","tbl-plan-h01-metric-synthesis-candidate--gt-0012","","",12269,12316,8,48,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
1,"tbl-plan-h01-metric-synthesis-candidate","headers",1,12551,12578,"Duration stub_1_1 definition","tbl-plan-h01-metric-synthesis-candidate--gt-0011 tbl-plan-h01-metric-synthesis-candidate--gt-0012 tbl-plan-h01-metric-synthesis-candidate--gt-0002","Duration|stub_1_1|definition","tbl-plan-h01-metric-synthesis-candidate--gt-0011|tbl-plan-h01-metric-synthesis-candidate--gt-0012|tbl-plan-h01-metric-synthesis-candidate--gt-0002",12973,13118,28,146,"tbl-plan-h01-metric-synthesis-candidate","audit/manuscript_nature_health/figure_table_selection_assets/table3_gt_candidate_revision/tbl-plan-h01-metric-synthesis-candidate.html"
