"check_id","status","evidence"
"layout_rows","PASS","rows=4"
"source_rows","PASS","rows=4"
"source_hashes","PASS","matched=4/4"
"supplementary_figure_s6_outputs_exist","PASS","audit/manuscript_nature_health/figure_table_selection_assets/supplementary_figure_s6.png; audit/manuscript_nature_health/figure_table_selection_assets/supplementary_figure_s6.svg"
"supplementary_figure_s6_png_geometry","PASS","2012x2008"
"supplementary_figure_s6_svg_structure","PASS","images=2; tags=A,B"
"supplementary_figure_s6_svg_panel_geometry","PASS","Equal panel widths, top alignment, and recorded aspect scaling"
"supplementary_figure_s6_embedded_identity","PASS","matched=2/2"
"supplementary_figure_s14_outputs_exist","PASS","audit/manuscript_nature_health/figure_table_selection_assets/supplementary_figure_s14.png; audit/manuscript_nature_health/figure_table_selection_assets/supplementary_figure_s14.svg"
"supplementary_figure_s14_png_geometry","PASS","845x2008"
"supplementary_figure_s14_svg_structure","PASS","images=2; tags=A,B"
"supplementary_figure_s14_svg_panel_geometry","PASS","Equal panel widths, top alignment, and recorded aspect scaling"
"supplementary_figure_s14_embedded_identity","PASS","matched=2/2"
"visual_qa_record","PASS","audit/manuscript_nature_health/figure_table_selection_assets/supplementary_composite_visual_qa.csv"
