run_id,base_run_id,placement,model_variant,smooth,edf,Ref.df,F,p-value
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,s(time_hour),9.747215517120264,10,147.51631599798657,0
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,s(time_hour):sex_smoothFemale,7.027009454066221,10,2.154803148021751,-1.9092530039177547e-6
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,"s(time_hour,site)",70.83347387011545,77.42183087368021,5.9748489560732265,0
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,"s(time_hour,participant)",679.420008241149,1242,5.229770638566221,0
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,s(participant_day),375.12601520666436,715,1.3076397868656966,0
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,s(time_hour),9.505059696699623,10,92.04907787426443,0
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,s(time_hour):sex_smoothFemale,6.190024816606361,10,1.5305379039616205,2.7616349727033196e-5
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,s(time_hour):activity_smoothsleep,6.480062211402992,10,4.123747571225346,0
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,s(time_hour):activity_smoothroad_vehicle,5.484937865436866,10,14.574086413153992,0
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,s(time_hour):activity_smoothworking_indoor,6.716213627494783,10,9.960632327588975,0
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,s(time_hour):activity_smoothoutdoor,5.804258383046308,10,17.351991408555165,0
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,"s(time_hour,site)",68.63386083424015,75.33108836823084,6.898877897599972,0
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,"s(time_hour,participant)",602.9409407797356,1242,4.288743157199566,0
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,s(participant_day),351.6764433967938,715,1.1266093797878718,0
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,s(time_hour),9.833837955857394,10,385.6052802634273,0
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,s(time_hour):sex_smoothFemale,9.914771103143442e-4,10,5.797699592484229e-5,0.10360318286574832
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,"s(time_hour,site)",68.67828863527183,75.64191234725811,7.49798739963684,0
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,"s(time_hour,participant)",763.8918022910644,1484,4.459177986441227,0
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,s(participant_day),487.9821416899548,867,1.5334602543031075,0
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,s(time_hour),9.555535802113425,10,175.94643426798166,0
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,s(time_hour):sex_smoothFemale,0.0020014008451723826,10,1.0892582394994512e-4,0.20336276632133954
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,s(time_hour):activity_smoothsleep,5.761639368331697,10,3.773257903118094,-2.0253111749912733e-6
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,s(time_hour):activity_smoothroad_vehicle,4.908772677157611,10,18.477768380903207,0
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,s(time_hour):activity_smoothworking_indoor,6.0035458808892015,10,7.031576738168565,0
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,s(time_hour):activity_smoothoutdoor,4.995312315690995,10,12.008334630333948,0
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,"s(time_hour,site)",64.68432908765661,71.70969911214371,8.167495154609236,0
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,"s(time_hour,participant)",649.7171558345058,1484,3.435230936126819,0
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,s(participant_day),451.9754127279407,867,1.274185474823161,0
