run_id,base_run_id,placement,model_variant,seed,subsample,randomizations,smooth,k',edf,k-index,p-value
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,20386431,5000,200,s(time_hour),10,9.747215517120264,1.0006299771386304,0.57
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,20386431,5000,200,s(time_hour):sex_smoothFemale,10,7.027009454066221,1.0006299771386304,0.52
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,20386431,5000,200,"s(time_hour,site)",96,70.83347387011545,,
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,20386431,5000,200,"s(time_hour,participant)",1260,679.420008241149,1.0006299771386304,0.53
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,20386431,5000,200,s(participant_day),724,375.12601520666436,,
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,20366570,5000,200,s(time_hour),10,9.505059696699623,0.990094280987449,0.245
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,20366570,5000,200,s(time_hour):sex_smoothFemale,10,6.190024816606361,0.990094280987449,0.245
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,20366570,5000,200,s(time_hour):activity_smoothsleep,10,6.480062211402992,0.990094280987449,0.295
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,20366570,5000,200,s(time_hour):activity_smoothroad_vehicle,10,5.484937865436866,0.990094280987449,0.235
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,20366570,5000,200,s(time_hour):activity_smoothworking_indoor,10,6.716213627494783,0.990094280987449,0.27
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,20366570,5000,200,s(time_hour):activity_smoothoutdoor,10,5.804258383046308,0.990094280987449,0.24
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,20366570,5000,200,"s(time_hour,site)",96,68.63386083424015,,
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,20366570,5000,200,"s(time_hour,participant)",1260,602.9409407797356,0.990094280987449,0.2
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,20366570,5000,200,s(participant_day),724,351.6764433967938,,
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,20376193,5000,200,s(time_hour),10,9.833837955857394,1.0104754468234918,0.795
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,20376193,5000,200,s(time_hour):sex_smoothFemale,10,9.914771103143442e-4,1.0104754468234918,0.765
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,20376193,5000,200,"s(time_hour,site)",84,68.67828863527183,,
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,20376193,5000,200,"s(time_hour,participant)",1500,763.8918022910644,1.0104754468234918,0.76
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,20376193,5000,200,s(participant_day),875,487.9821416899548,,
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,20357194,5000,200,s(time_hour),10,9.555535802113425,1.0034202086235666,0.6
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,20357194,5000,200,s(time_hour):sex_smoothFemale,10,0.0020014008451723826,1.0034202086235666,0.565
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,20357194,5000,200,s(time_hour):activity_smoothsleep,10,5.761639368331697,1.0034202086235666,0.615
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,20357194,5000,200,s(time_hour):activity_smoothroad_vehicle,10,4.908772677157611,1.0034202086235666,0.595
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,20357194,5000,200,s(time_hour):activity_smoothworking_indoor,10,6.0035458808892015,1.0034202086235666,0.625
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,20357194,5000,200,s(time_hour):activity_smoothoutdoor,10,4.995312315690995,1.0034202086235666,0.595
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,20357194,5000,200,"s(time_hour,site)",84,64.68432908765661,,
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,20357194,5000,200,"s(time_hour,participant)",1500,649.7171558345058,1.0034202086235666,0.605
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,20357194,5000,200,s(participant_day),875,451.9754127279407,,
