run_id,base_run_id,placement,model_variant,biological_sex,observations,mean,sd,rmse,q01,q05,q25,median,q75,q95,q99,skewness,excess_kurtosis,correlation_absolute_residual_fitted,maximum_absolute_residual
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,Overall,30499,-0.0037843374761028148,0.638821522489077,0.6388222587468078,-1.7560437654819463,-1.0279288274654863,-0.2737220091854573,-0.01511238483459819,0.24351823991341248,1.0545682216805883,1.913879097296757,0.24617399038717822,4.4824151890158115,0.19433318008885964,5.027101215244348
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,Female,17301,-0.0037596834780532417,0.6411333479196852,0.6411258427005073,-1.7673856082717254,-1.049899382826637,-0.26755578503010646,-0.011269516734356274,0.23972688944555934,1.0480852998663888,1.9154209475739252,0.2625015037250824,4.822282745512161,0.18727979115316495,5.027101215244348
activity_context__glasses__restricted_unadjusted,activity_context__glasses,glasses,restricted_unadjusted,Male,13198,-0.0038166559198257524,0.6358025257582888,0.6357898940469671,-1.7391140594776455,-1.0085144812214095,-0.2810057765383746,-0.019198924998628773,0.2482568606681812,1.068386405085712,1.9132484922275292,0.22418201139160848,4.019392907190227,0.20366128078731877,4.654567330687637
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,Overall,30499,-0.0031298962780907905,0.6201591649239606,0.6201568962173698,-1.739200145742093,-1.0041595799068221,-0.25969975644313537,-0.01172630395257316,0.23576006785306974,1.0200463239378434,1.8316496478702702,0.13156727342121444,4.716879675839414,0.21069182287626861,5.146695490071239
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,Female,17301,-0.003075111815872214,0.6254773552941195,0.6254668381469703,-1.754670500692282,-1.0260171446428696,-0.25515084317075315,-0.01026764896162419,0.23883425595567015,1.0111465943721163,1.84989095219526,0.13769636289974962,4.953045792556907,0.20543116348325569,5.146695490071239
activity_context__glasses__activity_adjusted,activity_context__glasses,glasses,activity_adjusted,Male,13198,-0.003201712157833455,0.6131414175302309,0.6131265481539314,-1.7216692564923224,-0.9812368816908077,-0.2630350144174871,-0.013136563602066064,0.23151064345937153,1.0283212401396147,1.8124301741320321,0.12296258074065368,4.373158441287223,0.21834750468084663,4.672230798997218
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,Overall,36711,-0.005472582512203783,0.6999414099269468,0.6999532707446454,-1.93834967800532,-1.1263996163379009,-0.30852051030558647,-0.01611986818208342,0.27551427751292423,1.1621231949062714,2.0654495829995985,0.13822682923695542,4.004353963864187,0.2148010431901544,4.949487889654612
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,Female,20081,-0.004499371886504508,0.7038487557843023,0.7038456117128269,-1.9430930505203907,-1.149358892459063,-0.3103182517719201,-0.005300889568711276,0.2780506539881399,1.1592976492214204,2.0592847380900468,0.15535973585689192,4.06634735735694,0.22807895168148196,4.9390188115814535
activity_context__chest__restricted_unadjusted,activity_context__chest,chest,restricted_unadjusted,Male,16630,-0.0066477504361164355,0.6952132797588126,0.6952241607636334,-1.9265520674487433,-1.1087214167729158,-0.3066712758951208,-0.028737930180278193,0.27268391184647367,1.165417141858812,2.0684248178058136,0.11660200235683982,3.922189869171289,0.19972941944847408,4.949487889654612
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,Overall,36711,-0.004633832124577244,0.6835263220315028,0.6835327195204592,-1.95627080824922,-1.1113260142127643,-0.28439703261728927,-0.011028141038544954,0.2727530659374583,1.122464333120154,1.9579595041601272,-0.019155894556153612,4.316180210824571,0.23089406655668732,5.165442434704817
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,Female,20081,-0.0037284578649895905,0.6896750622976641,0.6896679681554793,-1.9798305613481249,-1.1319481524064725,-0.2885794641009022,-5.799166701202008e-4,0.27533006356815076,1.1221582126257241,1.9762489777824017,-0.024053856719005322,4.309939257747929,0.24516375967574558,5.165442434704817
activity_context__chest__activity_adjusted,activity_context__chest,chest,activity_adjusted,Male,16630,-0.0057270865146421745,0.6760461688773753,0.6760501011066321,-1.9213165035238915,-1.0803303350512232,-0.27910202946225376,-0.022833451546355802,0.2681168909669117,1.1227415242469405,1.94866575384623,-0.013066094279819437,4.3169118435482154,0.21518504122639076,4.932266423354983
