href,valid_unique
index.html,True
index.html#abstract,True
index.html#introduction,True
index.html#results,True
index.html#a-multisite-baseline-and-recommendation-adherence,True
index.html#personal-and-day-to-day-differences-exceed-site-differences,True
index.html#geography-and-photoperiod-provide-partial-context,True
index.html#immediate-environments-and-routines-reorganise-exposure,True
index.html#person-level-correlates-are-selective,True
index.html#measurement-position-and-robustness-constrain-interpretation,True
index.html#discussion,True
index.html#methods,True
index.html#study-design-and-sites,True
index.html#participants-recruitment-and-ethics,True
index.html#personal-light-measurements,True
index.html#contextual-and-person-level-measures,True
index.html#time-sleepwake-status-and-coverage-preparation,True
index.html#exposure-metrics,True
index.html#recommendation-window-and-adherence-analyses,True
index.html#daily-temporal-architecture,True
index.html#geographic-and-photoperiod-analyses,True
index.html#immediate-context-and-routine-analyses,True
index.html#person-level-analyses,True
index.html#multiplicity-uncertainty-model-checks-and-sensitivities,True
index.html#preregistration-and-deviations,True
index.html#artificial-intelligence-assistance,True
index.html#data-availability,True
index.html#code-availability,True
index.html#references,True
index.html#acknowledgements,True
index.html#funding,True
index.html#author-contributions,True
index.html#competing-interests,True
index.html#supplementary-information,True
index.html#study-support-and-exposure-definitions,True
index.html#supplementary-table-s1.-descriptive-sample-flow,True
index.html#supplementary-table-s2.-full-near-eye-metric-dictionary-and-distributions,True
index.html#supplementary-table-s3.-descriptive-recommendation-range-fractions,True
index.html#supplementary-figure-s1.-near-eye-metric-distributions,True
index.html#supplementary-figure-s2.-worked-metric-derivation,True
index.html#supplementary-figure-s3.-latitude-and-civil-photoperiod-measurement-range,True
index.html#recommendation-adherence,True
index.html#supplementary-figure-s4.-site-average-recommendation-adherence,True
index.html#supplementary-figure-s5.-site-specific-adherence-and-day-type-differences,True
index.html#supplementary-table-s4.-exploratory-cross-window-recommendation-adherence-associations,True
index.html#supplementary-figure-s6.-anonymous-participant-recommendation-adherence-profiles,True
index.html#daily-architecture,True
