"path","sha256","bytes","actual_sha256","actual_bytes","pass"
"audit/hypotheses/H11/report018_order72j_libreoffice_compatibility/attempts/attempt_01.csv","b9ab4bcdd0a3620c83034eef925d5e4380d0caa71d9ccc400c51df052ba49d1c",572,"b9ab4bcdd0a3620c83034eef925d5e4380d0caa71d9ccc400c51df052ba49d1c",572,TRUE
"audit/hypotheses/H11/report018_order72j_libreoffice_compatibility/candidate/H11_reader_near_eye_curves_arial_safe_margin.svg","ca613c8860b38625524518d106f0408ad264f90d78ef92bd9abd87f4daad904e",25243,"ca613c8860b38625524518d106f0408ad264f90d78ef92bd9abd87f4daad904e",25243,TRUE
"audit/hypotheses/H11/report018_order72j_libreoffice_compatibility/code/build_h11_s17_compatibility_candidate.R","c5c4fc14f48efb0982faf6c1077ca9659357287e288f77d2c6a9bce0a4839cb1",18815,"c5c4fc14f48efb0982faf6c1077ca9659357287e288f77d2c6a9bce0a4839cb1",18815,TRUE
"audit/hypotheses/H11/report018_order72j_libreoffice_compatibility/evidence/command.txt","5d385477b8a3d2d3d0910175744b5ef881745c825ccbd4ff57c9235dc3531861",322,"5d385477b8a3d2d3d0910175744b5ef881745c825ccbd4ff57c9235dc3531861",322,TRUE
"audit/hypotheses/H11/report018_order72j_libreoffice_compatibility/evidence/control_identities.csv","56b3974fc8ac37ce879d43ecc122c4718f39dda2337d88e4793960e5e25f421f",1687,"56b3974fc8ac37ce879d43ecc122c4718f39dda2337d88e4793960e5e25f421f",1687,TRUE
"audit/hypotheses/H11/report018_order72j_libreoffice_compatibility/evidence/inverse_byte_proof.csv","83bbff2db1b39b7c090284183863b3a444a6eae243e7aec8116f2a9ca7b7c60f",180,"83bbff2db1b39b7c090284183863b3a444a6eae243e7aec8116f2a9ca7b7c60f",180,TRUE
"audit/hypotheses/H11/report018_order72j_libreoffice_compatibility/evidence/mutation_contract.csv","24d5e82584b6e5825c33d08980e6afa764aa498356f6f77530f79fd620f00cec",233,"24d5e82584b6e5825c33d08980e6afa764aa498356f6f77530f79fd620f00cec",233,TRUE
"audit/hypotheses/H11/report018_order72j_libreoffice_compatibility/evidence/package_versions.csv","86d5c075935055ea62f7c704e5ab9c2366db7d93cd0d7dfb5a9edec6dbe36cf0",53,"86d5c075935055ea62f7c704e5ab9c2366db7d93cd0d7dfb5a9edec6dbe36cf0",53,TRUE
"audit/hypotheses/H11/report018_order72j_libreoffice_compatibility/evidence/post_H11_execution_input_rehash_34.csv","a438aab80e971971557543f50915f9565506e1aec15dcaaef90ad165a64c5931",8681,"a438aab80e971971557543f50915f9565506e1aec15dcaaef90ad165a64c5931",8681,TRUE
"audit/hypotheses/H11/report018_order72j_libreoffice_compatibility/evidence/post_H11_preservation_rehash_531.csv","6cf174f2591888cacd442646c98c851a4587f228bf183293a03428fa6fe7dda3",125851,"6cf174f2591888cacd442646c98c851a4587f228bf183293a03428fa6fe7dda3",125851,TRUE
