"row","site","raw_state","direct_projected","direct_valid","direct_yes","expected_minutes","assigned_window_exact","integer_utc_ticks"
1,"BAUA","wake",715,0,0,715,TRUE,TRUE
2,"BAUA","wake",719,717,442,719,TRUE,TRUE
3,"BAUA","wake",765,647,247,765,TRUE,TRUE
4,"BAUA","wake",730,613,295,730,TRUE,TRUE
5,"BAUA","wake",867,0,0,867,TRUE,TRUE
6,"BAUA","wake",845,844,320,845,TRUE,TRUE
7,"BAUA","wake",776,728,258,776,TRUE,TRUE
8,"BAUA","wake",706,589,317,706,TRUE,TRUE
9,"BAUA","wake",585,491,236,585,TRUE,TRUE
10,"BAUA","wake",575,575,289,575,TRUE,TRUE
11,"BAUA","wake",750,750,195,750,TRUE,TRUE
12,"BAUA","wake",750,0,0,750,TRUE,TRUE
13,"BAUA","wake",705,705,140,705,TRUE,TRUE
14,"BAUA","wake",727,727,167,727,TRUE,TRUE
15,"BAUA","wake",675,675,176,675,TRUE,TRUE
16,"BAUA","wake",595,595,51,595,TRUE,TRUE
17,"BAUA","wake",645,645,53,645,TRUE,TRUE
18,"BAUA","wake",711,691,2,711,TRUE,TRUE
19,"BAUA","wake",765,710,226,765,TRUE,TRUE
20,"BAUA","wake",868,744,379,868,TRUE,TRUE
21,"BAUA","wake",905,843,204,905,TRUE,TRUE
22,"BAUA","wake",1020,1012,228,1020,TRUE,TRUE
23,"BAUA","wake",680,544,133,680,TRUE,TRUE
24,"BAUA","wake",841,701,339,841,TRUE,TRUE
25,"BAUA","wake",763,629,184,763,TRUE,TRUE
26,"BAUA","wake",884,738,300,884,TRUE,TRUE
27,"BAUA","wake",759,616,166,759,TRUE,TRUE
28,"BAUA","wake",834,834,108,834,TRUE,TRUE
29,"BAUA","wake",714,714,14,714,TRUE,TRUE
30,"BAUA","wake",785,0,0,785,TRUE,TRUE
31,"BAUA","wake",805,775,492,805,TRUE,TRUE
32,"BAUA","wake",915,915,431,915,TRUE,TRUE
33,"BAUA","wake",970,919,343,970,TRUE,TRUE
34,"BAUA","wake",830,0,0,830,TRUE,TRUE
35,"BAUA","wake",750,750,75,750,TRUE,TRUE
36,"BAUA","wake",732,732,10,732,TRUE,TRUE
37,"BAUA","wake",743,743,2,743,TRUE,TRUE
38,"BAUA","wake",758,758,9,758,TRUE,TRUE
39,"BAUA","wake",687,687,15,687,TRUE,TRUE
40,"BAUA","wake",666,666,18,666,TRUE,TRUE
41,"BAUA","wake",1051,935,679,1051,TRUE,TRUE
42,"BAUA","wake",659,659,339,659,TRUE,TRUE
43,"BAUA","wake",913,877,506,913,TRUE,TRUE
44,"BAUA","wake",815,815,472,815,TRUE,TRUE
