"check","pass","detail"
"owner_eight_payload_members",TRUE,""
"frozen_source_members",TRUE,""
"frozen_constructor",TRUE,""
"one_construction_job",TRUE,""
"unique_exact_replay_boundaries",TRUE,""
"all_eight_replayed_payloads_exact",TRUE,""
"only_two_known_failed_assumptions",TRUE,""
"raw_coverage_position_and_unique_ticks",TRUE,""
"independent_all_candidate_UTC_counts",TRUE,""
"retained_sites_match_complete_eligible_skeleton",TRUE,""
"every_retained_site_has_both_windows_and_day_types",TRUE,""
"unchanged_declared_chest_structure",TRUE,""
"protected_payloads_still_exact",TRUE,""
