figure_id,artifact_path,reader_display_status,reason
model_support,results/images/H01/reporting/H01_model_support.png,displayed,Compact overview of the four corrected inferential families.
site_contrasts_near_eye,results/images/H01/reporting/H01_site_contrasts_near_eye.png,displayed,Primary hierarchical site contrasts.
site_contrasts_chest,results/images/H01/reporting/H01_site_contrasts_chest.png,displayed,Complementary hierarchical site contrasts.
r2_intervals,results/images/H01/reporting/H01_r2_intervals.png,displayed,Variation represented by the fitted models.
diagnostic_assessment,results/images/H01/reporting/H01_diagnostic_assessment.png,displayed,Overview of diagnostic review status.
paired_placement,results/images/H01/reporting/H01_paired_placement.png,displayed,Matched near-eye-versus-chest placement comparison.
photoperiod_latitude_near_eye,results/images/H01/reporting/H01_photoperiod_latitude_near_eye.png,retained_not_displayed,The descriptive report displays the observed latitude and photoperiod coverage.
photoperiod_latitude_chest,results/images/H01/reporting/H01_photoperiod_latitude_chest.png,retained_not_displayed,The descriptive report displays the observed latitude and photoperiod coverage.
diagnostic_daily_geometric_mean_medi,results/images/H01/diagnostics/main/glasses/all_available/daily_geometric_mean_medi_diagnostics.png,displayed,Representative Gaussian review example.
diagnostic_duration_below_10_pre_sleep,results/images/H01/diagnostics/main/glasses/all_available/duration_below_10_pre_sleep_diagnostics.png,displayed,Representative Gaussian review example.
diagnostic_duration_above_250_wake,results/images/H01/diagnostics/main/glasses/all_available/duration_above_250_wake_diagnostics.png,displayed,Representative Tweedie review example.
diagnostic_duration_below_1_sleep_environment,results/images/H01/diagnostics/main/glasses/all_available/duration_below_1_sleep_environment_diagnostics.png,displayed,Representative strong Tweedie and prediction-bound review example.
