"check","expected","observed","status"
"Order 72c controlling identity","26184ddc6b62ecb32e1a1f62c8cd365f65647f6f0bf87d725ab2ee534ff2face; 7022 bytes","26184ddc6b62ecb32e1a1f62c8cd365f65647f6f0bf87d725ab2ee534ff2face; 7022 bytes","PASS"
"Order 72c release manifest","b1536b560a051557cc3f57876800c168fb2506ab653c47a4f3cd6ff68426575a; 188 members exact","b1536b560a051557cc3f57876800c168fb2506ab653c47a4f3cd6ff68426575a; 188/188 exact before and after export","PASS"
"original Order 72 release","8e25aa779f0115a3a5da9ffcdc3913b81cd6fb06df0c17c9f6d5825356263526; 71 members exact","8e25aa779f0115a3a5da9ffcdc3913b81cd6fb06df0c17c9f6d5825356263526; 71/71 exact before and after export","PASS"
"Order 72b recovery release","8b24d41c73774717532ddb8c21289302c1ef5d4d37e82cff155df418d915e8f2; 163 members exact","8b24d41c73774717532ddb8c21289302c1ef5d4d37e82cff155df418d915e8f2; 163/163 exact before and after export","PASS"
"stopped H05 state","eight files exact and unchanged","8/8 exact before and after export","PASS"
"original H05 inputs","five files exact and unchanged","5/5 exact before and after export","PASS"
"new write root precondition","absent before copying","absent before copying","PASS"
"central prospective exporter","d3260f625ae8664136de91daacff97cd329456ac0a09100e2f29f95204a9dabd; 24295 bytes","d3260f625ae8664136de91daacff97cd329456ac0a09100e2f29f95204a9dabd; 24295 bytes","PASS"
"copied exporter","byte-identical to central prospective exporter","d3260f625ae8664136de91daacff97cd329456ac0a09100e2f29f95204a9dabd; 24295 bytes","PASS"
"copied static review","503e1c16939bb0df11c7e9b080a9f0db861d702c4fdb5d8b2822a5964acd47b5; 1222 bytes","503e1c16939bb0df11c7e9b080a9f0db861d702c4fdb5d8b2822a5964acd47b5; 1222 bytes","PASS"
"patch map identity","4733fd260e69eae91ae00c31ccc2f2eb209838adf452f3e2bf28af5c44cec8cf; 1044 bytes","4733fd260e69eae91ae00c31ccc2f2eb209838adf452f3e2bf28af5c44cec8cf; 1044 bytes","PASS"
"three authorized postimage substitutions","each postimage occurs exactly once","1,1,1","PASS"
"reverse substitution identity","dbaf4f34f5383c36b87955bfb03f8f277313829bdb2b2810e8afbea80169a389","dbaf4f34f5383c36b87955bfb03f8f277313829bdb2b2810e8afbea80169a389","PASS"
"reverse substitution bytes","byte-identical to stopped exporter","TRUE","PASS"
"copied exporter parse","R 4.6.1 parse success","PASS","PASS"
"required namespaces","digest, readr, ggplot2, scales, svglite, xml2, systemfonts available","all available in accepted libraries","PASS"
"export invocation","exactly one","1","PASS"
"repaired candidate identity","e9d7d60100403aea3ac25282f9be33f981b182a09e74479cd160bdc296ae63b3; 66573 bytes","e9d7d60100403aea3ac25282f9be33f981b182a09e74479cd160bdc296ae63b3; 66573 bytes","PASS"
"repaired candidate canvas","648.00pt by 648.00pt; viewBox 0 0 648.00 648.00","648.00pt by 648.00pt; viewBox 0 0 648.00 648.00","PASS"
"runtime owner manifest","21 unique exact members; unchanged after checker","21/21 exact; SHA-256 85e7f533d4408ad42f80589e377fdeb5b56ca915ee418452ce7e0daf11a2eccb","PASS"
"legend-only checker invocation","exactly one","1","PASS"
"old embedded legend","one image","1 image","PASS"
"new native legend","300 rectangles and no image","300 rectangles; no image","PASS"
"ordered legend colours","300/300 exact","300/300 exact","PASS"
"visible SVG text sequence","101/101 exact","101/101 exact","PASS"
"non-legend SVG DOM","identical","identical","PASS"
"raster or visual owner QA","none; deferred to Harmonizer","none","PASS"
"write boundary","new vector_legend_repair root only","new vector_legend_repair root only","PASS"
