"row","placement","stage","field","classification"
1,"participant roster","Available normalized participant metadata","participant_days","structurally_not_applicable_at_roster_grain"
1,"participant roster","Available normalized participant metadata","one_minute_real_observations","structurally_not_applicable_at_roster_grain"
2,"near_eye","At least 80% complete before all-zero screen","participants","derivable_from_frozen_daily_coverage"
2,"near_eye","At least 80% complete before all-zero screen","one_minute_real_observations","derivable_if_source_real_minute_definition_is_retained"
3,"near_eye","Exact all-zero days excluded","participants","derivable_from_frozen_daily_coverage"
3,"near_eye","Exact all-zero days excluded","one_minute_real_observations","derivable_if_source_real_minute_definition_is_retained"
5,"chest","At least 80% complete before all-zero screen","participants","derivable_from_frozen_daily_coverage"
5,"chest","At least 80% complete before all-zero screen","one_minute_real_observations","derivable_if_source_real_minute_definition_is_retained"
6,"chest","Exact all-zero days excluded","participants","derivable_from_frozen_daily_coverage"
6,"chest","Exact all-zero days excluded","one_minute_real_observations","derivable_if_source_real_minute_definition_is_retained"
8,"paired","Paired main subset","one_minute_real_observations","undefined_until_paired_minute_estimand_is_declared"
