"path","matching_lines"
"artifacts/11_source_data/H01/stage3/H01_stage3_latitude_leave_one_site_out_source.csv",17
"artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_model_support_figure_source.csv",8
"artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_paired_placement_figure_source.csv",2
"artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_r2_figure_source.csv",8
"artifacts/11_source_data/H01/stage3/H01_stage3_METRIC011_l10_mean_medi_site_contrast_figure_source.csv",8
"artifacts/11_source_data/H01/stage3/H01_stage3_model_support_figure_source.csv",8
"artifacts/11_source_data/H01/stage3/H01_stage3_paired_placement_figure_source.csv",2
"artifacts/11_source_data/H01/stage3/H01_stage3_participant_influence_source.csv",11
"artifacts/11_source_data/H01/stage3/H01_stage3_r2_figure_source.csv",8
"artifacts/11_source_data/H01/stage3/H01_stage3_site_contrast_figure_source.csv",8
