change_type,path,pre_sha256,post_sha256,pre_bytes,post_bytes,pre_mtime_epoch,post_mtime_epoch,classification,status
changed,_build/nathealth/artifacts/10_figures/H06/H06_reader_primary_effects.png,bc553dcb5dce302dc11a837d4a7a56e33cd35020b85bf0fadf8fe42603d331c9,23a1e55b6088db2f7e5d217ee221a026247a4341cb218417c1611d6889e54902,159608,158760,1786444608,1787267522,render-copied accepted protected source artifact,CLASSIFIED
changed,_build/nathealth/artifacts/10_figures/H06/H06_reader_temporal_activity.png,01354dbbbb6156f8813a76a75762c82010d8c5fb0d70b5846a21725c0ed13e5c,718c0917cb0aa58e2308cf8cdf9f2af144f80d55769044cc1cc294a84095c3d0,368603,366674,1786444610,1787267522,render-copied accepted protected source artifact,CLASSIFIED
changed,_build/nathealth/artifacts/10_figures/H06/H06_reader_temporal_day_type.png,df2322474720c7357dd5e45003bca0a85bc8afa1e5cd55d3e692c1b557214e92,7f8de8989621ccd7b51cd7940bc513dc3883d09c098052335efea172bab28c30,367048,366367,1786444609,1787267522,render-copied accepted protected source artifact,CLASSIFIED
changed,_build/nathealth/artifacts/10_figures/H06/H06_stage3_site_specific_significance_screen.png,c1c8c332a0fb75ceea95b125d0696f893db5b27503760fe7ae454715d5920dea,88aeef89cda1208a80ead843ca9551011350ed5f78734c57ceee380bf994f02e,192301,191658,1786447269,1787267522,render-copied accepted protected source artifact,CLASSIFIED
changed,_build/nathealth/notebooks/hypotheses/H06.html,ff3518c09a4322dc8a2c23a961f2ef3ffc8d124843874547a40415c8330fd555,dc62f37001c2d7e9f5a2daa9167023e006aafecc72c2d0137925093e573027c1,6109797,4862444,1786470381,1787270690,fresh target HTML before semantic repair,CLASSIFIED_STOPPED
changed,_build/nathealth/search.json,eca922a15047ebde84d15f179ae02e39f8db7b7edd4503de05c60bbe0aa363be,865db8b7a8130846fca38367f62af2a2526ad0a6129713b25f3324c012b9c53e,2132406,2172525,1787258145,1787270690,Quarto target search-index update,CLASSIFIED
changed,_build/nathealth/site_libs/bootstrap/bootstrap-a2a938b4dd5711f7a799c87bd16ba44c.min.css,b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c,b3d78f1077461003efc2b21acc3f81ee6ba80468fe09df310b4c339e2e19133c,498438,498438,1787258104,1787270666,mtime-only dependency copy,CLASSIFIED
changed,_build/nathealth/sitemap.xml,2d9bd3176505143004b576c0d6e8d4dcf77ce27fb2c4a55d94942cedcf9cb07d,e021df3eec96763cab02cd83962a2fbfa0c739186f7ad5c5ee6a3fbe55317b9a,5742,5742,1787258145,1787270690,Quarto target sitemap update,CLASSIFIED
render_support_output,.quarto/_freeze/notebooks/hypotheses/H06/execute-results/html.json,,c595aa9ab244357abfe485bd55711aa11f7e86454cdf61543e2a22351e0058f5,,236411,,1787270665,target-local Quarto freeze output; preimage not inventoried,CLASSIFIED_POST_ONLY
render_support_output,.quarto/idx/notebooks/hypotheses/H06.qmd.json,,7f96ac1a6525ed4f4b11f0e85f43120520e1b1ff4d10cce3861fd464d516f6a5,,131997,,1787270644,target-local Quarto index output; preimage not inventoried,CLASSIFIED_POST_ONLY
render_support_output,.quarto/xref/ba60df9d,,884eaa8e36d0a5391baef178c94ac57886f20f277356ab121348f7c0f466955a,,5006,,1787270667,target-local Quarto cross-reference output; preimage not inventoried,CLASSIFIED_POST_ONLY
