table_index,quarto_endpoint,source_chunk,nearest_generated_wrapper,internal_id_count,headers_attribute_count,endpoint_status
1,tbl-h06-primary-effects,tbl-h06-primary-effects,sziynbspgm,3,9,PASS
2,tbl-h06-primary-site-interactions,tbl-h06-primary-site-interactions,frypavkkqc,3,9,PASS
3,tbl-h06-site-specific-associations,tbl-h06-site-specific-associations,cfkxbkxiyg,5,55,PASS
4,tbl-h06-gap-sensitivity-comparisons,tbl-h06-gap-sensitivity-comparisons,mhnptdkbgm,5,18,PASS
5,tbl-h06-key-sensitivities,tbl-h06-key-sensitivities,ogbammjbra,8,48,PASS
6,tbl-h06-influence-checks,tbl-h06-influence-checks,ibekvxpnwc,4,24,PASS
7,tbl-h06-model-checks,tbl-h06-model-checks,njycdjzrvx,9,54,PASS
8,tbl-h06-exploratory-diary-associations,tbl-h06-exploratory-diary-associations,cqhzdpoufj,2,12,PASS
9,,exploratory-two-part-formulas,doehfmulan,6,12,FAIL_MISSING_TBL_ENDPOINT
10,tbl-h06-exact-samples,tbl-h06-exact-samples,gyucewwqxz,6,36,PASS
11,,exact-confirmatory-formulas,oxkdsizyuq,3,6,FAIL_MISSING_TBL_ENDPOINT
12,tbl-h06-fdr-adjustment,tbl-h06-fdr-adjustment,twigjmtznu,3,15,PASS
13,tbl-h06-figure-readability-checks,tbl-h06-figure-readability-checks,xvxbsnigvy,7,42,PASS

