check,expected,observed,status
R version,4.6.1,4.6.1,PASS
result QMD SHA-256,2e88ad6b3a4aaffd2dfbf429a77c5d0865256554bb9b7799648fe63b976f1526,2e88ad6b3a4aaffd2dfbf429a77c5d0865256554bb9b7799648fe63b976f1526,PASS
result QMD bytes,60680,60680,PASS
one-token forward diff,select to transmute only,select to transmute only,PASS
reverse proof,preimage exact,preimage exact,PASS
R chunks parsed,20,20,PASS
accepted endpoints,17 unique and ordered,17 unique and ordered,PASS
invalid nested select expressions,0,0,PASS
figure-QA reconstruction rows,6,6,PASS
figure-QA display columns,7,7,PASS
figure-QA statuses,6 Verified,6 Verified,PASS
figure-QA value identity,all accepted values exact,all accepted values exact,PASS
accepted H06 contract SHA-256,b11447a49a52a6a1a66618f9f471c0cda5284cbb8a251f7dffb2512d9ede231f,b11447a49a52a6a1a66618f9f471c0cda5284cbb8a251f7dffb2512d9ede231f,PASS
protected pre-render paths,75 exact,75 exact,PASS

